AMNH       169432     Tap3-3
14.4464    24.4592    16.1535    IN
14.4195    18.8766    17.902     BR
14.568     12.6178    16.1618    GL
14.5862    12.6144    15.6638    NA
14.5501    8.4003     8.5917     RH
14.635     6.2452     4.8692     NS
14.7504    6.4237     3.1273     PR
13.599     6.5407     3.3701     R_PR2
13.5941    9.3055     9.2167     R_PMS
10.4313    13.8323    9.2988     R_ZMI
12.2656    13.1146    13.415     R_ZMU
14.1073    12.9836    14.6277    R_DA
12.2532    12.8283    15.9127    R_MTI
12.2764    13.7595    17.1199    R_MTS
10.7965    13.7575    14.5392    R_FMO
9.8539     14.5242    14.6769    R_FMT
10.0233    20.9431    13.346     R_PO
8.8511     15.4225    11.2304    R_ZTS
15.7968    6.5133     3.4524     L_PR2
15.4909    9.1622     9.239      L_PMS
18.4651    13.9203    9.2676     L_ZMI
16.7635    13.1054    13.4245    L_ZMU
15.0769    13.0317    14.5849    L_DA
16.8828    12.9252    15.8634    L_MTI
16.6636    13.8213    17.1224    L_MTS
18.2444    13.8474    14.3547    L_FMO
19.3122    14.7607    14.7145    L_FMT
18.8298    20.9794    13.2547    L_PO
20.0697    15.3688    11.2676    L_ZTS
13.9935    5.9617     3.3106     O1
11.9042    14.6576    16.629     O2
8.5712     17.8367    11.8903    O3
13.5251    22.9293    16.2123    O4







































































































































































14.6388    12.5979    16.128     GLRH
14.6312    12.6007    15.9904
14.6133    12.5928    15.9592
14.6409    12.6032    15.7747
14.6285    12.5679    15.625
14.6303    12.5609    15.5479
14.6353    12.6064    15.2538
14.6589    12.6448    14.9423
14.6433    12.6632    14.8863
14.6767    12.6244    14.5921
14.6638    12.5546    14.3582
14.6472    12.5015    14.1427
14.6541    12.3831    13.9086
14.6333    12.258     13.6642
14.6589    12.1002    13.4538
14.6543    11.9253    13.2615
14.6396    11.6922    13.0158
14.6324    11.5367    12.8522
14.6197    11.3457    12.6306
14.6189    11.1884    12.4885
14.6078    11.0641    12.2795
14.6166    10.8185    12.0412
14.6232    10.6588    11.8225
14.5959    10.4525    11.5984
14.5943    10.1655    11.2988
14.5837    9.9134     11.0391
14.5671    9.7154     10.8288
14.5605    9.4494     10.4954
14.5679    9.2413     10.2005
14.551     9.0658     9.9717
14.5264    8.9779     9.8101
14.5338    8.8544     9.6006
14.5543    8.7221     9.3866
14.5362    8.5904     9.1651
14.5449    8.4749     8.9839
14.5414    8.395      8.8186
14.5439    8.3426     8.6396



































































































































































14.5869    8.3932     8.6039     NOSE
14.4665    8.3985     8.6893
14.2702    8.465      8.6694
14.0711    8.4385     8.5654
13.8685    8.5016     8.394
13.6467    8.4097     8.1147
13.5174    8.2059     7.7262
13.4581    8.05       7.3184
13.3835    7.8797     6.9254
13.3589    7.5736     6.3562
13.3658    7.2413     6.0036
13.5511    6.8492     5.6962
13.9084    6.463      5.4423
14.3003    6.2496     5.1164
14.5077    6.2391     4.8713
14.7372    6.2429     4.865
14.9662    6.1673     5.1171
15.1728    6.231      5.3208
15.4245    6.3858     5.4579
15.6382    6.5842     5.5763
15.8147    6.7776     5.7137
15.8831    7.0087     5.9332
15.9068    7.0747     6.0032
15.9435    7.3023     6.3326
15.9227    7.625      6.7283
15.9197    7.8197     7.0905
15.9713    7.8787     7.1771
15.853     8.0455     7.5321
15.7394    8.2511     7.89
15.5024    8.4514     8.1224
15.3676    8.5312     8.2738
15.1999    8.5294     8.4531
14.9825    8.4709     8.5226
14.8506    8.4219     8.6263
14.7124    8.4298     8.6761
14.6605    8.4406     8.6648
14.651     8.4389     8.6663



































































































































































14.635     6.2394     4.8354     NASP-PR
14.6219    6.1922     4.761
14.6657    6.1081     4.5867
14.6888    6.0228     4.2516
14.7174    6.0458     4.03
14.7183    6.0814     3.7577
14.7151    6.1193     3.5352
14.702     6.1853     3.2956
14.7113    6.4163     3.057































































































































































































13.5627    9.2813     9.2118     R-PM/MAX
13.5339    9.1613     9.0674
13.5416    9.1586     9.0555
13.4908    9.0227     8.8347
13.4953    9.0112     8.8044
13.4553    8.9375     8.7012
13.4227    8.8461     8.4972
13.3635    8.6616     8.272
13.2909    8.4848     8.0566
13.1592    8.251      7.6156
13.1153    8.0941     7.1825
13.0762    8.0255     6.9148
13.0025    7.899      6.4936
12.9524    7.7942     6.0875
12.8676    7.7197     5.6763
12.7971    7.6128     5.3382
12.7999    7.6156     5.2985
12.703     7.5715     5.1409
12.7171    7.5416     5.0882
12.625     7.5219     4.8689
12.632     7.5236     4.8186
12.6195    7.5983     4.5431
12.7085    7.6499     4.3936
12.8916    7.7843     4.0962
12.9699    7.867      4.013















































































































































































15.4972    9.1368     9.1971     L-PM/MAX
15.5577    9.0451     8.9715
15.5659    9.0255     8.9306
15.6718    8.8491     8.6484
15.686     8.8272     8.6022
15.7669    8.7096     8.3836
15.7833    8.6743     8.33
15.8297    8.4925     8.1585
15.8822    8.5192     8.1248
16.0152    8.3434     7.8275
16.0263    8.3103     7.7745
16.1043    8.1393     7.4609
16.131     8.1143     7.3804
16.1658    8.0036     7.0975
16.21      7.9119     6.7692
16.274     7.8123     6.4339
16.2994    7.744      6.1439
16.3164    7.7138     6.0558
16.3973    7.5546     5.5758
16.5314    7.4925     5.368
16.5714    7.4958     5.2249
16.7021    7.5999     4.7409
16.4888    7.6782     4.4245
16.3656    7.8464     4.1873
















































































































































































11.91      12.0984    5.6087     ROSTRUM
11.7989    12.0437    5.7586
11.7757    11.8967    5.8874
11.7609    11.8571    6.0802
11.7733    11.7319    6.2558
11.8633    11.6144    6.5206
11.9811    11.5379    6.7197
12.1069    11.4536    6.8767
12.1582    11.3383    7.073
12.2227    11.18      7.3808
12.1665    11.0131    7.7666
12.0517    10.8515    8.1653
11.8945    10.6686    8.5151
11.7703    10.474     8.8219
11.7474    10.3187    9.1026
11.851     10.208     9.3275
11.9967    10.0201    9.6404
12.1086    10.0125    9.767
12.4866    9.9605     9.8202
12.9231    10.0253    9.7444
13.3686    9.9245     9.9137
13.7107    9.8072     10.0823
14.0778    9.5765     10.3939
14.3417    9.5023     10.5007
14.7829    9.492      10.4793
15.1537    9.6319     10.3123
15.4225    9.8147     10.1006
15.7791    9.9668     9.9108
16.1286    10.0074    9.8402
16.4102    9.9988     9.7742
16.7775    9.9834     9.8276
17.1044    10.0292    9.7162
17.3419    10.2493    9.3718
17.4142    10.3782    9.1509
17.2029    10.684     8.6844
16.9742    10.9586    8.1503
16.8737    11.2602    7.5693
17.0077    11.4469    7.1649
17.103     11.5157    7.0315
17.4231    11.7274    6.6336
17.5273    11.9039    6.3571
17.5748    12.085     6.0544
17.3748    12.1674    5.6877
17.2113    12.2079    5.6183




























































































































































9.7942     14.5333    14.6111    SUPORB
9.8138     14.6923    14.8414
9.9152     14.4911    15.2147
10.1438    14.4885    15.6665
10.3819    14.4577    16.0515
10.8018    14.3942    16.4427
11.4373    14.2014    16.7889
12.1524    14.0537    17.0555
12.7916    13.9992    17.1868
13.3221    13.9374    17.1618
13.8601    13.7114    17.1109
14.316     13.4241    17.0008
14.5976    13.1053    16.8587
14.7388    13.1615    16.901
14.9586    13.2874    16.9488
15.1491    13.5829    17.0504
15.5487    13.8426    17.1075
16.0038    14.015     17.1447
16.4319    14.1173    17.132
17.1173    14.2368    17.0133
17.5119    14.3184    16.8621
17.9711    14.461     16.6816
18.3766    14.549     16.492
18.7626    14.7105    16.0847
18.9466    14.7266    15.8018
19.1113    14.6867    15.4054
19.2632    14.7329    15.0585
19.2633    14.8292    14.7843
19.2717    14.8054    14.6189











































































































































































12.2561    13.0959    13.4258    RORBIT
12.042     13.1421    13.4854
11.6951    13.1764    13.54
11.3269    13.2685    13.7109
11.0615    13.4481    13.9502
10.8478    13.6146    14.3085
10.737     13.7305    14.7508
10.7925    13.5786    15.1934
10.9645    13.3238    15.5163
11.2572    13.0468    15.7829
11.6114    12.9276    15.8653
12.0076    12.813     15.9061
12.4311    12.8093    15.8884
12.8181    12.8041    15.8295
13.081     12.8387    15.9042
13.5192    12.9557    15.791
13.8459    12.9443    15.734
13.9553    12.9536    15.494
14.039     12.9616    15.2234
14.0792    12.9735    15.0354
14.097     13.0028    14.7611
14.0916    12.9622    14.6326


















































































































































































16.745     13.102     13.4206    LORBIT
17.0931    13.142     13.4872
17.49      13.271     13.59
17.7372    13.411     13.7463
18.072     13.6529    14.0374
18.2113    13.8066    14.3138
18.345     13.9711    14.9592
18.1601    13.7932    15.4157
17.9298    13.4402    15.6892
17.6047    13.2485    15.8184
17.1545    13.0255    15.8854
16.5319    12.8758    15.8522
16.2729    12.9691    15.8259
15.8776    12.8882    15.8394
15.4817    12.9118    15.7416
15.1907    12.9794    15.4889
15.099     12.9903    15.1642
15.0551    12.9625    14.8324
15.1138    13.0237    14.5957





















































































































































































9.7893     14.4352    14.5424    RTEMFOS
9.7576     14.3317    14.2649
