AMNH       169432     Phu1mam
-1.0414    3.1092     7.3322
-1.0848    3.0106     7.1471
-1.0973    2.9322     7.0085
-1.1249    2.8866     6.8969
-1.1672    2.7806     6.6821
-1.201     2.6999     6.3675
-1.2575    2.5772     6.17
-1.3235    2.4798     5.9605
-1.3782    2.2979     5.6575
-1.4929    2.3356     5.4164
-1.43      2.4025     5.0872












































































































































































1.2816     4.7046     9.5416     L-PM/MAX
1.3158     4.6131     9.3995
1.3599     4.4781     9.2394
1.4104     4.381      9.1152
1.4689     4.3557     8.987
1.5276     4.2721     8.8545
1.565      4.1842     8.7639
1.5856     4.1157     8.6943
1.6163     4.0607     8.6448
1.7137     3.9141     8.4896
1.7973     3.7961     8.334
1.8404     3.7256     8.2315
1.9177     3.5755     8.029
1.9423     3.4842     7.9118
1.9757     3.4228     7.7796
1.9883     3.345      7.6913
2.0203     3.2639     7.5095
2.053      3.172      7.3183
2.0634     3.0799     7.124
2.1158     2.9867     6.9152
2.1465     2.9086     6.7054
2.1892     2.7983     6.4815
2.2133     2.7112     6.2868
2.2749     2.5819     6.0834
2.3988     2.506      5.9207
2.4649     2.4694     5.6876
2.5711     2.5227     5.5415
2.5016     2.4842     5.2992












































































































































































-2.5438    6.9324     5.72       ROSTRUM
-2.5813    6.8422     5.9292
-2.5546    6.8135     6.0893
-2.5415    6.7885     6.2806
-2.5187    6.7551     6.4464
-2.4584    6.7308     6.5681
-2.3646    6.7007     6.7333
-2.1969    6.6575     6.9922
-2.1427    6.6003     7.149
-2.0667    6.5668     7.3194
-2.0408    6.518      7.5221
-2.0432    6.4474     7.792
-2.1216    6.3836     8.1268
-2.1624    6.3271     8.3354
-2.2969    6.256      8.6718
-2.3593    6.1928     8.9097
-2.4658    6.1185     9.1666
-2.4756    5.9687     9.4815
-2.2522    5.7909     9.9735
-2.0433    5.7618     10.0934
-1.8263    5.7565     10.1675
-1.6254    5.7952     10.172
-1.4251    5.8078     10.1102
-1.4589    5.8068     10.0108
-1.1986    5.8221     10.0748
-1.0108    5.8485     10.137
-0.8467    5.8018     10.2299
-0.684     5.7756     10.3297
-0.385     5.705      10.4505
-0.2793    5.6492     10.6198
-0.164     5.617      10.725
0.0422     5.5175     10.84
0.2277     5.5084     10.903
0.5052     5.4584     10.9037
0.6805     5.4892     10.8626
0.8554     5.5141     10.7644
0.9956     5.608      10.6089
1.0771     5.6001     10.4442
1.2492     5.6695     10.3433
1.4251     5.7337     10.2299
1.6503     5.7996     10.0859
1.8797     5.861      10.0608
2.1761     5.8717     10.0139
2.3703     5.8564     10.0295
2.5205     5.8884     10.0508
2.7337     5.8696     9.9733
2.9457     5.8958     9.7549
3.1236     6.0107     9.4478
3.1574     6.153      9.0446
3.0526     6.1756     8.7869
2.871      6.2898     8.4598
2.7858     6.3297     8.2133
2.7053     6.3537     7.9598
2.6311     6.3992     7.7489
2.619      6.427      7.5816
2.6357     6.4411     7.4178
2.6449     6.5028     7.2456
2.7454     6.5625     6.9789
2.8406     6.6436     6.8181
2.9488     6.7034     6.6723
3.0652     6.7497     6.5009
3.188      6.8222     6.2712
3.1999     6.9407     6.0035
3.2027     6.9855     5.808
3.1284     7.0766     5.6075







































































































































-4.5488    10.7405    14.2401    SUPORB
-4.506     10.7404    14.5172
-4.4098    10.7049    14.7389
-4.3304    10.6851    14.9656
-4.2213    10.6429    15.2223
-4.0423    10.5356    15.4922
-3.8505    10.5506    15.6948
-3.6434    10.4411    15.8918
-3.4408    10.4495    16.0353
-3.2403    10.3704    16.1104
-2.9276    10.3798    16.2589
-2.6222    10.4298    16.3821
-2.3036    10.4377    16.4919
-1.9196    10.3907    16.5921
-1.6463    10.4456    16.6332
-1.3093    10.4614    16.6513
-1.0131    10.309     16.6595
-0.7671    10.211     16.6378
-0.5139    10.1398    16.6146
-0.2829    10.0346    16.5718
-0.0002    9.9783     16.4998
0.2749     9.9609     16.4107
0.5638     9.9957     16.425
0.9107     10.0657    16.4789
1.1526     10.202     16.5222
1.5595     10.4432    16.5463
1.8963     10.621     16.5429
2.1035     10.6476    16.5254
2.4434     10.6851    16.4662
2.787      10.759     16.3438
3.0657     10.7803    16.2379
3.3271     10.8439    16.1273
3.5968     10.9332    15.9832
4.1805     11         15.5742
4.5213     11.1625    15.1159
4.6341     11.256     14.8952
4.7334     11.336     14.6078
4.77       11.4081    14.4001
4.8922     11.4362    13.9988

































































































































































-2.0711    9.1739     13.0654    RORBIT
-2.3182    9.2455     13.1205
-2.5237    9.2377     13.1776
-2.7043    9.2635     13.2287
-2.8986    9.3579     13.3179
-3.0478    9.4875     13.4332
-3.2235    9.5539     13.5253
-3.375     9.6747     13.7
-3.42      9.8374     13.8933
-3.4323    9.9609     13.9908
-3.5422    10.0036    14.2026
-3.5548    9.9165     14.7184
-3.5017    9.8527     14.8966
-3.3802    9.8062     15.0587
-3.2701    9.6322     15.2646
-3.0909    9.5494     15.4054
-2.936     9.4509     15.5397
-2.7261    9.3804     15.5986
-2.4739    9.3104     15.6181
-2.2478    9.298      15.652
-1.9793    9.2957     15.6309
-1.6507    9.2439     15.5962
-1.407     9.3396     15.5057
-1.2273    9.3468     15.5532
-0.8941    9.4361     15.7428
-0.6852    9.4277     15.7523
-0.4517    9.4865     15.6396
-0.2948    9.4875     15.2774
-0.2294    9.4439     15.0436
-0.1984    9.4606     14.858
-0.1901    9.5022     14.6139
-0.1842    9.3816     14.257








































































































































































2.4554     9.4278     12.9324    LORBIT
2.6532     9.4673     12.9901
2.8596     9.5453     13.0068
3.0168     9.681      13.0828
3.2132     9.7009     13.1217
3.375      9.8882     13.2205
3.5921     10.0366    13.333
3.7371     10.2461    13.5149
3.8664     10.4055    13.7256
4.0505     10.4829    13.9794
4.1271     10.5621    14.1645
4.1502     10.5512    14.4583
4.1307     10.4757    14.6429
4.0657     10.3706    14.803
3.9525     10.2456    15.033
3.8219     10.0932    15.2237
3.5922     9.9977     15.2968
3.3824     9.8621     15.3906
3.139      9.7559     15.4628
2.9191     9.7175     15.4452
2.7224     9.6075     15.4908
2.4848     9.6147     15.4381
2.228      9.5675     15.4579
1.7674     9.626      15.7191
1.5632     9.6378     15.6644
1.2884     9.5702     15.7032
1.094      9.5038     15.6594
0.9524     9.5353     15.2815
0.8996     9.4711     15.1067
0.8573     9.4448     14.9324
0.8173     9.4855     14.74
0.7757     9.4414     14.5196
0.8009     9.4126     14.2032







































































































































































-4.5509    10.7387    14.1632    RTEMFOS
-4.586     10.6112    14.0415
-4.5752    10.5123    13.9897
-4.5934    10.4361    13.807
-4.6037    10.3719    13.6849
-4.6276    10.2877    13.5735
-4.6155    10.2142    13.4218
-4.5932    10.0752    13.1853
-4.6026    9.9895     13.0222
-4.6109    9.9753     12.8729
-4.6036    9.9452     12.7422
-4.6258    9.8604     12.6862
-4.5996    9.7909     12.5771
-4.6287    9.7831     12.4337
-4.6133    9.7712     12.2858
-4.6413    9.692      12.1838
-4.6603    9.6464     12.033
-4.6726    9.5808     11.8929
-4.7056    9.5259     11.7595
-4.754     9.4994     11.54
-4.7941    9.4487     11.3786
-4.8562    9.4573     11.1961
-4.897     9.4277     11.0055
-4.9987    9.4495     10.7977
-5.1384    9.5488     10.6517
-5.2428    9.726      10.509
-5.3393    9.8419     10.4947
-5.4522    9.9799     10.4604
-5.5171    10.1074    10.4354
-5.5159    10.2624    10.4419
-5.5912    10.3869    10.4381
-5.5559    10.5494    10.4975
-5.6042    10.6693    10.495
-5.6414    10.9935    10.5871






































































































































































4.9007     11.4034    14.0686    LTEMFOS
4.9231     11.365     13.938
4.9143     11.3186    13.7929
4.9342     11.2609    13.732
4.9456     11.1668    13.6367
4.9764     11.05      13.4641
4.9857     11.0041    13.313
5.0046     10.9287    13.163
5.015      10.861     13.0346
5.0035     10.7947    12.8649
5.0119     10.7571    12.7212
5.0208     10.6495    12.5868
5.0409     10.5699    12.3879
5.0166     10.4756    12.2341
4.9949     10.4501    12.0576
4.9965     10.3855    11.9571
5.0106     10.338     11.7678
5.0197     10.2172    11.5541
5.0237     10.1796    11.3042
5.0629     10.0872    11.1631
5.1132     10.091     11.0138
5.1664     10.0402    10.8469
5.2075     10.0631    10.6492
5.2546     10.1037    10.5273
5.3201     10.2013    10.3601
5.4439     10.3894    10.2311
