UWMA       T88-154    Ppa5stv
-20.4127   19.8077    6.4864
-20.4511   19.8356    6.2775
































































































































































-13.9467   20.303     9.8817     SUPORB
-13.9941   20.2698    10.0418
-14.0125   20.2102    10.2808
-14.167    20.1418    10.5393
-14.3533   20.1455    10.7889
-14.5184   20.1132    10.9677
-14.7461   20.0188    11.1011
-15.0511   19.935     11.2416
-15.313    19.893     11.3415
-15.602    19.7474    11.4138
-15.8167   19.7117    11.4605
-16.0322   19.6354    11.4817
-16.2191   19.5758    11.5261
-16.3942   19.5108    11.5349
-16.5605   19.4516    11.5526
-16.7776   19.3914    11.5599
-16.9238   19.3246    11.5162
-17.0402   19.3195    11.4984
-17.3527   19.2254    11.4588
-17.3006   19.1719    11.493
9999       9999       9999



















































































































































































-15.9232   20.8698    9.0037     RORBIT
-15.5949   20.8545    9.0274
-15.3975   20.829     9.1271
-15.1938   20.7877    9.2522
-14.9688   20.7248    9.3745
-14.8074   20.6249    9.5637
-14.6995   20.5198    9.8513
-14.6962   20.4677    10.0373
-14.6424   20.4643    10.275
-14.6735   20.4224    10.5233
-14.8196   20.3623    10.6545
-14.9935   20.2746    10.7704
-15.1403   20.2406    10.8868
-15.3291   20.1641    10.9709
-15.5471   20.1461    11.0704
-15.7278   20.06      11.0662
-15.9137   19.9916    11.0569
-16.0394   19.9372    11.0755
-16.1605   19.8654    11.0641
-16.5459   19.6457    11.1203
-16.7541   19.6576    11.1504
-16.924    19.5604    10.9894
-17.1318   19.6306    10.9199
-17.1774   19.6102    10.7506
-17.2586   19.6488    10.6074
-17.2627   19.6433    10.4999
-17.3055   19.6537    10.3207












































































