NMNH       197170     Phu28stv
19.8501    19.6291    16.4806    IN
15.849     16.0324    18.4166    BR
11.4144    11.3895    16.3813    GL
11.4258    11.4884    15.6669    NA
8.7467     8.3671     8.2407     RH
7.3721     7.069      4.2719     NS
7.4704     7.1532     3.0274     PR
6.66       8.0349     3.3692     R_PR2
9.0652     9.742      9.5365     R_PMS
9.3557     14.7733    9.0751     R_ZMI
10.6233    12.9754    13.4595    R_ZMU
11.3047    11.9386    14.6607    R_DA
10.2469    13.119     15.9878    R_MTI
10.8834    13.7512    17.1533    R_MTS
9.8733     15.1424    14.656     R_FMO
9.9258     16.1073    14.4885    R_FMT
14.6743    20.474     13.281     R_PO
9.7236     17.0648    11.2172    R_ZTS
8.3614     6.5392     3.1691     L_PR2
10.1465    8.7016     9.6966     L_PMS
15.0619    8.8392     9.4421     L_ZMI
13.2685    10.2219    13.439     L_ZMU
12.107     11.1939    14.6153    L_DA
13.055     10.0512    16.3519    L_MTI
13.7345    10.2786    17.2217    L_MTS
14.9289    9.8765     15.0049    L_FMO
16.0328    9.6077     15.0007    L_FMT
20.8881    14.028     13.8032    L_PO
17.4027    9.3104     11.9028    L_ZTS
8.964      6.1829     3.0164     O1
10.814     14.9319    16.5718    O2
19.0998    10.1586    12.342     O3
20.6255    18.7047    15.7919    O4







































































































































































11.4006    11.3875    16.3872    GLRH
11.4095    11.4147    16.1411
11.4042    11.4388    15.9281
11.4242    11.4861    15.6707
11.4673    11.4978    15.4198
11.5021    11.4726    15.2099
11.5306    11.4305    14.9447
11.4996    11.3906    14.7085
11.4787    11.3387    14.4773
11.4165    11.2829    14.3008
11.3932    11.2098    14.1565
11.2997    11.0676    13.8746
11.2378    10.9836    13.6862
11.1692    10.9303    13.5324
11.1264    10.8633    13.4101
11.0709    10.7843    13.2677
11.0042    10.713     13.1216
10.9536    10.644     13.0038
10.859     10.5751    12.8353
10.8004    10.4518    12.6455
10.6883    10.3734    12.4528
10.6261    10.2927    12.2832
10.5835    10.261     12.1992
10.5405    10.2041    12.0371
10.4451    10.1459    11.9065
10.4003    10.0432    11.7898
10.3512    9.9451     11.6284
10.2965    9.9005     11.5221
10.2224    9.861      11.3916
10.167     9.802      11.2845
10.08      9.7353     11.1612
10.0008    9.6613     10.9939
9.8906     9.5616     10.8129
9.824      9.4499     10.6481
9.7568     9.3792     10.5112
9.681      9.2899     10.3413
9.5963     9.1759     10.1496
9.5148     9.095      9.9745
9.411      8.9987     9.7656
9.3416     8.9528     9.6123
9.2649     8.8677     9.4218
9.1532     8.7756     9.1933
9.0399     8.7005     8.9815
8.993      8.5765     8.8376
8.9385     8.4519     8.6448
8.8704     8.4065     8.5083
8.8336     8.3745     8.1051































