KNM        BC 2a      Tbg1stv














9.0443     10.2269    8.5111     L-PM/MAX
8.8936     9.9934     8.4044
8.7664     9.6584     8.2525
8.6882     9.3482     8.1252
8.5781     9.1473     8.0064
8.4391     8.8809     7.8502
8.3424     8.7309     7.7532
8.1579     8.5602     7.5784
8.1049     8.3557     7.4474
8.044      8.0969     7.3104
8.1042     7.8715     7.1884
8.1454     7.5975     7.0259
8.082      7.3499     6.7867
7.9578     7.1563     6.5775
7.8508     7.0362     6.3536
7.6213     6.9533     6.1233
7.619      6.8605     5.9034
7.6082     6.7795     5.7119
7.609      6.6828     5.4533
7.6613     6.6928     5.1144
7.7747     6.7328     4.8429
7.8578     6.904      4.5406


















































































































































































7.6866     13.1081    4.325      ROSTRUM
7.6162     13.1296    4.6092
7.5973     13.1488    4.7889
7.5725     13.1828    5.0135
7.5196     13.1073    5.3145
7.5632     13.0437    5.7223
7.5896     13.0476    5.9059
7.5909     13.0437    6.0764
7.5844     13.0506    6.3052
7.5389     13.0554    6.5164
7.4851     13.117     6.7939
7.4098     13.1496    6.9833
7.3189     13.1436    7.1324
7.2735     13.1658    7.3055
7.1837     13.1858    7.5414
7.1447     13.2378    7.7168
7.0926     13.2619    7.964
7.1311     13.3076    8.1751
7.139      13.2222    8.3867
7.2539     13.1793    8.5702
7.3888     13.0764    8.7101
7.5655     12.9345    8.8144
7.71       12.8424    8.8539
7.8981     12.6948    8.8646
8.0502     12.566     8.8377
8.1395     12.4971    8.861
8.1871     12.4164    8.8883
8.3089     12.3017    8.9691
8.4261     12.2036    8.9829
8.5251     12.0971    9.0185
8.6541     11.9864    9.0449
8.7372     11.9031    9.0686
8.8144     11.8109    9.1451
8.9208     11.6727    9.2274
9.0454     11.5411    9.2742
9.1154     11.4523    9.2805
9.2062     11.4038    9.247
9.3271     11.3032    9.1689
9.4658     11.2072    9.1407
9.5859     11.1277    9.0208
9.8294     10.9324    8.9084
9.9603     10.7886    8.8707
10.0646    10.6605    8.8589
10.1763    10.5275    8.8252
10.2875    10.4369    8.8683
10.3995    10.321     8.8946
10.5161    10.1816    8.9028
10.6091    10.0636    8.905
10.7491    9.9392     8.861
10.8514    9.8567     8.7429
10.9448    9.8224     8.5964
11.0184    9.7614     8.4433
11.0807    9.7267     8.2322
11.1132    9.7214     7.9863
11.0904    9.7716     7.7396
11.0919    9.784      7.5841
11.1303    9.7585     7.3734
11.175     9.751      7.2002
11.1912    9.7237     6.9543
11.2246    9.7182     6.7812
11.2593    9.7084     6.587
11.2849    9.6662     6.3556
11.3435    9.6399     6.1946
11.397     9.5991     6.035
11.4515    9.5694     5.8763
11.5122    9.4996     5.6683
11.5566    9.4744     5.5293
11.5969    9.455      5.2881
11.6248    9.419      5.0959
11.6513    9.4394     4.9407
11.6441    9.4195     4.7692
11.651     9.463      4.6342
