LSZT       R3         Phu187sf
-0.2828    21.0915    13.3486    IN
-0.2179    16.7408    16.6578    BR
-0.4165    10.0307    15.7932    GL
-0.4503    9.8847     15.37      NA
-0.4522    4.5794     9.3165     RH
-0.254     1.6884     5.8221     NS
-0.2097    1.3141     4.7095     PR
-1.4086    1.6023     4.842      R_PR2
-1.0139    6.379      10.8069    R_PMS
-4.0426    9.3212     9.4042     R_ZMI
-2.5129    9.6984     12.6964    R_ZMU
-0.9712    9.7564     14.0103    R_DA
-2.4061    10.3708    15.6607    R_MTI
-2.4423    11.1306    16.4389    R_MTS
-4.0734    10.9585    14.3081    R_FMO
-4.5102    11.8496    14.259     R_FMT
-4.9143    17.3583    11.1794    R_PO
-5.2729    11.5723    10.5727    R_ZTS
1.0473     1.7115     4.9031     L_PR2
0.0683     6.7142     10.9312    L_PMS
3.3848     9.4866     9.2452     L_ZMI
1.8056     9.8257     12.5973    L_ZMU
0.1313     9.7926     13.9726    L_DA
1.6274     10.2583    15.6385    L_MTI
1.8413     10.9521    16.3006    L_MTS
3.2091     10.97      14.0275    L_FMO
3.8027     11.8188    13.9372    L_FMT
4.1136     17.2094    10.95      L_PO
4.4597     11.6628    10.4872    L_ZTS
0.5346     1.0771     4.3681     O1
-3.6518    12.7485    15.7504    O2
5.0827     14.3113    10.3646    O3
-0.9692    21.0217    13.214     O4







































































































































































-0.4028    10.0161    15.8389    GLRH
-0.4065    9.9869     15.6952
-0.4156    9.9175     15.4445
-0.4215    9.8136     15.2226
-0.3895    9.744      14.9053
-0.3254    9.7184     14.7118
-0.39      9.6015     14.415
-0.4333    9.4354     14.1603
-0.4568    9.2269     13.8661
-0.4807    8.9804     13.5422
-0.4351    8.6561     13.1813
-0.4331    8.3455     12.8578
-0.4969    8.162      12.6755
-0.4991    7.9656     12.4927
-0.4872    7.7442     12.2713
-0.4953    7.5035     12.0592
-0.4779    7.302      11.8828
-0.473     7.0941     11.6856
-0.4829    6.8757     11.5008
-0.4963    6.6618     11.3202
-0.4666    6.4386     11.1401
-0.4347    6.2832     11.0032
-0.4989    6.0715     10.841
-0.5286    5.8017     10.5956
-0.4682    5.5059     10.3228
-0.4924    5.2687     10.1094
-0.5098    5.0352     9.8993
-0.4857    4.8106     9.6699
-0.4945    4.6814     9.5566
-0.5107    4.5371     9.3791










































































































































































-0.406     4.5471     9.3595     NOSE
-0.6869    4.5962     9.3189
-0.8652    4.5527     9.3617
-1.1168    4.5585     9.2975
-1.2494    4.3864     9.1197
-1.3446    4.175      8.9115
-1.4317    3.9912     8.6722
-1.4927    3.8077     8.4501
-1.6011    3.6023     8.2001
-1.6711    3.3332     7.9366
-1.6579    3.1531     7.7059
-1.6658    2.8826     7.3737
-1.62      2.7174     7.1798
-1.5824    2.5052     6.8941
-1.4566    2.2975     6.6571
-1.2994    2.1471     6.6079
-1.0875    1.9647     6.5368
-0.8862    1.8363     6.4395
-0.7334    1.6883     6.2491
-0.6221    1.6361     6.0629
-0.5063    1.5925     5.9826
-0.4088    1.5847     5.8987
-0.2542    1.6114     5.7755
-0.1047    1.558      5.8254
0.2216     1.5749     6.0102
0.386      1.7586     6.232
0.589      1.8378     6.3726
0.6642     2.0404     6.5122
0.7888     2.2486     6.6449
0.9584     2.3541     6.7015
1.0337     2.4921     6.8462
1.0475     2.7079     7.1522
1.0898     2.8815     7.3481
1.0053     3.1104     7.6291
0.9317     3.3783     7.9539
0.8627     3.6351     8.2513
0.7212     3.8734     8.5079
0.6437     4.0015     8.6605
0.5752     4.222      8.8932
0.4954     4.3771     9.0755
0.3321     4.521      9.177
0.1443     4.5562     9.239
-0.0988    4.5565     9.3747
-0.4378    4.5698     9.4036




























































































































































-0.2682    1.5419     5.7138     NASP-PR
-0.253     1.3005     5.436
-0.2056    1.2611     5.1912
-0.2136    1.2532     4.9635
-0.221     1.261      4.8251
-0.3084    1.3823     4.601


































































































































































































-1.012     6.3561     10.7796    R-PM/MAX
-1.0565    6.0857     10.597
-1.115     5.8036     10.399
-1.1838    5.5817     10.2162
-1.2375    5.3859     10.0395
-1.323     5.113      9.7927
-1.4272    4.9156     9.5473
-1.4718    4.7329     9.4039
-1.5536    4.6187     9.2872
-1.6862    4.4647     9.0788
-1.7669    4.251      8.7677
-1.8303    4.056      8.5971
-1.8689    3.8343     8.3388
-1.9025    3.6693     8.0929
-1.9155    3.4952     7.7933
-2.0982    3.3392     7.4074
-2.2075    3.3477     7.2422
-2.2927    3.2368     6.8733
-2.3822    3.1245     6.6958
-2.4645    2.9789     6.3793
-2.483     2.9032     6.1436
-2.5079    2.9248     5.9162
-2.4841    2.9278     5.7218
-2.4247    2.9582     5.5752
-2.3661    2.9419     5.4573















































































































































































0.096      6.6544     10.8732    L-PM/MAX
0.1202     6.4763     10.7251
0.2379     6.074      10.4168
0.3135     5.7451     10.1297
0.4002     5.4488     9.904
0.508      5.2392     9.6644
0.5824     4.9783     9.4417
0.6402     4.7573     9.2381
0.76       4.6085     9.0858
0.8982     4.4474     8.8139
1.0209     4.2438     8.6649
1.1235     3.9969     8.4503
1.2113     3.7771     8.1052
1.3674     3.6085     7.6994
1.4326     3.4614     7.3969
1.4808     3.3851     7.2141
1.5661     3.2676     6.9206
1.6486     3.1935     6.6979
1.7581     3.0264     6.4047
1.8991     3.0682     6.2294
2.0324     3.022      5.9465
2.0364     2.9781     5.7556
1.9154     2.952      5.5807
1.656      2.9632     5.3116
















































































































































































-3.2007    7.3557     6.5054     ROSTRUM
-3.1981    7.2345     6.7741
-3.1725    7.1829     7.0267
-2.9865    7.1181     7.3306
-2.834     7.0988     7.4869
-2.6661    7.0359     7.7202
-2.5775    6.9448     8.0104
-2.5558    6.9054     8.3131
-2.5556    6.8412     8.5755
-2.5455    6.7469     8.8668
-2.5649    6.7761     9.199
-2.6071    6.755      9.5176
-2.5108    6.6539     10.022
-2.3813    6.6426     10.2623
-2.1694    6.5597     10.4181
-1.8877    6.5406     10.5395
-1.6084    6.5316     10.6586
-1.4395    6.5569     10.7377
-1.3087    6.5557     10.8384
-1.1523    6.5496     10.943
-1.0016    6.5205     10.9446
-0.8612    6.4734     11.0833
-0.6545    6.4288     11.1345
-0.497     6.4232     11.1338
-0.2484    6.4584     11.0993
-0.0832    6.5062     11.0302
0.0831     6.6591     10.8957
0.3153     6.6857     10.8093
0.497      6.7433     10.7159
0.7049     6.7841     10.6011
0.9706     6.7923     10.4541
1.2287     6.8093     10.4034
1.5006     6.8799     10.2568
1.6471     6.9331     10.1087
1.7231     6.9769     9.8828
1.7292     7.0929     9.4396
1.7113     7.24       9.0683
1.7705     7.2427     8.7454
1.7841     7.2871     8.4773
1.7916     7.3094     8.1209
1.9134     7.4057     7.8009
2.0426     7.4576     7.5674
2.2352     7.4479     7.3799
2.3846     7.3585     7.1426
2.4822     7.4146     6.9371
2.4967     7.4639     6.6244
2.4757     7.495      6.4447
2.4376     7.567      6.3359
























































































































































