NME       spec2     Eth2stv














10.139    7.8256    -10.2848  L-PM/MAX
10.0323   7.6774    -10.2044
9.9194    7.5705    -10.0818
9.7812    7.4829    -9.897
9.6413    7.3488    -9.764
9.4277    7.1991    -9.5637
9.2422    7.0739    -9.3876
9.0774    6.9303    -9.2479
8.9827    6.8727    -9.1623
8.8173    6.7616    -9.0113
8.6709    6.6716    -8.8646
8.5314    6.5329    -8.7891
8.3166    6.4376    -8.6344
8.1975    6.3266    -8.4296
8.086     6.2365    -8.2294
7.9917    6.2035    -8.0348
7.9552    6.1402    -7.7978
7.8275    6.1486    -7.5964
7.7736    6.0886    -7.2812
7.6654    6.0306    -7.0863
7.5604    5.9845    -6.887
7.4043    5.9253    -6.6729
7.2836    5.8766    -6.5086
7.105     5.8148    -6.0157
7.1167    5.7889    -5.8484
7.2194    5.8121    -5.6678
7.339     5.8564    -5.5337













































































































































































13.0733   7.3677    -6.192    ROSTRUM
13.111    7.3087    -6.4289
13.1399   7.2408    -6.6481
13.1266   7.2135    -6.9104
12.9665   7.2384    -7.0487
12.8268   7.2884    -7.1365
12.6393   7.3582    -7.253
12.4561   7.4156    -7.3949
12.3177   7.454     -7.5488
12.1908   7.3676    -7.9052
12.1071   7.3189    -8.2354
12.0113   7.093     -8.7069
11.9624   6.9327    -9.0809
11.8812   6.7691    -9.2895
11.8871   6.6943    -9.3963
11.9068   6.5718    -9.5598
11.8946   6.5053    -9.6675
11.7771   6.4366    -9.8955
11.6091   6.4598    -9.9998
11.4465   6.6008    -10.0125
11.3176   6.7211    -9.9576
11.1679   6.8166    -9.9761
10.9654   6.9305    -9.9245
10.7955   7.0471    -9.9061
10.6179   7.1286    -9.9643
10.2918   7.287     -10.0268
9.9366    7.4674    -10.0464
9.747     7.6764    -10.0016
9.596     7.737     -10.0054
9.4476    7.8072    -9.9885
9.2769    7.8645    -10.0569
9.0876    7.9415    -10.095
8.9497    7.9277    -10.1531
8.7976    8.0485    -10.1706
8.7307    8.1136    -10.1653
8.5661    8.2471    -10.0153
8.5767    8.2932    -9.845
8.8552    8.3564    -9.4828
8.9449    8.4848    -9.2586
8.9377    8.5467    -9.0729
8.8517    8.7446    -8.8224
8.8912    8.8448    -8.4945
8.8743    8.9034    -8.4009
8.9147    9.019     -8.1607
8.9597    9.0661    -8.0113
8.9496    9.2319    -7.7891
8.811     9.299     -7.6333
8.621     9.4886    -7.4461
8.468     9.5821    -7.3583
8.3208    9.65      -7.2032
8.2537    9.7213    -7.0667
8.3219    9.7942    -6.8631
8.3452    9.7881    -6.6798
8.3785    9.8583    -6.438


























































































































