LSZT       R26        Phu175sf
1.0566     22.4927    13.6247    IN
1.3736     17.4268    16.5801    BR
1.6494     10.2598    16.4521    GL
1.6311     10.2278    15.6634    NA
1.5087     4.1508     9.3643     RH
1.3826     1.6845     5.5199     NS
1.2936     1.2472     4.3222     PR
0.293      1.3804     4.4545     R_PR2
0.4857     5.0922     9.7906     R_PMS
-2.7353    9.304      9.4376     R_ZMI
-0.6007    10.0046    13.6533    R_ZMU
1.1379     10.3027    14.7996    R_DA
-0.5378    10.4073    16.3595    R_MTI
-0.2908    11.518     17.3809    R_MTS
-2.2552    11.138     14.9501    R_FMO
-3.2121    12.0021    14.9258    R_FMT
-3.8758    17.9613    11.9145    R_PO
-4.4094    11.626     11.1148    R_ZTS
2.4185     1.4694     4.4391     L_PR2
2.3365     5.5556     10.0829    L_PMS
5.1578     9.8633     8.8131     L_ZMI
3.6057     10.323     13.4183    L_ZMU
2.3242     10.3939    14.6285    L_DA
4.0851     10.5759    15.9207    L_MTI
4.1773     11.6437    16.9633    L_MTS
5.3996     11.5962    14.3599    L_FMO
6.1398     12.5334    14.2927    L_FMT
5.8469     18.325     11.02      L_PO
6.9815     11.963     10.4278    L_ZTS
3.7988     3.6055     1.9811     O1
-2.3938    12.2435    16.1616    O2
7.3991     14.1799    10.0704    O3
-0.1179    22.0251    13.1748    O4







































































































































































1.7031     10.2747    16.4736    GLRH
1.6775     10.2386    16.2315
1.6885     10.2397    16.0476
1.6934     10.246     15.8386
1.6998     10.2569    15.6709
1.7161     10.2193    15.3802
1.6839     10.1626    15.139
1.6969     10.0982    14.9546
1.6916     9.9848     14.7497
1.664      9.8533     14.5454
1.6762     9.6285     14.2843
1.7009     9.4391     14.0436
1.709      9.2389     13.8388
1.6789     9.043      13.6125
1.6587     8.7772     13.3516
1.6583     8.5483     13.1249
1.6798     8.3279     12.8975
1.6452     8.0758     12.7264
1.6319     7.8493     12.5299
1.6591     7.554      12.287
1.6075     7.2703     12.0697
1.5824     7.0323     11.8622
1.5677     6.8471     11.7543
1.5719     6.6481     11.5985
1.5575     6.5017     11.4734
1.5347     6.2628     11.3025
1.5495     6.0137     11.1197
1.5505     5.6664     10.9092
1.5139     5.4559     10.7123
1.4817     5.2042     10.4878
1.5652     4.9661     10.2168
1.5824     4.7367     10.0011
1.5868     4.5018     9.7664
1.5786     4.3357     9.6229
1.5655     4.1687     9.398































































































































































