AMNH       169432     Phu1pwl5
0.6043     24.1967    13.6685    IN
-0.0385    19.1346    16.6917    BR
-0.5257    12.8014    16.5186    GL
-0.5486    12.6203    15.9408    NA
-0.9254    6.8548     10.0596    RH
-0.9727    3.9705     6.9025     NS
-0.9153    3.5489     5.1929     PR
-1.9756    3.9294     5.3021     R_PR2
-1.7703    7.9851     10.361     R_PMS
-4.3394    12.6791    9.1937     R_ZMI
-2.7478    12.8192    13.5228    R_ZMU
-0.9562    12.7742    14.8041    R_DA
-2.8477    13.0693    16.0326    R_MTI
-2.4939    14.0686    17.0164    R_MTS
-4.0092    13.784     14.2464    R_FMO
-5.0804    14.7701    14.1911    R_FMT
-4.2223    20.5334    11.5543    R_PO
-5.8939    14.9937    10.6931    R_ZTS
0.1672     3.7181     5.3789     L_PR2
0.0781     7.6815     10.4789    L_PMS
3.6192     11.9488    9.6027     L_ZMI
1.6937     12.3367    13.6881    L_ZMU
0.0434     12.7037    14.8053    L_DA
1.9383     12.7048    16.1261    L_MTI
2.0345     13.7447    17.0606    L_MTS
3.1752     13.0464    14.3982    L_FMO
4.3805     14.0943    14.7668    L_FMT
4.6711     19.6828    11.78      L_PO
5.294      13.6381    11.1921    L_ZTS
-1.3427    3.4368     4.7989     O1
3.6365     14.3843    15.4511    O2
-6.0448    16.7208    10.9035    O3
1.2045     23.1366    13.548     O4







































































































































































-0.5527    12.8494    16.618     GLRH
-0.5449    12.7113    16.3482
-0.4977    12.6705    16.0877
-0.5167    12.5875    15.884
-0.5469    12.5617    15.5671
-0.4586    12.4989    15.2626
-0.4346    12.4392    14.9378
-0.4758    12.3518    14.7471
-0.5059    12.1876    14.4839
-0.5443    12.0392    14.277
-0.5454    11.8727    14.0913
-0.5132    11.6403    13.9127
-0.5742    11.4559    13.741
-0.5662    11.249     13.6164
-0.5758    11.0201    13.4681
-0.638     10.7771    13.3073
-0.6355    10.573     13.1892
-0.6597    10.3817    13.051
-0.6832    10.2101    12.8933
-0.7275    10.034     12.7654
-0.7237    9.6699     12.4868
-0.7646    9.3661     12.2931
-0.7951    9.1491     12.1412
-0.7936    8.9888     12.0546
-0.8138    8.7763     11.8908
-0.7907    8.5185     11.73
-0.826     8.3835     11.5966
-0.8733    8.0958     11.3835
-0.8812    7.8652     11.1785
-0.8644    7.6761     10.9904
-0.908     7.4928     10.7978
-0.9037    7.3575     10.6672
-0.9391    7.2541     10.5486
-0.9087    7.1455     10.4303
-0.9051    7.0367     10.2911
-0.9202    6.8961     10.1609
-0.9127    6.8607     10.029



































































































































































-0.8801    6.8705     10.0569    NOSE
-1.0841    6.9575     10.082
-1.3712    6.9479     9.9192
-1.5334    6.9671     9.8318
-1.6585    6.9628     9.7086
-1.7524    6.8542     9.4458
-1.8527    6.6981     9.1884
-1.9256    6.5524     8.9786
-2.0125    6.4444     8.8414
-2.0785    6.3186     8.7278
-2.1435    6.1479     8.4964
-2.1595    5.9669     8.3293
-2.2354    5.8232     8.1438
-2.2949    5.6366     7.9552
-2.3048    5.4021     7.7849
-2.3184    5.2071     7.6194
-2.2618    5.0111     7.526
-2.1443    4.8172     7.4601
-2.0427    4.621      7.4119
-1.8508    4.4836     7.3867
-1.7354    4.2984     7.3067
-1.6182    4.1034     7.2308
-1.4495    4.0057     7.1512
-1.3247    3.9441     7.056
-1.1961    3.9189     6.8925
-1.029     3.8916     6.83
-0.9187    3.9134     6.9042
-0.7697    3.9435     7.0528
-0.6459    3.9485     7.2702
-0.4919    4.0389     7.3867
-0.3156    4.1218     7.48
-0.1762    4.2822     7.5358
-0.0367    4.3904     7.5707
0.0842     4.5526     7.6469
0.1946     4.7853     7.7737
0.3336     5.0404     7.9707
0.339      5.1957     8.0669
0.3335     5.3931     8.2193
0.3911     5.576      8.4481
0.3773     5.7209     8.6117
0.3721     5.9069     8.7555
0.3776     6.0162     8.9029
0.3856     6.0942     9.0208
0.0272     6.4027     9.198
-0.046     6.5426     9.3386
-0.115     6.6748     9.4955
-0.1729    6.8093     9.6691
-0.3018    6.9303     9.9021
-0.5101    6.8633     9.9889
-0.6282    6.8791     10.0229
-0.7427    6.9026     10.0489
-0.8441    6.9045     10.0433
-0.9041    6.8686     10.0072



















































































































































-0.9731    3.9864     6.9048     NASP-PR
-0.9907    3.8508     6.7756
-0.9954    3.735      6.6543
-0.9683    3.6239     6.4883
-0.979     3.5605     6.267
-0.9557    3.511      6.0936
-0.9402    3.5024     5.9015
-0.9146    3.4874     5.6725
-0.8857    3.4724     5.4973
-0.8906    3.4888     5.3462
-0.8706    3.5416     5.2055





























































































































































































-1.7791    7.998      10.3706    R-PM/MAX
-1.8357    7.7977     10.2184
-1.8633    7.7023     10.1002
-1.9407    7.5639     9.94
-1.9631    7.4379     9.8021
-2.0222    7.2781     9.6697
-2.0645    7.1093     9.5405
-2.1541    6.9227     9.3742
-2.1955    6.8168     9.2303
-2.2651    6.7055     9.1005
-2.3295    6.5456     8.843
-2.3666    6.4038     8.637
-2.379     6.2912     8.4245
-2.4396    6.1626     8.1801
-2.4704    6.0789     8.0565
-2.5039    5.9633     7.8101
-2.5413    5.8986     7.673
-2.5695    5.7998     7.4745
-2.6       5.7492     7.2732
-2.6543    5.6174     7.0995
-2.7175    5.5443     6.8985
-2.8098    5.4869     6.7494
-2.8466    5.4189     6.6019
-2.9089    5.3928     6.3818
-2.9269    5.435      6.2052
-2.7795    5.3825     6.0641
-2.6467    5.3805     5.8794
-2.5089    5.4274     5.7518












































































































































































0.0921     7.6753     10.4684    L-PM/MAX
0.1221     7.5412     10.3448
0.1458     7.4516     10.2346
0.2112     7.2725     10.0564
0.2766     7.1335     9.9066
0.3284     6.9271     9.7069
0.4196     6.6924     9.5541
0.5179     6.4675     9.3359
0.5762     6.3539     9.1714
0.5988     6.1995     9.0303
0.6398     6.0759     8.8509
0.6597     5.9437     8.683
0.6908     5.8251     8.4432
0.6991     5.6901     8.2596
0.7552     5.6056     8.064
0.794      5.5126     7.8744
0.7854     5.4395     7.7469
0.8229     5.3191     7.5543
0.8409     5.2362     7.4034
0.8656     5.1431     7.3062
0.9203     5.0735     7.1795
0.9965     5.0201     7.1289
1.0893     4.9617     6.9329
1.1403     4.9514     6.8117
1.205      4.9678     6.7381
1.1675     4.991      6.5688
1.0417     4.968      6.3306
0.9259     4.997      6.2065












































































































































































-3.1504    9.9887     6.2205     ROSTRUM
-3.2226    9.9533     6.4446
-3.2536    9.98       6.6211
-3.237     9.9547     6.8998
-3.2148    10.0113    7.0654
-3.0756    9.9676     7.3689
-2.957     9.9268     7.5832
-2.9258    9.9187     7.7008
-2.8519    9.8347     7.876
-2.8095    9.8165     7.9912
-2.8124    9.8115     8.2068
-2.8307    9.7745     8.4721
-2.8881    9.7319     8.6389
-2.9684    9.7196     8.8354
-3.0422    9.6665     9.0357
-3.2079    9.6743     9.3789
-3.3966    9.5458     9.7601
-3.4894    9.46       10.0923
-3.3157    9.3592     10.3489
-3.2367    9.2176     10.726
-2.939     9.1396     10.8511
-2.6726    9.1105     10.8562
-2.4405    9.1013     10.7619
-2.2404    9.0379     10.8291
-1.9526    8.9966     10.936
-1.6937    8.8489     11.1054
-1.5273    8.7873     11.3103
-1.3165    8.5634     11.4695
-0.9907    8.4669     11.6547
-0.771     8.4788     11.6927
-0.3952    8.4788     11.6568
-0.1628    8.5644     11.5103
0.0129     8.6302     11.3119
0.2532     8.6908     11.1637
0.4529     8.6994     11.0652
0.7044     8.7405     10.9721
1.0086     8.69       10.9168
1.289      8.6665     10.9941
1.5787     8.5748     10.9882
1.7639     8.5863     10.9044
1.9438     8.6043     10.7199
2.0507     8.6166     10.5721
2.1006     8.5508     10.3257
2.1223     8.7502     9.9056
2.0193     8.837      9.7223
1.8985     8.8378     9.4866
1.8153     8.9208     9.1351
1.73       9.0309     8.8558
1.7255     9.13       8.4922
1.8115     9.1573     8.1402
2.0075     9.1785     7.8412
2.2133     9.2111     7.5848
2.432      9.3194     7.2984
2.5052     9.3986     7.0182
2.5186     9.4069     6.8649
2.5445     9.4547     6.678
2.4611     9.4704     6.5024















































































































































-5.1143    14.7756    14.2392    SUPORB
-5.1047    14.7593    14.478
-5.0339    14.8101    14.7437
-4.9118    14.7953    15.043
-4.8036    14.7652    15.4427
-4.5724    14.6694    15.8004
-4.3541    14.4708    16.0914
-4.1703    14.3235    16.278
-3.9254    14.239     16.463
-3.6776    14.1067    16.5949
-3.4094    14.0133    16.7061
-3.221     13.9135    16.7681
-2.9573    13.9321    16.846
-2.7473    14.0011    16.9504
-2.591     14.0877    17.0071
-2.318     14.2461    17.0718
-2.0098    14.2201    17.0833
-1.8024    14.0345    17.1292
-1.5325    13.9711    17.1221
-1.2678    13.8432    17.1249
-0.958     13.6687    17.0794
-0.7732    13.5764    17.0408
-0.6411    13.4195    17.0158
-0.4517    13.3785    16.982
-0.229     13.4334    17.0186
-0.0207    13.4872    17.0853
0.1986     13.5746    17.1286
0.4412     13.7343    17.1488
0.7058     13.7927    17.1853
0.9941     13.889     17.2015
1.299      13.7317    17.1925
1.5666     13.6037    17.1556
1.8241     13.5954    17.0952
1.9718     13.4783    17.0343
2.1378     13.4106    16.9895
2.368      13.4498    16.9177
2.621      13.5551    16.8577
2.9676     13.7295    16.7269
3.3313     13.8215    16.5495
3.5795     13.9916    16.3253
