NME        HAR-VP 1   Tol8sf
































































































































9999       9999       9999       L-PM/MAX







































































































































































































12.6616    6.0432     -6.3098    ROSTRUM
12.6508    6.0009     -6.4822
12.7107    5.9968     -6.6528
12.735     6.0186     -6.7697
12.7175    6.0236     -6.8801
12.728     6.0307     -7.0097
12.7437    6.0765     -7.1486
12.7423    6.0953     -7.3276
12.7426    6.091      -7.5555
12.7175    6.141      -7.6297
12.7388    6.177      -7.7854
12.7637    6.1091     -8.0046
12.7009    6.1538     -8.2201
12.5384    6.3342     -8.3142
12.4104    6.4418     -8.4765
12.2133    6.5827     -8.7363
12.1092    6.6823     -8.8655
12.0263    6.8006     -9.0401
11.9604    6.858      -9.2779
11.926     6.8311     -9.5081
11.8774    6.8875     -9.722
11.7828    6.8533     -9.9292
11.7589    6.7623     -10.2719
11.6872    7.0092     -10.413
11.7216    7.0746     -10.7076
11.6098    7.0877     -10.9315
11.5018    7.1712     -11.2059
11.3571    7.2698     -11.3974
11.2808    7.4055     -11.6064
11.2157    7.4835     -11.7161
11.068     7.6481     -11.8113
10.991     7.8186     -11.8669
9.5905     8.1869     -12.4672
9.4505     8.357      -12.4886
9.3432     8.4797     -12.4877
9.3145     8.8502     -12.5547
9.2547     9.1624     -12.474
9.1252     9.2901     -12.3895
9.0465     9.3518     -12.3239
8.9488     9.5379     -12.2399
9.0289     9.6829     -11.6628
8.9433     9.8646     -11.4778
8.9394     9.9689     -11.3238
8.8187     10.0771    -11.231
8.6694     10.18      -11.0819
8.6383     10.3069    -10.8748
8.6301     10.4698    -10.6299
8.5681     10.5207    -10.4486
8.5786     10.6191    -10.1757
8.6146     10.6863    -9.9282
8.6108     10.7833    -9.7789
8.6328     10.8634    -9.638
8.6993     10.9476    -9.4035
8.7111     11.017     -9.1901
8.6483     11.0705    -8.9427
8.65       11.1505    -8.7395
8.5643     11.1657    -8.404
8.5454     11.3028    -8.1301
8.504      11.417     -7.9073
8.4645     11.4596    -7.6689
8.4419     11.424     -7.3875
8.4955     11.4577    -7.194
8.5107     11.4607    -6.9787
8.5416     11.5187    -6.7325
8.4909     11.5687    -6.4564
8.4693     11.5386    -6.2517






































































































































17.0046    7.7363     -15.9467   SUPORB
16.9621    7.7246     -16.0468
16.9419    7.8402     -16.218
16.8706    7.8782     -16.3852
