AMNH       169432     Pha1Tosi2
10.0366    4.4139     10.9561
10.0162    4.2906     10.7454
10.0008    4.2034     10.5578
9.9739     4.081      10.3163
9.953      4.0244     10.1076
9.9284     3.9768     9.9461
9.9083     3.894      9.6713
9.8947     3.8432     9.3164
9.8962     3.7811     8.9745
9.8755     3.6998     8.64
9.8677     3.6217     8.4165
9.9356     3.5002     8.2485
10.0327    3.3739     7.8417
10.0966    3.423      7.8063
10.0984    3.5502     7.579




















































































































































































9.2248     9.9595     9.108      ROSTRUM
9.0404     9.8133     9.5518
9.0084     9.6449     9.931
9.0443     9.4491     10.2806
9.108      9.2194     10.5864
9.1095     9.0609     10.8536
8.8902     8.8909     11.1886
8.6496     8.7919     11.5199
8.3526     8.7063     11.8738
8.1685     8.6177     12.159
7.9784     8.4926     12.4531
7.9715     8.2577     12.6652
7.9598     8.008      12.8968
8.1187     7.8026     13.0667
8.3657     7.6609     13.1389
8.4783     7.6906     13.1645
8.7178     7.6062     13.0981
8.8861     7.423      13.1461
9.0352     7.2258     13.2199
9.1633     6.8991     13.327
9.2279     6.6858     13.453
9.2774     6.4351     13.5647
9.4463     6.1741     13.765
9.6055     6.0024     13.8095
9.8081     5.8718     13.795
10.0108    5.8158     13.8065
10.2233    5.7732     13.5604
10.3819    5.7685     13.4733
10.5806    5.7288     13.3226
10.7928    5.6122     13.2137
11.0309    5.5987     13.0862
11.3304    5.355      12.9698
11.4943    5.1714     12.9844
11.7292    4.9224     12.9844
11.9985    4.8053     12.8324
12.2082    4.7973     12.5773
12.373     4.8314     12.2409
12.4149    4.9948     11.982
12.3898    5.2215     11.6812
12.3713    5.4033     11.3958
12.3936    5.5546     11.1955
