NMNH       356576     Pyn1stv
2.0585     11.5688    4.9109     IN
2.1271     7.8958     7.9953     BR
2.1621     2.6853     5.6653     GL
2.1613     2.6796     5.6776     NA
2.0011     2.0215     4.2712     RH
1.9435     0.5065     2.8492     NS
1.961      0.1211     2.1643     PR
1.3957     0.2872     2.1683     R_PR2
2.045      2.6392     5.5863     R_PMS
-0.8669    3.2861     2.6755     R_ZMI
-0.3823    2.906      4.0435     R_ZMU
1.3369     3.0764     5.2814     R_DA
0.1996     3.4504     6.4718     R_MTI
0.2633     3.6161     6.7625     R_MTS
-1.3412    3.7134     5.6305     R_FMO
-1.7144    4.5376     5.7329     R_FMT
-1.0749    8.287      3.6938     R_PO
-1.9123    4.7924     3.3864     R_ZTS
2.5324     0.2449     2.177      L_PR2
2.1924     2.5354     5.3881     L_PMS
4.8506     3.3833     2.5811     L_ZMI
4.5732     3.0418     3.9091     L_ZMU
2.869      3.0373     5.2803     L_DA
4.0614     3.5507     6.3254     L_MTI
3.7958     3.7223     6.667      L_MTS
5.6529     3.9293     5.3657     L_FMO
5.9098     4.7635     5.4361     L_FMT
5.0305     8.5433     3.4175     L_PO
5.8648     4.8532     3.0185     L_ZTS
1.6917     0.0002     2.2638     O1
5.5586     4.8233     5.8684     O2
-2.0502    6.4393     3.5159     O3
1.3031     11.3427    5.4443     O4







































































































































































2.1568     2.7038     5.7198     GLRH
2.1313     2.5939     5.5272
2.1087     2.4842     5.3269
2.0918     2.4113     5.1049
2.1121     2.317      4.9048
2.0648     2.2463     4.7582
2.0638     2.1688     4.6169
2.0541     2.1052     4.4974
2.0496     2.0588     4.4354
2.0691     2.0217     4.3352






























































































































































































2.0547     2.0181     4.2978     NOSE
1.8229     2.034      4.3045
1.5896     1.9671     4.1741
1.3781     1.7705     3.9057
1.3069     1.4985     3.634
1.2626     1.2874     3.4354
1.3497     1.1811     3.3469
1.4009     1.0219     3.2317
1.4844     0.8466     3.1204
1.594      0.6864     3.0726
1.7304     0.5763     2.9615
1.9452     0.5393     2.8504
2.2297     0.5902     2.9146
2.4346     0.7441     3.086
2.5428     0.9671     3.1881
2.601      1.1464     3.3045
2.6581     1.3118     3.4435
2.6566     1.4628     3.6039
2.6107     1.6324     3.716
2.5965     1.7328     3.8697
2.5231     1.8657     3.9953
2.4509     1.9654     4.1174
2.364      1.9924     4.2263
2.0564     2.0395     4.2885
















































































































































































1.9642     0.5826     2.8801     NASP-PR
1.9781     0.3898     2.771
1.9886     0.239      2.604
1.9862     0.1869     2.4505
1.9794     0.1431     2.3022
2.0022     0.1733     2.1203


































































































































































































2.0356     2.6457     5.6149     R-PM/MAX
1.9582     2.5504     5.3346
1.8266     2.4959     5.1004
1.7303     2.4644     4.9541
1.6873     2.3676     4.7328
1.615      2.2489     4.5658
1.543      2.1681     4.3811
1.4373     2.0815     4.1937
1.3328     1.9217     3.9913
1.2261     1.804      3.838
1.1351     1.6688     3.6674
1.1022     1.5006     3.5099
1.044      1.3351     3.33
0.9703     1.177      3.1385
0.9127     1.0423     2.9694
0.8572     0.9393     2.8072
0.7907     0.7887     2.6493
0.7858     0.6849     2.529
0.9102     0.7177     2.3338





















































































































































































2.2051     2.5444     5.4274     L-PM/MAX
2.298      2.4925     5.2463
2.368      2.4303     5.0683
2.4368     2.3826     4.879
2.5194     2.3101     4.6854
2.5744     2.2524     4.551
2.5916     2.1309     4.3687
2.6634     2.0253     4.173
2.7469     1.9172     3.9604
2.8425     1.8281     3.8235
2.8963     1.7772     3.6659
2.9235     1.5945     3.5168
