UWMA       ZA 1439    Phu106sf
































30.7048    12.6769    10.611     L-PM/MAX
30.9055    12.7738    10.4594
31.1341    12.8781    10.3153
31.3603    12.9826    10.1299
31.5496    13.0755    9.9474
31.7192    13.1954    9.749
31.8643    13.2698    9.5834
32.0154    13.377     9.456
32.1665    13.4755    9.2883
32.2983    13.6311    9.0702
32.4481    13.758     8.8636
32.5641    13.8117    8.6764
32.6422    13.8766    8.453
32.7624    13.96      8.1896
32.8442    14.0813    7.9321
32.8631    14.1206    7.8083
32.9198    14.2065    7.6126
32.9254    14.3155    7.4211
32.9633    14.4093    7.2184
32.9757    14.4325    7.0709
33.0523    14.4664    6.9164
33.0607    14.4917    6.807
33.1011    14.4499    6.7044
33.0707    14.2922    6.4781
















































































































































































30.3834    9.7405     6.9957     ROSTRUM
30.3961    9.7997     7.2264
30.4291    9.8199     7.4477
30.4286    9.8664     7.6696
30.4427    9.9821     7.8331
30.4188    10.1883    7.9837
30.414     10.3738    8.1778
30.4058    10.4925    8.3511
30.432     10.566     8.5851
30.5179    10.551     8.8034
30.5433    10.5215    8.9591
30.6066    10.4782    9.1581
30.681     10.4653    9.3098
30.7197    10.4994    9.4516
30.718     10.493     9.6092
30.7974    10.5025    9.7399
30.8204    10.5471    9.8534
30.8401    10.6576    10.041
30.8006    10.8019    10.167
30.8062    11.0478    10.2539
30.8062    11.1602    10.3212
30.7795    11.3341    10.4268
30.7459    11.613     10.542
30.7237    11.7999    10.6194
30.7071    11.9051    10.7097
30.7238    12.031     10.8407
30.667     12.1457    10.8778
30.6718    12.3474    10.8774
30.6408    12.6014    10.7417
30.5737    12.6231    10.6858
30.4837    12.8959    10.5858
30.4473    13.0833    10.4821
30.3916    13.2146    10.4351
30.3554    13.3428    10.3557
30.2848    13.6386    10.245
30.2097    13.8215    10.0221
30.1522    13.8693    9.7299
30.0423    13.8681    9.4303
29.9494    13.8157    9.1125
29.9089    13.7547    8.7158
29.8366    13.7425    8.4737
29.8131    13.8161    8.257
29.7369    13.9486    8.0657
29.6944    14.0321    7.9541
29.6714    14.1736    7.8576
29.6096    14.2622    7.7431
29.541     14.3355    7.4847
29.503     14.3278    7.3041
29.4917    14.3486    7.1613
29.4776    14.3893    7.0612
29.4673    14.3773    6.9597





















































































































































27.5044    7.9712     13.0287    SUPORB
27.5104    8.0319     13.2615
27.5391    8.119      13.4592
27.5355    8.2162     13.7079
27.5837    8.3506     13.9561
27.5937    8.552      14.2069
27.5897    8.745      14.4165
