AMNH       169432     Tap3-4
14.4135    24.4459    16.1784    IN
14.4271    18.8704    17.9047    BR
14.6084    12.6134    16.1267    GL
14.5861    12.6131    15.68      NA
14.5304    8.3889     8.5853     RH
14.6311    6.2431     4.8395     NS
14.6752    6.31       3.1665     PR
13.5802    6.5174     3.3703     R_PR2
13.5994    9.3022     9.2053     R_PMS
10.4664    13.8381    9.2726     R_ZMI
12.2687    13.1069    13.4179    R_ZMU
14.1014    12.9886    14.6345    R_DA
12.194     12.8912    15.874     R_MTI
12.3281    13.8266    17.1355    R_MTS
10.8327    13.7485    14.5691    R_FMO
9.8059     14.5438    14.6112    R_FMT
10.0122    20.944     13.3369    R_PO
8.8933     15.393     11.2335    R_ZTS
15.7871    6.5368     3.3437     L_PR2
15.5018    9.1674     9.2295     L_PMS
18.5005    13.9168    9.2843     L_ZMI
16.7554    13.1043    13.4135    L_ZMU
15.0897    13.021     14.5867    L_DA
16.9572    12.9563    15.8634    L_MTI
16.7098    13.8512    17.1141    L_MTS
18.2016    13.8384    14.3089    L_FMO
19.2885    14.8438    14.6577    L_FMT
18.8017    20.9562    13.2415    L_PO
20.0938    15.3648    11.2479    L_ZTS
14.0241    5.9539     3.3062     O1
11.9126    14.676     16.6234    O2
8.5554     17.8398    11.889     O3
13.5224    22.9297    16.2263    O4







































































































































































14.6354    12.5852    16.1233    GLRH
14.6405    12.6063    15.9646
14.6325    12.6097    15.9042
14.6451    12.5978    15.6983
14.6412    12.5922    15.6164
14.614     12.5962    15.3486
14.637     12.5818    15.3258
14.6443    12.6273    15.0428
14.6561    12.6463    14.8093
14.6329    12.653     14.7716
14.6552    12.6348    14.4486
14.6428    12.5418    14.2427
14.6548    12.4455    14.0169
14.6738    12.3525    13.8035
14.6822    12.3629    13.813
14.66      12.2643    13.6799
14.6733    12.2178    13.6174
14.6408    12.1293    13.5043
14.6406    12.0034    13.3638
14.6478    11.8794    13.2044
14.6327    11.7229    13.0622
14.6322    11.5655    12.8726
14.5985    11.4263    12.7172
14.6211    11.2691    12.5423
14.5904    11.0531    12.3026
14.5931    10.9167    12.1332
14.6143    10.7587    11.9366
14.5989    10.6239    11.7672
14.5928    10.4479    11.5817
14.5756    10.329     11.4739
14.6021    10.2175    11.3238
14.577     10.0797    11.2155
14.5931    9.9739     11.0895
14.5802    9.8527     10.9734
14.5767    9.7584     10.867
14.578     9.6118     10.6834
14.5515    9.4442     10.4611
14.5508    9.253      10.2126
14.5574    9.099      9.9962
14.5488    8.9427     9.7438
14.5529    8.7857     9.4749
14.5186    8.6338     9.2219
14.5445    8.5128     8.9921
14.4916    8.3767     8.7333
14.5562    8.3588     8.6491



























































































































































14.5288    8.3742     8.5957     NOSE
14.3522    8.488      8.6627
14.0552    8.4842     8.4827
13.9605    8.4696     8.4237
13.7767    8.4559     8.351
13.6705    8.4507     8.2477
13.6114    8.3472     8.0528
13.5165    8.2302     7.771
13.3981    8.0028     7.3768
13.3665    7.8093     6.8605
13.313     7.5906     6.4491
13.3442    7.1711     5.9557
13.5701    6.6658     5.5515
13.9702    6.297      5.302
14.3528    6.2046     5.0186
14.6496    6.2422     4.8718
14.9241    6.1892     5.0351
15.1749    6.261      5.3443
15.494     6.4671     5.5198
15.8153    6.7218     5.6615
15.9301    7.0298     5.9402
15.9232    7.3064     6.2971
15.8965    7.3103     6.2864
15.9556    7.6157     6.7748
15.9013    7.9072     7.211
15.8499    8.0895     7.642
15.6928    8.3265     7.9474
15.5111    8.4904     8.1543
15.3675    8.5315     8.2765
