AMNH       169432     Phu1cms7
15.6061    11.3888    15.1046    IN
20.8183    10.0768    17.4694    BR
27.0172    8.2619     16.3768    GL
27.1048    8.4865     15.92      NA
31.8795    7.0818     9.4533     RH
34.2839    6.4606     5.9125     NS
34.4127    6.5271     4.1024     PR
34.0662    5.4929     4.154      R_PR2
30.76      6.3865     9.8689     R_PMS
25.7181    4.4608     9.5501     R_ZMI
26.2191    6.3246     13.6591    R_ZMU
26.7727    8.0569     14.8481    R_DA
26.184     6.3        16.0709    R_MTI
25.3902    6.5996     17.235     R_MTS
25.1793    5.1557     14.6915    R_FMO
24.2912    4.1733     14.6557    R_FMT
18.2106    6.026      12.6894    R_PO
23.4243    3.5215     11.2362    R_ZTS
34.5437    7.6535     4.5248     L_PR2
31.3092    8.2488     9.8667     L_PMS
27.5632    12.4841    9.5782     L_ZMI
27.4389    10.6635    13.5822    L_ZMU
26.9492    9.0984     14.8382    L_DA
27.3883    10.9355    16.0329    L_MTI
26.5565    11.1212    17.1141    L_MTS
27.0271    12.4572    14.6419    L_FMO
26.3828    13.5759    14.6124    L_FMT
20.4       14.7159    12.5161    L_PO
26.3375    14.3494    11.0872    L_ZTS
32.8279    9.737      6.0947     O1
27.8169    13.0483    10.9984    O2
20.95      14.1465    13.4104    O3
16.8864    12.7327    13.811     O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































34.4006    6.3339     10.1061    OP
32.3467    6.7763     10.5683    BA
26.0435    8.669      10.4759    ST
19.711     10.4508    11.7229    IV
9999       9999       9999       R_PG
27.8139    2.127      8.9536     R_ZTI
25.1274    6.3431     12.1795    R_M3D
22.2955    6.7844     12.3866    R_M12
19.8533    7.8538     12.6516    R_MP3
18.2029    8.9725     12.3258    R_PMI
33.3844    10.9998    10.2065    L_PG
30.9975    13.3212    9.2433     L_ZTI
26.3705    11.2216    12.3885    L_M3D
23.8052    12.3756    12.4674    L_M12
21.1311    12.876     12.5494    L_MP3
19.109     12.7829    12.1455    L_PMI
20.3502    13.1684    11.7038    O1
27.3315    13.2226    8.255      O2
34.0613    10.5554    7.3555     O3
36.807     7.3637     7.7659     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
