TMP        STS 565    Ppj4stv




9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































17.9025    12.8213    8.0303     LORBIT
18.1421    12.9124    8.0592
18.3183    12.9742    8.0979
18.5276    13.0447    8.1958
18.6301    13.1545    8.3296
18.8006    13.2356    8.4432
18.893     13.324     8.6059
18.974     13.454     8.8277
19.0199    13.5437    8.9685
19.0675    13.6451    9.0388
19.0924    13.6849    9.2202
18.9896    13.7431    9.6359
18.8303    13.7701    9.8158
18.6339    13.746     9.97
18.4988    13.7194    10.0756
18.3619    13.6782    10.1251
18.2535    13.6436    10.204
18.0227    13.5794    10.1996
17.8829    13.5766    10.2357
17.5963    13.4621    10.1795
17.4599    13.5069    10.1116
17.1248    13.46      10.0505
16.7963    13.4344    10.1773
16.4842    13.3442    10.0864
16.4029    13.3705    9.8696
16.3911    13.4213    9.6473
16.3909    13.4306    9.3891
16.3552    13.3014    9.2417
16.4077    13.2615    9.08
16.5124    13.1329    8.8042










































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































17.5503    15.6172    9.4071     OP
9999       9999       9999       BA
17.6616    9.6476     8.3199     ST
9999       9999       9999       IV
9999       9999       9999       R_PG
21.3186    12.3248    6.3805     R_ZTI
