BPI        M3147      Phr1stv























































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9.9953     34.4972    9.29       OP
9.1892     32.3296    9.3561     BA
7.6389     27.6487    8.1122     ST
6.1209     22.8664    7.9043     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9.7611     26.4241    8.8048     R_M3D
9.0029     23.8714    8.9534     R_M12
7.9547     21.6613    8.9561     R_MP3
9999       9999       9999       R_PMI
5.3409     33.2412    9.0604     L_PG
9999       9999       9999       L_ZTI
5.5777     27.7899    9.0254     L_M3D
4.5965     25.3243    9.0641     L_M12
9999       9999       9999       L_MP3
9999       9999       9999       L_PMI
7.4659     22.2118    7.9888     O1
10.3898    32.0685    2.7631     O2
3.5775     33.2933    6.7697     O3
10.2387    35.4311    7.8351     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9.6809     26.5802    8.9221     R-ALV
9.6705     26.0229    8.7599
9.6669     25.7122    8.7326
9.5876     25.3249    8.7695
