UCMVZ      117250     Phu49stv
21.9349    16.8124    15.5278    IN
17.9689    14.1386    18.0374    BR
12.4254    9.9787     16.7463    GL
12.4148    9.9735     16.7477    NA
8.8028     7.4029     10.9617    RH
6.715      5.6994     6.6192     NS
6.4439     5.4189     5.1882     PR
5.9507     6.2311     5.4418     R_PR2
9.3823     8.609      11.7439    R_PMS
10.3937    12.7562    10.7701    R_ZMI
11.3864    11.887     14.5016    R_ZMU
12.2444    10.5365    15.5633    R_DA
11.5733    11.9606    16.8119    R_MTI
12.5252    12.1336    18.1429    R_MTS
11.161     13.5687    15.592     R_FMO
11.3261    14.7582    15.7084    R_FMT
15.8366    18.1713    13.0521    R_PO
11.1532    15.7743    12.2487    R_ZTS
7.145      4.6872     5.2612     L_PR2
10.4197    7.9029     12.0021    L_PMS
14.8511    7.2258     10.9898    L_ZMI
13.9638    8.426      14.2682    L_ZMU
12.8488    9.698      15.4678    L_DA
14.0442    8.6407     16.7162    L_MTI
14.9193    9.3698     17.9951    L_MTS
15.4994    7.8872     15.5651    L_FMO
16.8194    7.7076     15.7317    L_FMT
21.3482    10.847     13.0707    L_PO
17.568     7.0783     12.2864    L_ZTS
7.3199     4.3072     4.8713     O1
15.6728    9.4026     17.373     O2
12.3492    17.3188    12.0551    O3
22.0304    16.2645    14.9246    O4







































































































































































12.3932    9.9826     16.7113    GLRH
12.39      9.9595     16.4849
12.3904    9.9366     16.3254
12.382     9.9459     16.1555
12.3607    9.9666     15.9641
12.3453    9.9212     15.7774
12.2917    9.8971     15.6038
12.2535    9.8603     15.4698
12.17      9.8023     15.2746
12.123     9.721      15.1047
12.042     9.6519     14.9147
11.9337    9.6203     14.7368
11.829     9.5405     14.5696
11.7434    9.479      14.4321
11.6824    9.4346     14.3335
11.6074    9.3794     14.2119
11.531     9.3219     14.1171
11.4456    9.2965     14.0305
11.3706    9.2356     13.935
11.3141    9.1659     13.8502
11.2578    9.1137     13.7611
11.1581    9.0442     13.6421
11.0486    8.9844     13.5319
10.9856    8.9374     13.4384
10.9117    8.8876     13.3546
10.8134    8.8231     13.2483
10.7172    8.7986     13.1615
10.607     8.6987     13.0515
10.5556    8.6433     12.9864
10.4867    8.5874     12.8797
10.3734    8.5496     12.7772
10.2855    8.49       12.6506
10.1812    8.4262     12.5573
10.1054    8.3689     12.4897
10.0092    8.2894     12.3966
9.8796     8.1936     12.2734
9.7824     8.1002     12.1642
9.6718     8.0225     12.047
9.5993     7.9437     11.955
9.4689     7.8395     11.8334
9.4177     7.7827     11.7404
9.316      7.7292     11.6322
9.2673     7.6707     11.5563
9.2062     7.641      11.4411
9.0741     7.5896     11.3027
8.9578     7.5053     11.1622
8.9029     7.429      11.0797
8.7784     7.3522     10.9109
























































































































































8.7867     7.4007     10.9374    NOSE
8.6068     7.5785     10.8716
8.412      7.673      10.7415
8.2928     7.6586     10.592
8.138      7.6986     10.4753
8.076      7.6756     10.3323
7.9805     7.7267     10.2105
7.8461     7.785      10.0988
7.6972     7.8364     9.9695
7.5766     7.8592     9.8179
7.483      7.8472     9.7027
7.3994     7.7835     9.5505
7.2886     7.7635     9.3983
7.2494     7.7445     9.2843
7.1458     7.6816     9.1352
7.1158     7.5871     8.9639
7.0881     7.4877     8.8669
7.0472     7.5512     8.7839
6.9735     7.5088     8.6578
6.9016     7.4549     8.4984
6.8068     7.383      8.3092
6.7928     7.2821     8.1935
6.7312     7.1886     8.0958
6.6969     7.1266     7.9972
6.6185     7.0929     7.8657
6.5027     7.0109     7.7162
6.4646     6.9127     7.5875
6.4132     6.8023     7.4942
6.4328     6.6058     7.3535
6.4166     6.4421     7.2221
6.4361     6.2235     7.0758
6.4785     6.084      6.9791
6.4794     5.9134     6.8563
6.5357     5.7623     6.7607
6.6574     5.8035     6.6906
6.7817     5.696      6.6586
6.747      5.4987     6.6924
6.8185     5.3824     6.7989
6.9338     5.2972     6.8682
7.0516     5.2772     6.974
7.1066     5.2379     7.0406
7.1906     5.238      7.0899
7.3218     5.2219     7.2154
7.4304     5.2496     7.2948
7.6452     5.1361     7.4103
7.7271     5.1729     7.4865
7.8112     5.1786     7.5806
7.9123     5.1625     7.6747
8.0126     5.1336     7.7773
8.0561     5.1883     7.8513
8.1467     5.2405     7.9401
8.2409     5.2658     8.0581
8.2953     5.2863     8.1604
8.3322     5.3047     8.2393
8.4039     5.3521     8.3969
8.4836     5.3796     8.5082
8.5785     5.4562     8.6767
8.6592     5.5155     8.8352
8.7301     5.5746     8.987
8.7923     5.6129     9.1057
8.8026     5.677      9.2099
8.8412     5.7658     9.3904
8.8722     5.8754     9.5699
8.8784     5.9449     9.6571
8.8993     6.0508     9.7673
8.9798     6.2079     9.998
8.983      6.357      10.138
8.9685     6.4335     10.234
8.9186     6.5926     10.4236
8.9273     6.6917     10.4835
8.9607     6.7783     10.6517
8.9742     6.9213     10.7493
8.9384     7.1192     10.8447
8.8663     7.2387     10.9029
8.802      7.3652     10.9185





























































































































6.6546     5.6281     6.5612     NASP-PR
6.5332     5.5267     6.3627
6.4913     5.4458     6.0843
6.4439     5.4085     5.9113
6.4276     5.4111     5.7224
6.415      5.4063     5.561
6.4147     5.4187     5.4567
6.4014     5.4065     5.3916
6.4285     5.347      5.1852































































































































































































9.3319     8.5671     11.6817    R-PM/MAX
9.1864     8.5012     11.5197
9.076      8.4725     11.4173
8.9524     8.412      11.3016
8.8532     8.3693     11.2142
8.7165     8.3503     11.0771
8.6052     8.3161     10.9769
8.4659     8.2514     10.8606
8.3509     8.1988     10.7385
8.2577     8.1421     10.6386
8.1542     8.1109     10.5324
8.0857     8.0768     10.4539
7.981      7.9975     10.3645
7.8518     8.0156     10.2603
7.7435     8.0075     10.1243
7.631      7.9777     9.9693
7.5736     7.9295     9.8589
7.4631     7.9014     9.7077
7.3429     7.872      9.5907
7.2466     7.849      9.4389
7.1619     7.8097     9.3014
7.0883     7.7562     9.1116
7.0369     7.7294     9.0007
6.9703     7.6946     8.8461
6.9096     7.6596     8.6987
6.819      7.6519     8.5684
6.744      7.6293     8.4344
6.6904     7.6361     8.3323
6.5353     7.6808     8.0798
6.5199     7.6771     7.9177
6.4352     7.6663     7.6898
6.4025     7.6811     7.489
6.3906     7.779      7.2789
6.3145     7.7969     7.0775
6.2615     7.8153     6.8445
6.227      7.853      6.7292
6.1975     7.9495     6.5868
6.1294     8.0566     6.3426
6.1038     8.0083     6.1447
6.212      7.8164     5.9684
































































































































































10.4118    7.8795     12.0004    L-PM/MAX
10.2823    7.765      11.8834
10.2096    7.6659     11.7458
10.1323    7.6331     11.6889
10.08      7.5404     11.6057
9.9988     7.4139     11.4878
9.952      7.3756     11.4216
9.9188     7.3278     11.3515
9.8813     7.2054     11.2233
9.7989     7.0666     11.0846
9.7194     6.9513     10.9737
9.641      6.8466     10.8676
9.5773     6.7335     10.7489
9.5098     6.6215     10.6285
9.4458     6.5221     10.5264
9.3809     6.3491     10.392
9.3268     6.1851     10.2634
9.2284     6.0771     10.079
9.1516     5.932      9.8329
9.1052     5.8308     9.6496
9.0107     5.7182     9.4699
8.9298     5.6078     9.269
8.8983     5.5525     9.1666
8.8265     5.4436     8.9567
8.7575     5.3581     8.7411
8.6899     5.282      8.5783
8.6305     5.1766     8.3786
8.5973     5.0768     8.2099
8.6255     4.9862     8.005
8.6165     4.9386     7.76
8.6072     4.9413     7.481
8.5859     4.8571     7.3482
8.594      4.784      7.1398
8.6613     4.7133     6.9947
8.7158     4.6454     6.7943
8.7105     4.5887     6.6419
8.7584     4.5032     6.488
8.771      4.5013     6.369
8.7912     4.4927     6.1874
8.8106     4.4222     5.9839
8.8289     4.4746     5.7681
8.8002     4.5951     5.6113






























































































































































8.8601     10.6538    7.2035     ROSTRUM
8.7735     10.5822    7.5067
8.7231     10.488     7.729
8.7702     10.4516    7.9131
8.7495     10.3177    8.1388
8.7723     10.1947    8.3371
8.8026     10.1315    8.488
8.8191     10.0588    8.605
8.8087     9.9576     8.8275
8.7752     9.8771     9.0391
8.7469     9.8532     9.2042
8.6533     9.8282     9.4647
8.508      9.7691     9.7376
8.3962     9.7594     9.9365
8.2371     9.7943     10.1444
8.0845     9.8355     10.378
7.9585     9.8453     10.6991
7.8044     9.7938     10.8421
7.7536     9.6906     11.0654
7.8099     9.5654     11.2384
7.9251     9.4055     11.3418
8.2046     9.2205     11.3617
8.3482     9.0362     11.2978
8.5262     8.8722     11.2308
8.6997     8.7224     11.2339
8.7959     8.5719     11.2699
8.9174     8.4463     11.31
8.9638     8.332      11.3857
9.0559     8.1461     11.4978
9.1432     7.9681     11.609
9.2262     7.8681     11.6127
9.3051     7.753      11.6085
9.36       7.6831     11.5951
9.5763     7.481      11.4996
9.7115     7.346      11.4256
9.8741     7.2954     11.2941
9.9947     7.2128     11.2335
10.1184    7.0412     11.199
10.3028    6.8137     11.1578
10.4228    6.5988     11.2242
10.5854    6.3542     11.2862
10.7092    6.2299     11.2676
10.9113    6.021      11.215
11.1701    6.05       10.8098
11.2852    6.2654     10.5266
11.2282    6.4032     10.1828
11.2667    6.5085     9.9632
11.35      6.5979     9.7086
11.399     6.5942     9.436
11.4893    6.65       9.2521
11.5802    6.6722     9.0044
11.6801    6.6949     8.831
11.7558    6.7249     8.6509
11.8953    6.7383     8.4524
12.0218    6.7273     8.2473
12.1051    6.7128     8.0393
12.1567    6.7048     7.9254
12.2284    6.7083     7.7726
12.2962    6.7022     7.5955
12.3416    6.7107     7.4487
12.4014    6.7028     7.2551






































































