NME        L345-287   Tb2sf
7.7975     13.9752    -13.9966
7.769      14.0109    -13.8162



















































































































































11.0786    8.1463     -11.5696   RORBIT
11.283     8.0127     -11.5686
11.4693    7.918      -11.618
11.6421    7.8694     -11.6475
11.7618    7.847      -11.6756
12.0152    7.7931     -11.831
12.2481    7.8122     -11.9602
12.4439    7.9445     -12.1235
12.6235    7.9155     -12.2594
12.7887    7.9334     -12.402
12.8334    7.9729     -12.521
12.9357    7.9923     -12.6351
12.9713    8.0462     -12.7634
13.0405    8.0421     -12.8439
13.1112    8.082      -12.9544
13.2119    8.102      -13.0813
13.2988    8.1153     -13.1939
13.3976    8.1915     -13.3194
13.3337    8.2553     -13.5604
13.2628    8.2312     -13.652
13.1966    8.2307     -13.7533
13.0636    8.1845     -13.9269
12.9377    8.1959     -13.9946
12.7136    8.106      -14.2062
12.4685    8.0907     -14.2892
12.2595    8.147      -14.3294
12.162     8.1887     -14.3461
12.0233    8.2135     -14.4129
11.7438    8.1496     -14.4508
11.5338    8.1987     -14.4442
11.2646    8.2675     -14.4236
11.0871    8.384      -14.3649
10.7771    8.7582     -14.6347
10.6111    8.7652     -14.5518






































































































































































8.2504     10.7773    -11.3312   LORBIT
8.0806     10.8172    -11.3118
8.0071     10.8694    -11.3718
7.795      10.9345    -11.3616
7.7964     11.1392    -11.403
7.7199     11.2917    -11.4514
7.6205     11.4454    -11.4732
7.615      11.598     -11.5701
7.5824     11.7401    -11.6298
7.5481     11.8044    -11.6781
7.6048     11.9401    -11.763
7.5485     12.077     -11.8313
7.5552     12.1914    -11.9134
7.5767     12.3222    -12.0403
7.5494     12.4475    -12.1299
7.5674     12.5456    -12.2583
7.5759     12.6761    -12.4148
7.5936     12.7706    -12.5448
7.5885     12.8386    -12.6315
7.6002     12.8944    -12.7271
7.6039     12.9585    -12.818
7.6857     13.0193    -12.9322
7.6863     13.1078    -13.093
7.7164     13.1446    -13.3362
7.5149     13.0199    -13.7895
7.5665     12.8929    -13.9798
7.5549     12.7186    -14.1587
7.656      12.5649    -14.2729
7.6576     12.4584    -14.3393
7.6993     12.3095    -14.4213
7.7428     12.2043    -14.4723
7.7582     12.0527    -14.4838
7.7939     11.8823    -14.535
7.8572     11.7744    -14.5252
7.879      11.6381    -14.5314
7.9712     11.5263    -14.4985
7.9822     11.391     -14.5082
8.0038     11.2958    -14.474
8.0581     11.1379    -14.4568
8.1236     10.9848    -14.3912
8.1642     10.8707    -14.3611
8.3455     10.7143    -14.381






























































































































































14.4102    8.5616     -13.3934   RTEMFOS
14.4432    8.4765     -13.251
14.4917    8.4157     -13.0854
14.5036    8.4065     -12.9568
14.4913    8.2892     -12.8733
14.5243    8.2373     -12.8012
14.5437    8.1724     -12.6584
14.5414    8.1093     -12.5192
14.5291    8.0305     -12.3992
14.5332    8.0108     -12.2576
14.4737    7.898      -12.0817
14.4645    7.883      -11.9922
14.3993    7.7909     -11.9283
14.353     7.7378     -11.8173
14.3233    7.7086     -11.7497
14.2969    7.6423     -11.6557
14.2628    7.5565     -11.5706
14.2209    7.4924     -11.3581
14.1847    7.3859     -11.3241
14.1803    7.3086     -11.2361
14.1601    7.2658     -11.1953
14.1486    7.1809     -11.0585
14.1373    7.1878     -11.0088
14.1371    7.1061     -10.9717
14.1823    7.0248     -10.8786
14.203     6.9461     -10.8256
14.2327    6.8849     -10.7652
14.2603    6.8538     -10.6794
14.2861    6.7786     -10.6256
14.3414    6.7354     -10.5077
14.3652    6.7455     -10.4696
14.4838    6.6315     -10.3589
14.5846    6.7175     -10.2901
14.7444    6.7005     -10.2553
14.8427    6.7768     -10.233
14.8966    6.8664     -10.213









































































