MNHN       1969.1451  Tg34stv
0.2897     16.4717    10.7529    IN
0.3348     13.1492    13.7982    BR
0.4602     7.6839     11.8551    GL
0.5124     7.7767     11.3916    NA
0.5124     6.4806     8.7088     RH
0.5806     4.4547     7.1797     NS
0.504      3.6903     5.8082     PR
-0.1289    3.7582     5.7953     R_PR2
-0.0281    6.3373     8.5775     R_PMS
-2.5911    8.2465     7.5682     R_ZMI
-1.0428    8.0635     9.813      R_ZMU
0.1321     7.9588     10.5246    R_DA
-0.9697    7.7617     11.7116    R_MTI
-0.8173    7.977      12.1754    R_MTS
-2.0533    8.6197     10.973     R_FMO
-2.5252    9.0923     11.3436    R_FMT
-3.1345    13.6425    9.3789     R_PO
-3.8183    9.5568     8.6211     R_ZTS
1.1301     3.8109     5.8333     L_PR2
1.1107     6.3621     8.4491     L_PMS
3.6029     8.3957     7.4642     L_ZMI
2.0786     8.096      9.7766     L_ZMU
0.7808     8.0162     10.5926    L_DA
1.8625     7.7662     11.7213    L_MTI
1.8659     8.0897     12.1812    L_MTS
2.9883     8.6665     10.9998    L_FMO
3.341      9.1805     11.3992    L_FMT
3.8271     13.8302    9.379      L_PO
4.7122     9.6693     8.5841     L_ZTS
-0.4898    3.8469     5.9081     O1
2.9267     9.1111     11.9368    O2
-4.2764    11.3898    8.7948     O3
0.8664     16.449     10.6452    O4







































































































































































0.4726     7.6762     11.8341    GLRH
0.4895     7.7418     11.6388
0.451      7.7594     11.4381
0.4299     7.7613     11.2131
0.4487     7.7489     11.0582
0.4333     7.7684     10.7971
0.4402     7.7572     10.6166
0.4463     7.7287     10.3992
0.4568     7.6694     10.2089
0.4657     7.6011     9.9672
0.4439     7.4858     9.7895
0.5054     7.3368     9.5791
0.5051     7.1947     9.4037
0.529      7.0598     9.2753
0.5226     6.9089     9.1254
0.5036     6.7923     9.0071
0.5238     6.6514     8.8574
0.5008     6.5449     8.7895
0.5026     6.5074     8.7492
0.4961     6.4498     8.6596




















































































































































































0.4484     6.4596     8.7017     NOSE
0.2286     6.3623     8.6343
0.0092     6.2306     8.5229
-0.0591    6.069      8.3154
-0.1457    5.9117     8.1621
-0.198     5.7713     7.9995
-0.2183    5.6744     7.9215
-0.2257    5.4787     7.813
-0.2584    5.3077     7.6977
-0.2324    5.134      7.545
-0.1712    4.9781     7.4383
-0.0718    4.757      7.3269
0.0636     4.6249     7.2981
0.2484     4.5297     7.2518
0.4361     4.482      7.2114
0.5581     4.4974     7.1927
0.7809     4.5736     7.237
0.9599     4.6703     7.2823
1.1561     4.8234     7.3205
1.2558     5.0156     7.4011
1.2819     5.1132     7.4729
1.3035     5.2909     7.582
1.3058     5.47       7.6967
1.2906     5.6024     7.8121
1.2048     5.8774     7.9377
1.2194     5.9736     8.1227
1.1507     6.0824     8.2218
1.0828     6.1923     8.3543
0.9656     6.3323     8.5092
0.883      6.3949     8.5394
0.8255     6.4184     8.6649
0.7254     6.476      8.7175
0.5116     6.4667     8.6945







































































































































































0.5103     4.4827     7.1836     NASP-PR
0.5501     4.2483     7.0615
0.5605     4.0345     6.9149
0.5278     3.9076     6.7743
0.533      3.7791     6.6199
0.5068     3.6718     6.4051
0.5055     3.644      6.2223
0.4981     3.6722     6.0242
0.5246     3.701      5.8553
0.5443     3.7296     5.7182






























































































































































































