UWMA       SWP612     Ppx5stv
11.5012    16.2468    6.5518
11.6224    16.2547    6.4544
11.6756    16.2557    6.3672
11.8125    16.3275    6.1895
11.9053    16.384     6.0824
11.9812    16.4083    5.9568
12.1451    16.4241    5.8104
12.2264    16.4324    5.7016
12.2914    16.4446    5.6487
12.4487    16.4916    5.5535
12.5959    16.5302    5.4265
12.7597    16.5718    5.3712
12.9466    16.5823    5.2771
13.1476    16.6491    5.0868
13.1594    16.6952    4.8437
13.2606    16.7437    4.7399
13.3045    16.7656    4.5828
13.3985    16.7966    4.459
13.5143    16.8691    4.2862
13.5882    16.9354    4.1648
13.6529    16.9708    4.0611
13.6775    17.0315    3.807
13.6982    17.1608    3.5949
13.7706    17.1691    3.3672













































































































































































7.9537     18.0165    6.9585     SUPORB
7.9749     18.0217    7.1693
7.9983     18.0339    7.3416
8.0846     18.0178    7.5242
8.1707     17.9758    7.6962
8.3017     17.9349    7.8388
8.3922     18.0027    7.9473
8.5771     17.896     8.0777
8.7592     17.8433    8.1992
8.9539     17.7258    8.2598
9.2639     17.62      8.3417
9.65       17.5362    8.4602
9.9528     17.4455    8.4791
10.1424    17.4358    8.5388
10.3437    17.3777    8.5312
10.5219    17.3373    8.532
10.6887    17.3136    8.538
10.8262    17.2894    8.5075
11.0106    17.2244    8.4865
11.0736    17.2527    8.4653
11.4249    17.2796    8.5027
11.6407    17.3202    8.5327
11.7921    17.3875    8.5692
12.0092    17.4247    8.6318
12.2128    17.4394    8.6461
12.4614    17.513     8.637
12.6487    17.6081    8.5826
12.9028    17.6886    8.5729
13.1479    17.7061    8.543
13.314     17.7949    8.5074
13.6165    17.9146    8.3846
13.8861    18.0365    8.194
13.9519    18.1521    8.1774
14.1803    18.4199    7.6705
14.1976    18.4648    7.532





































































































































































9.806      17.0152    5.7552     RORBIT
9.4845     17.1116    5.7902
9.1783     17.1248    5.8913
8.9663     17.1463    6.0014
8.7681     17.2229    6.1574
8.6459     17.3199    6.337
8.5177     17.4269    6.5694
8.4629     17.5305    6.8198
8.4527     17.558     6.9765
8.4613     17.5054    7.251
8.5755     17.5117    7.436
8.7562     17.5291    7.6258
9.4421     17.2763    8.0093
9.7853     17.1697    8.0835
10.0367    17.1787    8.0418
10.3096    17.1722    8.1371
10.5422    17.136     8.061
10.727     17.0914    7.9202
10.8734    17.0121    7.7211
10.8954    17.0055    7.2908
10.9046    16.9409    7.167
10.8292    16.9257    6.9065


















































































































































































12.7909    17.1069    5.9408     LORBIT
13.0605    17.1957    5.955
13.2511    17.2836    5.9778
13.5447    17.3889    6.1156
13.6973    17.5543    6.2795
13.7768    17.6399    6.4515
13.8696    17.6741    6.585
13.8806    17.8536    6.8092
13.8933    17.9489    7.0273
13.8602    17.9568    7.1484
13.8438    17.9227    7.3092
13.7576    17.8557    7.6321
13.6818    17.7734    7.8497
13.5651    17.6492    8.0234
13.4173    17.5788    8.0993
13.2471    17.4951    8.2159
13.0523    17.4865    8.2018
12.5675    17.3557    8.206
12.2666    17.3084    8.2025
12.0494    17.2494    8.1924
11.7579    17.1706    8.0818
11.565     17.0977    7.7799
11.5618    17.0701    7.6336
11.5413    17.0091    7.3446
11.5837    17.0383    7.1588
11.6411    16.9895    7.0273














































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS



















































