FMNH       98094      Phu56stv
17.2016    18.1324    16.1822    IN
13.7038    13.7709    18.2742    BR
9.9171     9.1083     16.3191    GL
9.9999     9.1502     15.6682    NA
7.249      5.9602     8.6046     RH
6.5362     4.6904     4.5547     NS
6.4382     4.6297     2.8901     PR
5.8039     5.2024     3.0673     R_PR2
8.0638     7.7781     10.5983    R_PMS
7.2443     12.3882    9.8742     R_ZMI
8.7427     10.6671    13.4688    R_ZMU
9.7407     9.6429     14.5776    R_DA
8.8114     10.5613    16.2253    R_MTI
9.289      10.9797    17.4351    R_MTS
7.8177     12.4887    14.8563    R_FMO
7.7623     13.335     15.1113    R_FMT
11.839     17.9196    13.337     R_PO
7.2982     14.0338    11.4006    R_ZTS
7.3458     4.2882     2.9318     L_PR2
8.8061     7.0528     10.3875    L_PMS
13.6019    7.2804     9.6265     L_ZMI
11.6736    8.3783     13.3442    L_ZMU
10.5406    9.0647     14.4444    L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
18.2532    12.7398    13.3673    L_PO
15.6695    7.7399     11.5053    L_ZTS
6.7832     4.2682     2.4978     O1
8.9391     12.3268    16.9125    O2
17.112     9.0567     12.082     O3
17.514     17.5281    15.5631    O4







































































































































































9.9211     9.0921     16.2785    GLRH
9.9698     9.0752     16.0244
9.9685     9.1305     15.8489
10.0043    9.1365     15.6799
10.004     9.1551     15.4855
10.0274    9.1729     15.3183
10.0434    9.182      15.0865
10.0053    9.1779     14.8979
9.9651     9.1569     14.7195
9.9185     9.1475     14.5534
9.869      9.1076     14.4046
9.7944     9.0569     14.1834
9.7329     9.0141     14.0217
9.6793     8.9557     13.8814
9.647      8.8432     13.7165
9.5872     8.758      13.5238
9.5498     8.6993     13.3992
9.4813     8.577      13.1914
9.4209     8.4894     12.997
9.3109     8.4178     12.7563
9.2249     8.3339     12.5444
9.1354     8.244      12.3302
9.0613     8.1398     12.1386
8.9667     8.0442     11.9319
8.853      7.9426     11.7224
8.7879     7.8234     11.5577
8.7192     7.6808     11.3725
8.6658     7.5887     11.2532
8.5396     7.477      11.0605
8.4497     7.352      10.88
8.277      7.2202     10.6375
8.207      7.1516     10.5236
8.119      7.0257     10.3473
7.9884     6.8706     10.1282
7.9301     6.7747     9.9788
7.856      6.6715     9.8523
7.7375     6.5435     9.6429
7.6598     6.4468     9.4962
7.5784     6.2974     9.3006
7.5041     6.1759     9.1309
7.454      6.1146     8.9863
7.3495     6.0413     8.83
7.3231     5.978      8.7375
7.2809     5.917      8.5914




























































































































































7.241      5.9708     8.6225     NOSE
7.0612     6.16       8.5108
6.898      6.2824     8.4266
6.6422     6.5355     8.2117
6.5083     6.4686     8.0262
6.3113     6.411      7.7096
6.2332     6.3809     7.4807
6.1546     6.3263     7.2691
6.1243     6.2706     7.0974
6.0564     6.2218     6.9175
6.045      6.195      6.7806
5.9861     6.1651     6.5918
6.0206     6.1235     6.4851
6.0028     6.0091     6.2638
6.0014     5.9423     6.1397
5.971      5.8848     5.9514
5.9396     5.7633     5.7684
5.9146     5.6639     5.6049
5.8716     5.5245     5.4229
5.8527     5.4715     5.3295
5.8115     5.3748     5.1783
5.7743     5.2377     5.0194
5.7359     5.1271     4.8666
5.7896     5.0521     4.7451
5.834      4.9421     4.6327
5.9126     4.87       4.4688
6.0782     4.7668     4.3641
6.235      4.7431     4.3739
6.469      4.6324     4.5063
6.5523     4.5587     4.4219
6.648      4.41       4.4503
6.7481     4.2237     4.5085
6.8316     4.0001     4.6473
7.0035     3.9046     4.8102
7.1969     3.9936     5.0823
7.4107     4.0938     5.354
7.4893     4.2363     5.5496
7.5679     4.2259     5.7532
7.6587     4.2251     5.9055
7.7143     4.2655     6.0718
7.7836     4.3012     6.2953
7.853      4.3758     6.5546
7.8673     4.4375     6.7652
7.9305     4.5114     7.0092
7.9727     4.5885     7.1507
8.0072     4.7127     7.3285
8.0749     4.785      7.4212
8.0877     5.0908     7.7057
8.103      5.1442     7.8876
8.0849     5.2161     7.9848
8.0429     5.3998     8.1563
7.9817     5.4649     8.307
7.8551     5.5284     8.3701
7.7852     5.5922     8.4641
7.4496     5.756      8.5778
7.2998     5.864      8.5804
















































































































































6.4115     4.6166     4.4213     NASP-PR
6.368      4.5506     4.1874
6.2908     4.4745     4.0378
6.2638     4.4092     3.8504
6.2768     4.3968     3.6532
6.3224     4.4212     3.4183
6.363      4.454      3.2603
6.4011     4.5476     3.0646
6.4597     4.5867     2.918



























































































































































