AMNH        169432      phu1adr2
18.0607     6.487       -17.452     IN
14.4656     10.6003     -19.2887    BR
10.5675     15.36       -17.9345    GL
10.5261     15.3671     -17.3361    NA
7.5912      18.7727     -10.4387    RH
6.1948      20.5168     -6.7889     NS
6.179       20.6886     -5.1919     PR
5.5142      19.7326     -5.2486     R_PR2
7.4174      17.4202     -10.9984    R_PMS
8.0571      12.031      -10.8336    R_ZMI
9.1025      13.5229     -15.1014    R_ZMU
10.3039     14.8047     -16.2881    R_DA
8.9935      13.6516     -17.5404    R_MTI
9.5741      13.1477     -18.7339    R_MTS
8.3771      12.0773     -16.2473    R_FMO
8.07        10.8027     -16.286     R_FMT
12.449      6.1331      -14.6203    R_PO
7.8881      9.6998      -12.7559    R_ZTS
7.2497      21.1412     -5.3531     L_PR2
8.8852      18.7489     -11.0533    L_PMS
14.3158     17.1411     -11.0221    L_ZMI
12.4595     16.3848     -15.0613    L_ZMU
11.1907     15.4397     -16.2311    L_DA
12.5488     16.7276     -17.5512    L_MTI
13.2442     16.1559     -18.626     L_MTS
14.0431     16.8678     -15.9311    L_FMO
15.5122     16.7628     -16.5897    L_FMT
19.2369     11.7685     -14.5988    L_PO
16.44       17.0054     -12.8229    L_ZTS
5.5497      17.9758     -7.1464     O1
10.3513     19.7077     -10.141     O2
7.7936      11.4716     -15.7097    O3
17.5518     7.8549      -17.6298    O4







































































































































































10.5081     15.336      -17.926     GLRH
10.4968     15.3258     -17.8296
10.4961     15.3374     -17.6824
10.4857     15.3341     -17.5577
10.494      15.3512     -17.4611
10.4908     15.3608     -17.3585
10.489      15.3885     -17.2728
10.4912     15.3907     -17.1001
10.5252     15.3979     -16.9725
10.5296     15.3874     -16.8041
10.529      15.3812     -16.6795
10.5509     15.3759     -16.5611
10.5124     15.3726     -16.4516
10.526      15.3841     -16.3364
10.5234     15.3944     -16.251
10.4823     15.3895     -16.139
10.4816     15.413      -16.0697
10.4713     15.4756     -15.96
10.4526     15.5053     -15.8582
10.425      15.5435     -15.757
10.3735     15.5536     -15.6788
10.357      15.59       -15.6066
10.3277     15.6282     -15.5102
10.2998     15.6847     -15.4261
10.2635     15.7241     -15.3485
10.2455     15.759      -15.2898
10.1962     15.8077     -15.2009
10.1799     15.8556     -15.1373
10.1386     15.8939     -15.0775
10.1239     15.9454     -15.0257
10.0782     15.9996     -14.944
10.0138     16.0694     -14.8659
9.9359      16.1459     -14.7617
9.8807      16.2272     -14.6502
9.801       16.2964     -14.5635
9.7366      16.3879     -14.4622
9.6655      16.4857     -14.3295
9.5749      16.5536     -14.2306
9.5163      16.6564     -14.0923
9.4901      16.6828     -13.9991
9.4427      16.7411     -13.9285
9.397       16.7795     -13.8742
9.3389      16.8319     -13.7841
9.3316      16.9264     -13.7
9.2693      16.9772     -13.5981
9.2084      17.0033     -13.5327
9.1631      17.0507     -13.4861
9.1355      17.084      -13.4289
9.0816      17.1499     -13.3637
9.0573      17.1926     -13.3106
9.0233      17.2408     -13.2205
8.9871      17.28       -13.179
8.9325      17.3375     -13.0987
8.8782      17.373      -13.0426
8.8414      17.4094     -12.9898
8.7943      17.4693     -12.9246
8.7382      17.5187     -12.8534
8.6749      17.6018     -12.7488
8.658       17.6594     -12.7011
8.5882      17.6909     -12.6305
8.5577      17.7447     -12.5564
8.4934      17.7924     -12.4772
8.3922      17.8451     -12.3639
8.3611      17.9327     -12.2697
8.3226      17.9733     -12.1687
8.2833      18.0302     -12.0998
8.2293      18.0966     -12.0191
8.189       18.132      -11.9344
8.1485      18.1701     -11.8657
8.1412      18.2053     -11.7797
8.0919      18.2762     -11.6773
8.0452      18.3335     -11.5868
8.0059      18.3715     -11.4695
8.0008      18.4123     -11.4076
7.9361      18.4581     -11.3063
7.9238      18.513      -11.1973
7.8898      18.5396     -11.1377
7.8317      18.5684     -11.0786
7.7964      18.6386     -10.933
7.7405      18.6977     -10.8193
7.6913      18.7434     -10.7046
7.6636      18.7802     -10.5857
7.6562      18.7968     -10.4884
7.6366      18.7536     -10.4073




















































































































