NMNH       381433     Php8stv
19.3744    18.9747    15.4624    IN
15.9937    15.4966    17.0737    BR
11.8916    11.5394    14.274     GL
11.9601    11.5234    13.9205    NA
9.568      9.3045     8.102      RH
8.7276     8.4595     5.2042     NS
8.7531     8.4523     3.8112     PR
8.1915     9.1332     3.9862     R_PR2
10.7191    10.9278    10.0184    R_PMS
10.0291    15.0051    8.7494     R_ZMI
11.1017    13.1403    11.843     R_ZMU
11.8885    11.9358    12.9026    R_DA
10.8799    13.0985    14.1999    R_MTI
11.4464    13.4539    15.4023    R_MTS
10.3398    14.4553    13.4448    R_FMO
10.1369    15.6364    13.3977    R_FMT
13.9743    19.8722    12.0989    R_PO
9.632      16.8158    10.539     R_ZTS
9.5        7.8498     4.0516     L_PR2
11.1416    10.4076    9.9463     L_PMS
15.4121    9.8094     8.8261     L_ZMI
13.5884    10.7378    11.9438    L_ZMU
12.4626    11.5073    12.8471    L_DA
13.4005    10.6374    14.2495    L_MTI
13.8221    11.1162    15.4442    L_MTS
15.0242    10.0768    13.4352    L_FMO
16.2289    9.8893     13.5916    L_FMT
20.3528    13.731     12.1592    L_PO
17.3764    9.3361     10.5025    L_ZTS
9.2207     7.6586     5.0781     O1
10.9659    15.0203    14.758     O2
19.0149    10.4549    11.1623    O3
20.7272    17.0091    14.2075    O4







































































































































































11.9798    11.4715    14.1541    GLRH
11.9623    11.511     13.9086
11.9387    11.5317    13.5855
11.9485    11.5627    13.2965
11.9292    11.518     13.0469
11.9189    11.5047    12.8309
11.859     11.4872    12.6017
11.8243    11.4613    12.4191
11.7573    11.4022    12.2017
11.6769    11.3477    11.9786
11.6446    11.2416    11.8092
11.5436    11.1882    11.5651
11.481     11.1019    11.3866
11.4135    11.0307    11.1936
11.3308    10.9767    11.0366
11.2606    10.9275    10.8591
11.1861    10.8559    10.682
11.0487    10.7672    10.4987
10.9606    10.7199    10.3404
10.8824    10.6395    10.1666
10.789     10.5569    10.029
10.702     10.4608    9.8881
10.6214    10.3647    9.724
10.5181    10.2856    9.5417
10.4057    10.1966    9.4094
10.3406    10.1021    9.2971
10.2502    10.0266    9.1947
10.1642    9.9845     9.0607
10.0438    9.9048     8.9407
9.9637     9.7459     8.7915
