NMNH       121661     Scc17stv
-1.0015    10.5115    4.2719     IN
-0.9807    8.1324     6.5253     BR
-1.2812    3.5071     5.7724     GL
-1.2762    3.3985     5.5334     NA
-1.2966    2.6657     4.0546     RH
-1.2781    1.9609     2.6638     NS
-1.272     1.544      2.2574     PR
-1.7471    1.674      2.1866     R_PR2
-1.402     3.2666     5.107      R_PMS
-3.4762    4.1257     2.6482     R_ZMI
-2.5299    3.6769     3.9237     R_ZMU
-1.6138    3.657      4.9211     R_DA
-2.7398    4.2402     5.9175     R_MTI
-2.7194    4.4203     6.3167     R_MTS
-3.6511    4.4382     5.1976     R_FMO
-3.6854    5.0103     5.3505     R_FMT
-3.6428    7.9468     3.2916     R_PO
-4.0327    5.2043     3.3265     R_ZTS
-0.7856    1.6963     2.1941     L_PR2
-1.0515    3.3912     5.3262     L_PMS
1.1229     3.8684     2.7747     L_ZMI
-0.0079    3.5244     3.9756     L_ZMU
-0.8742    3.5606     5.0253     L_DA
-0.0315    4.0037     6.0272     L_MTI
-0.0486    4.1746     6.3892     L_MTS
1.2725     4.2292     5.2579     L_FMO
1.3356     4.7344     5.399      L_FMT
1.6042     7.7583     3.3119     L_PO
1.6955     4.9282     3.4012     L_ZTS
-1.7744    1.9462     2.7061     O1
-3.3829    4.8        5.8779     O2
1.9598     6.3701     3.192      O3
-1.3535    10.4628    4.4646     O4







































































































































































-1.2859    3.5323     5.7563     GLRH
-1.2803    3.4654     5.6042
-1.2672    3.3883     5.4286
-1.2785    3.3087     5.2598
-1.2771    3.222      5.0933
-1.2638    3.1664     4.9807
-1.2565    3.0925     4.8175
-1.259     3.046      4.7234
-1.2744    2.971      4.5557
-1.2676    2.8944     4.43
-1.2455    2.8195     4.3188
-1.2548    2.7711     4.2367
-1.2631    2.7215     4.1451
-1.2512    2.6854     4.0745


























































































































































































-1.2962    2.6653     4.0266     NOSE
-1.5147    2.7786     4.0401
-1.6734    2.7301     3.8393
-1.7383    2.6819     3.636
-1.7886    2.5903     3.4143
-1.7498    2.4109     3.1798
-1.652     2.2264     3.0408
-1.4128    2.0041     2.7744
-1.3044    1.9214     2.6398
-1.2093    1.9373     2.6847
-1.073     2.0174     2.8343
-0.9822    2.1281     2.9282
-0.8563    2.2375     3.0714
-0.7588    2.3663     3.2431
-0.6807    2.475      3.3811
-0.7146    2.573      3.5283
-0.7948    2.6244     3.6965
-0.8312    2.653      3.8144
-0.9832    2.7263     3.9527
-1.0557    2.7306     4.0543
-1.1665    2.7052     4.0396
-1.2331    2.6911     4.005


















































































































































































-1.2965    1.8724     2.6321     NASP-PR
-1.2934    1.749      2.5381
-1.2877    1.6781     2.4943
-1.2979    1.6155     2.4252
-1.2827    1.5713     2.2657



































































































































































































-1.3927    3.1844     4.9475     R-PM/MAX
-1.4894    3.1552     4.7607
-1.5446    3.0748     4.5668
-1.5645    3.013      4.4281
-1.6362    2.9527     4.2265
-1.7297    2.8524     3.9735
-1.7696    2.7595     3.8166
-1.8482    2.7129     3.6283
-1.9494    2.6171     3.4138
-2.0011    2.5497     3.2835
-2.0503    2.4645     3.1407
-2.0822    2.3778     2.9781
-2.1255    2.2766     2.8812
-2.1382    2.1553     2.7431
-2.1851    2.0321     2.5743
-2.1447    1.9557     2.4512
-2.0853    1.9361     2.2842
-2.0605    1.9701     2.1828






















































































































































































-1.0141    3.4021     5.2675     L-PM/MAX
-1.0437    3.3116     5.1262
-1.002     3.2747     4.9798
-0.9856    3.2222     4.8485
-0.9526    3.179      4.7356
-0.9439    3.12       4.6327
-0.9176    3.0446     4.4558
-0.8792    2.9438     4.2874
-0.8395    2.8749     4.1826
-0.7965    2.8425     4.0672
-0.725     2.7769     3.8941
-0.7087    2.7179     3.7765
-0.6473    2.6661     3.6571
-0.5553    2.5903     3.4517
-0.4737    2.479      3.284
-0.424     2.4134     3.1541
-0.3951    2.2872     2.9544
-0.3843    2.1432     2.7717
-0.3692    1.9989     2.6006
-0.32      1.9409     2.413
-0.4224    1.9375     2.2464



















































































































































































-2.8025    3.2505     2.1425     ROSTRUM
-2.8246    3.2029     2.4337
-2.8129    3.1267     2.6026
-2.7369    3.1432     2.8626
-2.6625    3.1503     3.0312
-2.604     3.1389     3.1698
-2.5141    3.1512     3.3357
-2.3784    3.1222     3.4353
-2.2705    3.1159     3.5587
-2.1755    3.1402     3.6882
-2.0427    3.1322     3.8189
-1.9648    3.1337     3.9249
-1.8384    3.1113     4.1237
-1.7163    3.1182     4.2932
-1.6101    3.0932     4.4983
-1.5033    3.0834     4.6264
-1.4051    3.0854     4.7344
-1.3112    3.0836     4.7752
-0.9197    3.1004     4.5979
-0.8195    3.0754     4.4002
-0.7224    3.0631     4.234
-0.6294    3.0392     4.0656
-0.5158    3.0076     3.8751
-0.4091    3.0003     3.7297
-0.2187    3.008      3.5783
-0.0597    3.0034     3.4509
0.1039     3.0303     3.3306
0.2497     3.0494     3.1503
0.3374     3.0378     2.98
0.3981     3.0368     2.7857
0.4168     3.0541     2.5751
0.4026     3.0328     2.3554
0.3798     3.0635     2.1663
0.3137     3.068      1.9548






































































































































































-3.7333    4.8775     5.4692     SUPORB
-3.6841    4.7801     5.6014
-3.5743    4.7076     5.7742
-3.4133    4.6348     5.9368
-3.2364    4.5957     6.068
-3.0432    4.5772     6.1905
-2.8837    4.5038     6.2735
-2.7291    4.4328     6.3055
-2.5825    4.3533     6.355
-2.4084    4.2599     6.3869
-2.2388    4.2014     6.3976
-1.9138    4.082      6.3753
-1.7202    4.0621     6.3503
-1.5775    4.0071     6.3156
-1.454     3.9645     6.2881
-1.3156    3.9372     6.2566
-1.1105    3.9227     6.2656
-0.9425    3.964      6.2905
-0.7496    3.99       6.3444
-0.5795    4.0295     6.3825
-0.3709    4.1233     6.4174
-0.1952    4.1686     6.4141
0.0713     4.208      6.3876
0.2513     4.2806     6.3245
0.4309     4.3477     6.2747
0.7484     4.5283     6.135
0.9214     4.5745     6.0152
1.0912     4.6073     5.8733
1.2441     4.7095     5.6341
1.4018     4.6231     5.4449










































































































































































-2.4762    3.7415     3.9599     RORBIT
-2.593     3.7658     3.9457
-2.7253    3.7775     3.9565
-2.8733    3.8296     3.9654
-3.0639    3.9204     4.0548
-3.1659    3.9845     4.1144
-3.338     4.0652     4.2204
-3.4342    4.1456     4.3612
-3.5429    4.2445     4.5397
-3.5836    4.3241     4.6836
-3.6037    4.3774     4.8788
-3.6375    4.4356     5.1281
-3.5998    4.4689     5.2907
-3.4619    4.4597     5.4813
-3.3474    4.4095     5.651
-3.1803    4.365      5.7809
-2.9982    4.2916     5.9657
-2.7441    4.2144     5.9488
-2.5329    4.1417     5.9957
-2.3533    4.0848     5.9833
-2.1346    3.9937     5.9746
-1.9325    3.9074     5.8895
-1.7997    3.8725     5.7924
-1.6794    3.7861     5.6702
-1.6037    3.7136     5.5184
-1.5375    3.5836     5.2721
-1.5641    3.6162     5.1051
-1.5895    3.6301     4.9369












































































































































































0.0199     3.5496     3.9734     LORBIT
0.2506     3.6212     3.9636
0.4534     3.6827     3.9958
0.6433     3.7742     4.0782
0.7937     3.8551     4.1692
0.9602     3.9509     4.3355
1.085      4.0443     4.5055
1.1596     4.1147     4.6981
1.2175     4.1814     4.95
1.2452     4.2222     5.0888
1.2283     4.2686     5.2052
1.1757     4.2894     5.4003
1.0755     4.2772     5.533
0.9493     4.2537     5.7203
0.8183     4.2222     5.8201
0.6778     4.1914     5.9215
0.5142     4.1549     5.985
0.3509     4.1203     6.0028
0.0715     4.029      6.0688
-0.0862    3.9631     6.1162
-0.2472    3.9128     6.0559
-0.4296    3.8597     6.0131
-0.5925    3.8045     5.9573
-0.6921    3.759      5.8669
-0.8406    3.6898     5.7028
-0.8903    3.6278     5.5388
-0.8526    3.6125     4.9763













































































































































































-3.7109    4.964      5.3862     RTEMFOS
-3.7922    4.9692     5.1413
-3.9124    4.8717     4.9853
-3.9695    4.8179     4.7715
-3.9923    4.817      4.5687
-3.9964    4.7741     4.3344
-3.992     4.7211     4.1911
-4.0064    4.6856     3.9337
-3.9904    4.7064     3.7226
-4.0238    4.7691     3.4969
-4.0397    4.9054     3.3946
-4.0408    5.0357     3.3264
-4.0418    5.1261     3.3183
-4.0666    5.25       3.3056


























































































































































































1.3672     4.7121     5.374      LTEMFOS
1.4819     4.6984     5.0583
1.545      4.6278     4.8578
1.5925     4.5675     4.6345
1.6149     4.5152     4.5071
1.6173     4.4805     4.3703
1.6206     4.4547     4.1181
1.6393     4.4222     3.9507
1.657      4.4403     3.7459
1.6958     4.4525     3.5638
1.7011     4.5572     3.4685
1.6866     4.6546     3.4468
1.6937     4.7653     3.4178
1.7195     4.818      3.3967
1.7514     4.9572     3.373

























































































































































































-1.0177    2.3378     5.455      OP
-0.9395    4.0351     5.5401     BA
-0.954     7.2513     4.6849     ST
-0.8964    9.2328     4.6946     IV
-3.3989    4.4811     5.269      R_PG
-3.9269    5.9508     4.6986     R_ZTI
-2.1502    6.8539     5.012      R_M3D
-2.6082    8.1762     5.0698     R_M12
-2.1186    9.6443     4.9265     R_MP3
-1.7383    9.984      4.7793     R_PMI
1.5648     4.4528     5.1961     L_PG
2.077      5.937      4.5891     L_ZTI
0.2334     6.8364     4.9827     L_M3D
0.7662     8.0839     5.1011     L_M12
0.332      9.7161     4.8597     L_MP3
-0.0714    10.0219    4.6837     L_PMI
-1.4626    9.9912     4.3075     O1
-3.109     6.5842     1.5493     O2
2.1345     5.323      4.5549     O3
-1.344     1.1498     3.9941     O4




















































































































































































-3.1715    7.8549     4.7258     RZYGINF
-3.2795    7.7402     4.6996
-3.3636    7.6045     4.7033
-3.4591    7.4552     4.6685
-3.5204    7.284      4.6594
-3.5798    7.1117     4.6671
-3.6415    6.9355     4.675
-3.7219    6.7237     4.6886
-3.785     6.5518     4.6986
-3.8551    6.4022     4.7079
-3.9122    6.2348     4.7187
-3.9505    6.105      4.7234
-3.9778    5.9579     4.7138
-3.977     5.9017     4.6895


























































































































































































1.3339     7.8203     4.6258     LZYGINF
1.4577     7.5736     4.6154
1.5722     7.4048     4.5865
1.668      7.2224     4.5762
1.7006     7.0696     4.5815
1.7375     6.8766     4.5982
1.7814     6.6731     4.621
1.8533     6.4487     4.6461
1.929      6.3045     4.6513
2.0713     6.1207     4.6077
2.0413     5.9355     4.6261
2.0209     5.8192     4.6186




























































































































































































-2.0914    6.8183     5.0661     R-ALV
-2.2035    7.0021     5.1116
-2.3183    7.1654     5.09
-2.4259    7.4889     5.1701
-2.4827    7.6355     5.2206
-2.5363    7.8811     5.21
-2.5857    8.059      5.1902
-2.5965    8.2447     5.1835
-2.5885    8.3856     5.1903
-2.5688    8.5129     5.1586
-2.557     8.6967     5.1053
-2.5156    8.8205     5.1079
-2.482     8.9452     5.0896
-2.4534    9.1108     5.1167
-2.3753    9.2532     5.0953
-2.3441    9.3786     5.0016
-2.2783    9.5287     4.9445
-2.2169    9.6        4.9201






















































































































































































0.324      6.9449     5.0058     L-ALV
0.4832     7.197      5.0045
0.5697     7.3676     5.0174
0.6475     7.5924     5.0555
0.7286     7.8211     5.0544
0.7769     8.0773     5.0614
0.7798     8.2923     5.0781
0.7708     8.5533     5.0379
0.6917     8.8062     5.0683
0.6505     8.9646     5.0559
0.6228     9.1303     4.9996
0.4974     9.4055     4.9479
0.4532     9.5651     4.8321
0.2878     9.7283     4.9013
