AMNH       169432     Phu1bjw
1.364      27.5106    13.8713    IN
1.5027     22.4604    16.8842    BR
1.6849     16.008     16.5742    GL
1.4983     15.888     16.1849    NA
0.6362     10.151     10.2902    RH
0.3315     7.1003     7.1273     NS
0.3228     6.7961     5.5672     PR
-0.8037    7.1548     6.0276     R_PR2
-0.1574    11.1702    10.8522    R_PMS
-3.2931    15.6441    10.252     R_ZMI
-1.0507    15.8467    14.1627    R_ZMU
0.9535     16.0931    15.278     R_DA
-1.2702    16.3224    16.6115    R_MTI
-1.3544    16.999     17.4167    R_MTS
-2.3241    16.8346    15.3602    R_FMO
-3.3628    17.6016    15.2828    R_FMT
-3.3282    23.3733    12.5889    R_PO
-4.6537    17.632     11.9052    R_ZTS
1.462      7.0983     5.8738     L_PR2
1.7075     10.9984    10.6666    L_PMS
4.653      15.6848    9.2534     L_ZMI
3.3015     15.8301    13.6184    L_ZMU
1.9016     16.0259    15.0518    L_DA
3.8482     16.2105    16.02      L_MTI
3.7765     16.8448    16.9824    L_MTS
5.0939     16.9297    14.4879    L_FMO
6.1026     17.8263    14.395     L_FMT
5.281      23.2755    11.4287    L_PO
6.3982     17.4189    10.6119    L_ZTS
0.8918     6.4593     6.0919     O1
5.0221     18.0337    14.719     O2
-2.2157    17.9257    15.3701    O3
1.3078     27.3024    13.3753    O4







































































































































































9999       9999       9999       GLRH



























































































































































