UCMVZ      154147     Phh1stv
18.4831    16.5501    13.6289    IN
14.7899    12.9248    15.6328    BR
11.0476    9.4685     13.4151    GL
11.0651    9.5344     13.0061    NA
8.6835     7.835      9.562      RH
7.0092     6.3548     7.2978     NS
6.4395     5.9078     5.9855     PR
5.8769     6.7012     5.8988     R_PR2
10.0784    9.2071     10.4683    R_PMS
8.7938     12.6514    8.732      R_ZMI
10.2822    10.7973    11.2319    R_ZMU
11.2078    10.1159    12.3114    R_DA
9.9964     10.5404    13.3525    R_MTI
10.5508    10.8645    14.1712    R_MTS
9.3139     12.2403    12.6835    R_FMO
9.0665     13.1181    12.9818    R_FMT
13.1366    17.2416    11.1063    R_PO
8.658      14.6096    9.9037     R_ZTS
7.146      5.3322     5.8325     L_PR2
10.5616    8.7211     10.2459    L_PMS
13.6773    7.4051     8.3758     L_ZMI
12.2277    8.7994     11.1071    L_ZMU
11.7507    9.78       12.2534    L_DA
12.5354    8.0938     13.2593    L_MTI
12.8405    8.7345     14.0326    L_MTS
13.7722    7.6134     12.4556    L_FMO
14.5845    7.4535     12.7499    L_FMT
18.7918    11.1488    10.8238    L_PO
16.0284    7.2881     9.4705     L_ZTS
6.5849     5.3344     5.8709     O1
8.0418     13.3487    9.2909     O2
14.1457    8.1369     13.5942    O3
19.1457    15.1968    13.0246    O4







































































































































































11.0023    9.4605     13.452     GLRH
11.0286    9.4978     13.3114
11.0236    9.4998     13.1778
11.0176    9.5345     12.9909
11.1024    9.5551     12.843
11.1292    9.5862     12.7397
11.2018    9.666      12.5813
11.2421    9.6651     12.4169
11.2494    9.6962     12.3037
11.2136    9.7164     12.1343
11.2021    9.7147     12.0204
11.1821    9.6849     11.8971
11.1043    9.6871     11.7341
11.065     9.6447     11.6218
11.0224    9.579      11.4855
10.9217    9.5411     11.3416
10.8242    9.5034     11.1933
10.754     9.4334     11.0961
10.7031    9.3498     10.9984
10.6536    9.2807     10.9172
10.5375    9.2218     10.8267
10.4506    9.1199     10.7374
10.3498    9.0654     10.652
10.2717    9.0008     10.5774
10.1669    8.9053     10.5185
10.1077    8.8126     10.4483
10.0127    8.7253     10.3704
9.9383     8.6547     10.2961
9.8052     8.6069     10.2519
9.7122     8.5239     10.1786
9.6359     8.4869     10.1399
9.5301     8.375      10.0677
9.4453     8.2822     10.0003
9.3105     8.1934     9.9198
9.1811     8.1391     9.8681
9.0645     8.0322     9.7875
8.9653     7.9593     9.7587
8.8719     7.8827     9.7034
8.813      7.8154     9.6169
8.7662     7.7711     9.5652
































































































































































8.6468     7.8403     9.5537     NOSE
8.5228     8.0113     9.5434
8.3994     8.1647     9.4975
8.2623     8.2348     9.4502
8.0861     8.2383     9.352
7.9687     8.2342     9.2729
7.8272     8.2505     9.1998
7.659      8.2272     9.1078
7.4748     8.1697     9.0133
7.251      8.1019     8.8922
7.1737     8.0262     8.7436
7.1039     7.9194     8.6288
6.9735     7.8401     8.4381
6.8453     7.778      8.3279
6.698      7.6826     8.1215
6.6692     7.5978     8.0364
6.6362     7.4787     7.9295
6.6847     7.3348     7.7966
6.7109     7.0647     7.7042
6.6347     6.9518     7.6676
6.7144     6.8706     7.6199
6.7546     6.7314     7.5387
6.7895     6.6117     7.464
6.8663     6.4946     7.3769
6.9905     6.4139     7.3428
7.0238     6.2962     7.3043
7.105      6.1768     7.3732
7.1861     6.0511     7.4398
7.3433     5.9465     7.5135
7.4981     5.8616     7.5696
7.6341     5.8365     7.5948
7.7576     5.7605     7.5954
7.8777     5.7285     7.6307
8.0854     5.6324     7.7573
8.2758     5.7118     7.9675
8.3785     5.8248     8.1296
8.4739     5.9207     8.316
8.581      6.0279     8.4754
8.7016     6.1486     8.6329
8.7573     6.259      8.7318
8.8475     6.3804     8.8699
8.9769     6.4595     8.9884
