AMNH       169432     Phu1bjw
1.2643     27.2906    13.9476    IN
1.2121     22.3096    16.8888    BR
1.0001     15.7966    16.6739    GL
1.0844     15.7227    16.2307    NA
0.5274     9.9483     10.4097    RH
0.2641     6.9119     7.2075     NS
0.2697     6.5574     5.6985     PR
-0.9288    6.9791     6.0592     R_PR2
-0.4171    10.9978    10.8318    R_PMS
-3.3362    15.4591    10.0219    R_ZMI
-1.3747    15.7292    14.0983    R_ZMU
0.5686     15.8554    15.1493    R_DA
-1.3983    16.2201    16.5187    R_MTI
-1.5274    16.8421    17.3967    R_MTS
-2.6446    16.5988    15.0505    R_FMO
-3.6648    17.5149    15.1465    R_FMT
-3.4748    23.232     12.368     R_PO
-4.8409    17.4971    11.6687    R_ZTS
1.3349     6.8623     5.9044     L_PR2
1.4313     10.8174    10.7279    L_PMS
4.5729     15.3538    9.5165     L_ZMI
3.0848     15.5955    13.7427    L_ZMU
1.5798     15.8313    15.0664    L_DA
3.5729     16.1378    16.0989    L_MTI
3.269      16.65      17.1719    L_MTS
4.7578     16.4614    14.3444    L_FMO
5.7805     17.5028    14.5803    L_FMT
5.2008     23.0482    11.5696    L_PO
6.2232     17.1031    10.8433    L_ZTS
0.7999     6.2718     6.179      O1
4.7922     17.8981    14.9811    O2
-2.5659    17.8188    15.1454    O3
1.2553     27.1628    13.3062    O4







































































































































































9999       9999       9999       GLRH

















































































































































