FSM        21349      Phu198sf
0.161      25.0867    12.5998    IN
0.4685     21.2814    16.1252    BR
1.1401     13.9312    16.6498    GL
1.1229     13.8402    16.1714    NA
1.3298     7.4469     10.843     RH
1.6024     4.11       7.5036     NS
1.6166     3.0981     5.7925     PR
0.505      3.3337     5.8256     R_PR2
0.5711     8.5825     11.4301    R_PMS
-3.0121    12.0079    10.1209    R_ZMI
-0.7157    13.0791    13.8337    R_ZMU
0.5717     13.6505    14.9203    R_DA
-0.9547    14.1817    16.4679    R_MTI
-0.8033    15.2157    17.6256    R_MTS
-2.4894    14.4615    15.1814    R_FMO
-3.5093    15.1932    15.4606    R_FMT
-4.2386    20.151     11.1424    R_PO
-4.8208    14.0245    11.5041    R_ZTS
2.7277     3.362      6.0073     L_PR2
1.914      8.7218     11.6393    L_PMS
5.2325     12.3629    10.1791    L_ZMI
3.0049     13.3814    13.8074    L_ZMU
1.7091     13.7908    14.9745    L_DA
3.3836     14.2121    16.4909    L_MTI
3.4449     15.6305    17.4709    L_MTS
4.6439     14.679     14.8595    L_FMO
5.5766     15.5883    14.9554    L_FMT
5.2354     20.7744    11.0484    L_PO
6.6568     14.7138    11.3561    L_ZTS
2.2035     2.7039     5.7769     O1
-2.66      15.7792    16.5249    O2
7.0652     16.1991    11.0174    O3
-0.4397    24.5765    12.369     O4







































































































































































1.1342     13.9272    16.6754    GLRH
1.1446     13.9059    16.4761
1.1383     13.8436    16.2913
1.1029     13.8408    16.1765
1.1205     13.7767    15.9631
1.1103     13.7683    15.8091
1.0966     13.6843    15.6186
1.1088     13.4988    15.2858
1.0543     13.3106    15.0679
1.0989     13.1095    14.8807
1.0983     12.9355    14.7074
1.1186     12.7052    14.5429
1.1164     12.4614    14.3811
1.1503     12.2909    14.272
1.1264     12.0612    14.1052
1.181      11.7353    13.8893
