UCB LHES   109        Tg2stv
12.83169   13.95259   13.29883   IN
10.45103   11.49298   15.89762   BR
6.21711    6.69886    14.14774   GL
6.29019    7.0397     13.66023   NA
9999       9999       9999       RH
3.1443     3.71699    7.90091    NS
2.68411    3.1519     6.22008    PR
2.29394    3.649      6.18567    R_PR2
9999       9999       9999       R_PMS
4.41776    10.49818   8.86318    R_ZMI
5.29186    8.77835    11.76004   R_ZMU
6.26115    7.56357    13.0655    R_DA
4.84973    8.39839    13.53565   R_MTI
5.30968    8.39456    14.35944   R_MTS
4.92048    9.99652    13.11617   R_FMO
4.99897    10.57816   13.40068   R_FMT
8.29322    14.53823   11.09244   R_PO
4.65336    12.55963   10.36732   R_ZTS
3.28572    2.88728    6.34618    L_PR2
5.60966    5.30058    9.52735    L_PMS
9.95393    5.1077     9.16979    L_ZMI
8.01122    6.14888    11.85657   L_ZMU
6.84681    7.11953    13.08688   L_DA
7.4292     5.84262    13.75143   L_MTI
7.70235    5.8648     14.47096   L_MTS
9.20346    5.76054    13.32312   L_FMO
9.86064    5.89214    13.48179   L_FMT
13.7118    9.57145    11.1971    L_PO
11.63955   5.40959    10.58413   L_ZTS
2.23837    3.18472    6.10438    O1
6.06001    9.77377    14.27451   O2
13.54715   6.94338    10.71986   O3
10.70161   15.23975   12.19797   O4







































































































































































6.06973    6.82084    14.11659   GLRH
6.17539    6.91968    14.00961
6.2227     6.97994    13.87945
6.29236    6.97544    13.76105
6.27532    7.04146    13.54336
6.29149    7.06815    13.29358
6.33129    7.14702    13.08002
6.34891    7.16323    12.90112
6.38604    7.15733    12.73113
6.34845    7.1715     12.5974
6.36205    7.14019    12.45583
6.31603    7.09068    12.32649
6.31488    7.08604    12.12362
6.28826    7.03306    11.91534
6.22307    7.00573    11.72164
6.17277    6.96579    11.55709
6.13516    6.91273    11.42686
6.11676    6.83163    11.29945
6.05226    6.74696    11.12788
5.99493    6.7145     11.05695
5.92414    6.61584    10.9287
5.80686    6.53663    10.81396
5.74925    6.47954    10.68278
5.659      6.40673    10.548
5.6065     6.31664    10.4146
5.53595    6.22269    10.30597
5.46979    6.11233    10.16732
5.3838     6.04766    10.03065
5.2965     5.94596    9.9169
9999       9999       9999










































































































































































9999       9999       9999       NOSE
4.19746    6.13983    9.13593
4.09278    6.06632    9.01625
3.99852    5.99636    8.9462
3.90204    5.92714    8.84113
3.78426    5.84392    8.75963
3.68851    5.77633    8.72113
3.62068    5.72215    8.67406
3.52905    5.60689    8.62946
3.44347    5.52877    8.54726
3.36475    5.45635    8.48231
3.35524    5.35874    8.43115
3.24758    5.23546    8.31951
3.18897    5.04524    8.25208
3.09384    4.86688    8.19593
3.03217    4.67545    8.16069
2.98032    4.51949    8.15697
3.02614    4.42224    8.14735
2.99362    4.3121     8.18308
3.00879    4.105      8.23008
3.0168     3.9814     8.21589
3.12191    3.87328    8.10737
3.157      3.7749     7.92928
3.24507    3.73292    8.08363
3.38993    3.6823     8.20478
3.55443    3.6027     8.18467
3.71577    3.58995    8.19876
3.85217    3.64299    8.2138
3.99826    3.62949    8.21957
4.18018    3.65853    8.2411
4.33369    3.7575     8.2522
4.47167    3.77845    8.32041
4.58448    3.84233    8.39215
4.71069    3.93608    8.45852
4.77288    4.01719    8.49169
4.92784    4.13385    8.56796
5.02525    4.21859    8.65226
5.12122    4.32932    8.69931
5.2052     4.44179    8.79678
5.29881    4.52865    8.8625
5.34053    4.65608    8.92838
5.39816    4.74479    9.0037
5.48424    4.91363    9.12093
5.50837    5.00501    9.21947
5.58166    5.14895    9.38982
5.57057    5.27183    9.49213
5.52983    5.38522    9.58762
5.52314    5.5        9.66411
5.51676    5.54098    9.73405























































































































































3.10955    3.7011     7.88737    NASP-PR
3.05261    3.62627    7.81438
2.95259    3.52023    7.64447
2.90648    3.44372    7.50399
2.86017    3.39851    7.40276
2.85686    3.34415    7.24748
2.82345    3.27678    7.03839
2.80242    3.23896    6.94867
2.77512    3.23815    6.78164
2.7577     3.21295    6.54662
2.71949    3.21295    6.40855
2.68348    3.15281    6.22281




























































































































































































9999       9999       9999       R-PM/MAX
4.15674    6.0449     9.04926
4.03461    6.00049    8.94077
3.91572    5.91415    8.8356
3.79677    5.84492    8.7475
3.68022    5.76539    8.71634
3.6059     5.71295    8.6543
3.48971    5.56944    8.58855
3.37754    5.54951    8.46072
3.31068    5.60225    8.35707
3.24483    5.57112    8.2313
3.07769    5.52252    8.14349
2.91159    5.48806    8.02958
2.75408    5.4848     7.82836
2.66766    5.41353    7.69917
2.5188     5.35151    7.524
2.42185    5.26077    7.39024
2.30363    5.20939    7.22833
2.21075    5.16119    7.1035
2.16106    5.08898    6.95686
2.29329    4.92454    6.63898
2.38137    4.86977    6.50658


















































































































































































5.59771    5.27068    9.52058    L-PM/MAX
5.58502    5.20297    9.43046
