UWMA       TP10       Pi4stv
18.343     -9.397     5.6549     IN
21.154     -8.2285    10.1587    BR
25.9705    -5.9915    9.9332     GL
26.0783    -5.8961    9.4582     NA
28.9978    -4.5273    7.2488     RH
30.6108    -3.6267    4.9403     NS
31.0351    -3.3544    4.2555     PR
31.1678    -4.0789    4.1401     R_PR2
28.7149    -5.4005    7.1869     R_PMS
28.1662    -8.4918    5.0658     R_ZMI
27.5059    -7.5525    7.3898     R_ZMU
26.4987    -6.2735    8.4638     R_DA
26.1436    -7.6292    9.8977     R_MTI
25.7732    -7.658     10.438     R_MTS
26.8449    -8.9945    8.5016     R_FMO
9999       9999       9999       R_FMT
23.312     -11.1339   6.1081     R_PO
9999       9999       9999       R_ZTS
30.7419    -2.8195    4.0267     L_PR2
27.855     -4.3752    7.3356     L_PMS
25.4691    -2.3882    5.2539     L_ZMI
25.9377    -4.1589    7.5631     L_ZMU
26.1282    -5.3071    8.4138     L_DA
24.7578    -4.53      9.9534     L_MTI
24.4699    -4.8016    10.4775    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
20.3365    -4.6607    6.1369     L_PO
23.8552    -2.2558    6.5419     L_ZTS
30.1458    -3.0776    5.1211     O1
25.0076    -2.1496    5.8506     O2
25.6511    -9.4022    9.6346     O3
17.9123    -8.6124    6.4322     O4







































































































































































26.057     -5.9177    9.5098     GLRH
26.2002    -5.8753    9.2002
26.3145    -5.8226    9.0021
26.4373    -5.7697    8.7841
26.53      -5.7596    8.6208
26.6353    -5.6763    8.4958
26.7636    -5.5988    8.3353
26.9011    -5.5543    8.2216
27.073     -5.5005    8.105
27.2673    -5.4003    7.9778
27.4384    -5.3286    7.9103
27.6068    -5.256     7.8292
27.744     -5.159     7.7605
27.9433    -5.0659    7.6895
28.126     -4.981     7.6369
28.31      -4.9072    7.5855
28.4044    -4.8427    7.5336
28.5897    -4.7701    7.4628
28.7309    -4.6889    7.3865
28.8309    -4.6271    7.337
29.0116    -4.5228    7.2042



















































































































































































29.0274    -4.5574    7.2083     NOSE
29.0862    -4.7925    7.194
29.1106    -5.0932    7.0799
29.2914    -5.1665    6.9026
29.5057    -5.1233    6.6826
29.7498    -5.1231    6.4317
29.971     -5.0345    6.2052
30.175     -4.9483    5.9707
30.2893    -4.8322    5.8142
30.3786    -4.7155    5.6242
30.5136    -4.5519    5.4836
30.62      -4.3856    5.2724
30.6337    -4.2405    5.169
30.6982    -4.0483    5.0292
30.633     -3.8897    5.0127
30.6117    -3.7117    4.9494
30.5781    -3.5788    4.9592
30.4346    -3.4323    4.9729
30.2975    -3.3317    5.0968
30.0835    -3.3237    5.2393
29.8733    -3.2532    5.4361
29.69      -3.2284    5.5682
29.4958    -3.2506    5.7482
29.36      -3.2554    5.8896
29.2004    -3.3422    6.0741
29.0982    -3.4399    6.2133
28.9429    -3.6109    6.4002
28.8445    -3.7325    6.5224
28.7304    -3.832     6.694
28.643     -3.9908    6.8198
28.6208    -4.0976    6.9702
28.6948    -4.1913    7.1576
28.7517    -4.3141    7.2469
28.8674    -4.4255    7.1944
29.009     -4.554     7.1665



















































