AMNH       169432     Phu1pwl3
0.6113     24.3018    13.6919    IN
-0.0302    19.3291    16.6724    BR
-0.5578    12.894     16.5145    GL
-0.5634    12.7441    15.9529    NA
-0.9256    6.9825     10.1203    RH
-1.0427    4.1105     7.0037     NS
-0.8988    3.6254     5.3458     PR
-1.9157    4.0219     5.2715     R_PR2
-1.8084    8.0823     10.4242    R_PMS
-4.3365    12.7697    9.2604     R_ZMI
-2.7569    12.9242    13.5556    R_ZMU
-0.9536    12.8982    14.8654    R_DA
-2.8684    13.1764    16.0489    R_MTI
-2.5633    14.1802    17.0396    R_MTS
-4.0589    13.9013    14.315     R_FMO
-5.0915    14.8165    14.2066    R_FMT
-4.1873    20.7629    11.516     R_PO
-5.8735    14.9374    10.7642    R_ZTS
0.171      3.8061     5.4483     L_PR2
0.0957     7.7834     10.5369    L_PMS
3.6094     12.1047    9.6129     L_ZMI
1.6398     12.5336    13.6994    L_ZMU
0.0387     12.8286    14.8304    L_DA
1.8475     12.8597    16.1327    L_MTI
1.7735     13.8789    17.1662    L_MTS
3.2513     13.2194    14.5396    L_FMO
4.3816     14.2285    14.8085    L_FMT
4.6561     19.7969    11.7792    L_PO
5.2903     13.7891    11.2216    L_ZTS
-1.3258    3.4586     4.9378     O1
3.6223     14.5176    15.4565    O2
-6.1297    16.7993    10.9098    O3
1.1759     23.2404    13.5429    O4







































































































































































-0.5751    12.9228    16.5427    GLRH
-0.5835    12.8131    16.2613
-0.5485    12.7556    15.9969
-0.556     12.6886    15.8163
-0.5661    12.6306    15.5023
-0.5171    12.6084    15.2297
-0.5258    12.5562    14.9939
-0.5147    12.4506    14.7261
-0.509     12.2747    14.5019
-0.5338    12.1431    14.3001
-0.5343    11.9955    14.1344
-0.543     11.8059    13.9623
-0.5595    11.5618    13.8135
-0.5467    11.3633    13.6639
-0.5796    11.1691    13.5406
-0.6142    10.9198    13.389
-0.6115    10.6805    13.2285
-0.6643    10.4646    13.0751
-0.7032    10.2934    12.9259
-0.7319    10.0787    12.7793
-0.7579    9.8744     12.6122
-0.7516    9.6213     12.4383
-0.7537    9.3714     12.2631
-0.8029    9.0982     12.1154
-0.8356    8.8801     11.976
-0.8721    8.7136     11.8401
-0.8676    8.5127     11.6714
-0.8353    8.2558     11.4775
-0.8584    8.0543     11.2919
-0.8938    7.7565     11.0461
-0.911     7.5597     10.8341
-0.9081    7.4254     10.6725
-0.9182    7.2547     10.4826
-0.9029    7.079      10.3296
-0.8784    6.947      10.13





































































































































































-0.9093    6.9542     10.0918    NOSE
-1.1711    7.0903     10.1266
-1.3918    7.0576     10.0237
-1.5374    7.0594     9.8883
-1.6572    7.0665     9.7543
-1.6915    7.0122     9.5679
-1.7874    6.8965     9.3833
-1.8721    6.7506     9.2062
-1.9129    6.6525     9.0191
-2.0006    6.5445     8.9071
-2.052     6.4215     8.794
-2.1134    6.264      8.5982
-2.1275    6.0959     8.3712
-2.0988    5.977      8.2122
-2.1477    5.8238     8.0801
-2.202     5.7126     7.977
-2.2679    5.5153     7.8518
-2.2858    5.2843     7.6735
-2.2208    5.0202     7.5759
-2.0959    4.8404     7.5292
-1.9085    4.594      7.4525
-1.7162    4.3416     7.3815
-1.4997    4.1752     7.2984
-1.3465    4.0505     7.1649
-1.2306    4.0285     7.0234
-1.0448    4.0314     6.9554
-0.9557    4.0571     6.9758
-0.7873    4.0548     7.0934
-0.6696    4.0498     7.2721
-0.5243    4.0957     7.4241
-0.3562    4.2699     7.5187
-0.1522    4.3727     7.5967
-0.0347    4.5456     7.6452
0.1328     4.6174     7.7248
0.2618     4.8025     7.7953
0.3457     4.9253     7.9118
0.36       5.2303     8.1473
0.3177     5.5068     8.3484
0.335      5.6754     8.5306
0.3243     5.8111     8.6313
0.2985     5.9303     8.7319
0.3071     6.0667     8.8785
0.2677     6.1824     9.0261
0.0509     6.4655     9.1063
-0.0341    6.5354     9.2593
-0.0865    6.6279     9.3717
-0.1233    6.7412     9.5366
-0.1705    6.8775     9.6869
-0.2464    6.9667     9.7459
-0.2886    7.0019     9.9639
-0.4353    6.9847     10.0324
-0.5642    6.9841     10.0546
-0.7021    6.9911     10.132
-0.8307    7.0204     10.1271
-0.9124    6.9864     10.0824

















































































































































-0.978     4.1297     7.0244     NASP-PR
-0.9698    3.9377     6.8819
-0.9852    3.8553     6.7496
-0.9684    3.7586     6.6436
-0.9558    3.6657     6.4718
-0.9779    3.6104     6.3036
-0.9596    3.6107     6.1513
-0.949     3.5763     6.0204
-0.9385    3.5901     5.899
-0.9282    3.5554     5.7278
-0.9203    3.559      5.6204
-0.9279    3.5332     5.5279
-0.8681    3.5668     5.3968
-0.8904    3.6177     5.3233


























































































































































































-1.7875    8.0706     10.4064    R-PM/MAX
-1.8373    7.8911     10.2625
-1.9013    7.7691     10.1176
-1.9509    7.577      9.9445
-1.9987    7.4644     9.7893
-2.0565    7.2757     9.6385
-2.1504    7.0417     9.4386
-2.2214    6.8953     9.2637
-2.282     6.7437     9.069
-2.3357    6.5832     8.8474
-2.3606    6.4448     8.6553
-2.383     6.3457     8.449
-2.43      6.255      8.2392
-2.4902    6.1336     8.058
-2.5264    5.9945     7.7314
-2.586     5.8252     7.4211
-2.6464    5.7274     7.1774
-2.772     5.6203     6.8913
-2.8123    5.4716     6.7162
-2.9102    5.5332     6.2337
-2.7743    5.4483     6.0873
-2.6003    5.4309     5.8816
-2.4688    5.4783     5.8299






























































































































