NME        L122-34    Tb3sf
7.9471     10.886     -3.8445








































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































14.5278    9.0506     -11.5662   RTEMFOS
14.5341    8.9157     -11.4096
14.5186    8.8213     -11.2362
14.4844    8.742      -11.0014
14.494     8.6883     -10.7791
14.612     8.6233     -10.5628
14.571     8.5323     -10.1723
14.5985    8.4229     -9.9987
14.6466    8.3488     -9.8247
14.6728    8.2795     -9.6806
14.7241    8.1464     -9.5008
14.7347    8.0371     -9.3629
14.7984    7.9538     -9.2159
14.9648    7.8289     -9.0238
15.0862    7.7003     -8.9639
15.2252    7.7401     -8.893
15.3603    7.8304     -8.7788
15.514     7.9378     -8.792
15.6061    8.0534     -8.7864
15.6563    8.2019     -8.8186
15.6953    8.2803     -8.8465
15.76      8.3735     -8.8877


















































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
9999       9999       9999       BA
12.4239    13.1649    -10.7803   ST
15.9986    18.1586    -11.5764   IV
9999       9999       9999       R_PG
15.6759    7.6965     -9.0487    R_ZTI
9999       9999       9999       R_M3D
16.6038    13.4483    -11.9058   R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
9999       9999       9999       L_M3D
11.7279    16.7905    -13.0009   L_M12
9999       9999       9999       L_MP3
9999       9999       9999       L_PMI
16.9552    17.8322    -11.5734   O1
17.5048    11.3739    -8.204     O2
7.8981     12.5777    -5.5839    O3
6.8201     5.0775     -8.7998    O4




















































































































































































16.3681    12.1436    -9.7954    RZYGINF
16.3207    11.9498    -9.7913
16.2597    11.837     -9.7493
16.2194    11.7465    -9.5886
16.1124    11.6033    -9.4084
16.3206    11.472     -9.2067
16.3748    11.3423    -9.0947
16.4354    11.1847    -9.0149
16.5072    11.0926    -8.9703
16.6027    10.913     -8.9716
16.6967    10.8462    -8.9943
17.0566    10.6798    -8.949
17.0999    10.3959    -9.0567
17.1882    10.2114    -9.1658
17.2824    10.0344    -9.2732
17.2299    9.8764     -9.3909
17.088     9.7103     -9.5035
16.9057    9.5048     -9.5908
16.7612    9.3454     -9.6848
16.6027    9.1781     -9.7615
16.467     9.0769     -9.7776
16.3326    8.9219     -9.8488
16.2084    8.7823     -9.8651
16.1195    8.7047     -9.8547
15.9486    8.5612     -9.7517
15.8732    8.4231     -9.6488
15.8231    8.1819     -9.476
15.7997    8.0502     -9.3802
15.7601    7.9571     -9.3216
15.7139    7.8902     -9.2544
15.6775    7.7825     -9.1762
15.6036    7.6907     -9.0422








































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
