KNM        ER 3823    Too15stv
11.1809    16.394     6.9251     R_M3D
13.0972    19.1573    7.0364     R_M12
15.581     20.6337    6.1496     R_MP3
16.9515    20.5793    6.1444     R_PMI
12.2876    7.7757     6.8738     L_PG
14.8269    8.5498     6.0181     L_ZTI
14.0833    13.1649    7.1701     L_M3D
17.1204    15.0206    7.5919     L_M12
18.8389    17.4405    6.8223     L_MP3
18.8252    18.8549    6.3367     L_PMI
17.1536    20.5834    5.1704     O1
9.7362     16.6123    2.975      O2
13.864     7.799      5.5902     O3
4.5059     8.6485     5.0081     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































16.6928    12.552     6.4369     LZYGINF
16.6647    12.2615    6.3098
16.7015    11.9573    6.2483
16.7992    11.7376    6.2504
16.9294    11.5602    6.2377
17.0033    11.3738    6.1976
17.0701    11.1919    6.2307
17.1295    10.9225    6.2671
17.0066    10.6391    6.3114
16.7308    10.3921    6.3588
16.5297    10.2226    6.3927
15.9906    9.5867     6.4616
15.4652    8.9489     6.25
15.2207    8.7629     6.1316
14.8234    8.4714     6.0899

























































































































































































11.1486    15.7689    6.6625     R-ALV
11.1492    16.4954    6.8137
11.6594    17.8194    6.9855
11.8142    18.0999    7.0696
12.0186    18.2668    7.1099
12.1776    18.3903    7.1701
12.2573    18.517     7.1481
12.5651    18.8518    6.9261
12.8411    19.0397    6.9832
13.0702    19.1767    7.036
13.2753    19.2697    6.8213
13.9806    19.7674    6.7906
14.3155    19.9783    6.807
14.6589    20.1602    6.7215
14.8396    20.29      6.6981
14.9321    20.3895    6.5784
15.109     20.4695    6.4278
15.2107    20.5226    6.3833
15.3618    20.5464    6.2224





















































































































































































14.1149    13.2309    7.1095     L-ALV
14.469     13.3059    7.2724
15.2054    13.5306    7.4463
15.597     13.652     7.538
15.9392    13.8312    7.5221
16.1371    13.9525    7.5243
16.4486    14.3356    7.4265
16.8883    14.7653    7.5256
17.1097    15.0479    7.4708
17.2078    15.198     7.473
17.2613    15.3284    7.424
17.5121    15.5484    7.3878
17.7107    15.779     7.3084
17.8395    16.087     7.1326
18.0143    16.3443    7.1278
18.1334    16.574     7.1219
18.3565    16.818     7.0548
18.5077    16.9553    6.9311
18.6522    17.1587    6.8113
18.699     17.3354    6.7652
18.8338    17.6235    6.8009
