FSM        3337       Phh29stv
2.0256     8.9642     9.7664
2.1426     8.7655     9.645
2.27       8.5281     9.5103
2.3665     8.3899     9.4239
2.4885     8.2583     9.3234
2.563      8.0974     9.1504
2.6213     7.9859     8.9413
2.6979     7.8362     8.7478
2.7971     7.7099     8.466
2.9151     7.5133     8.0615
2.967      7.425      7.9074
3.0528     7.3132     7.7049
3.1376     7.1826     7.5753
3.2544     7.1072     7.468
3.259      7.0283     7.3243
3.2476     6.9046     7.1722
3.1227     6.8837     7.0464
3.0678     6.9057     6.9326















































































































































































-1.4065    10.9072    6.9088     ROSTRUM
-1.5031    10.82      7.2555
-1.5082    10.752     7.4996
-1.4733    10.7375    7.6674
-1.2715    10.7165    7.7848
-1.1071    10.7202    7.8734
-0.9325    10.7055    8.0206
-0.8611    10.6324    8.2021
-0.8208    10.5679    8.4744
-0.8053    10.5082    8.7484
-0.7646    10.4471    9.0336
-0.6963    10.3417    9.3581
-0.6546    10.3089    9.6544
-0.6873    10.3045    9.9007
-0.6905    10.2225    10.1033
-0.5395    10.181     10.2879
-0.347     10.2173    10.4279
-0.1694    10.1919    10.4421
0.0468     10.2147    10.5216
0.184      10.2189    10.5507
0.2807     10.2327    10.6025
0.4813     10.1946    10.6407
0.6146     10.2057    10.6004
0.7322     10.2192    10.7251
0.9217     10.2402    10.9317
1.1055     10.285     10.8646
1.2565     10.3887    10.7903
1.4413     10.4072    10.6892
1.6345     10.4641    10.6579
1.8201     10.5074    10.6086
1.9231     10.5081    10.5567
2.1382     10.5061    10.5048
2.3441     10.5446    10.5071
2.5117     10.6217    10.4522
2.6744     10.6889    10.3382
2.7826     10.7545    10.2245
2.8816     10.7411    10.1156
2.8441     10.7303    9.7499
2.8232     10.7373    9.4603
2.8391     10.8309    9.2654
2.8175     10.8984    8.9882
2.8512     10.9238    8.7548
2.8592     10.9904    8.407
2.8657     11.0638    8.1964
2.9375     11.1011    8.0145
3.1058     11.1369    7.8844
3.2751     11.113     7.8926
3.5631     11.1349    7.8418
3.6268     11.1779    7.6514
3.6464     11.1697    7.4728
3.6054     11.2328    7.2937
3.5707     11.2844    7.1647




















































































































































-3.1911    13.8068    13.3057    SUPORB
-3.0957    13.873     13.5975
-3.0963    13.822     13.8797
-3.0146    13.8208    14.0695
-2.903     13.8233    14.2236
-2.688     13.7649    14.401
-2.5861    13.7666    14.4525
-2.3427    13.5288    14.5694
-2.061     13.4526    14.6759
-1.876     13.3251    14.7366
-1.6159    13.2352    14.8194
-1.3572    13.1618    14.896
-1.1011    13.1752    14.9674
-0.8348    13.1227    14.9968
