AMNH       169432     Phu1cms5

34.6772    6.0527     10.2672    OP
32.608     6.5124     10.6849    BA
26.3158    8.417      10.5849    ST
20.0776    10.2145    11.8534    IV
9999       9999       9999       R_PG
28.0418    1.9393     9.0066     R_ZTI
25.4297    6.0951     12.219     R_M3D
22.5732    6.5589     12.5046    R_M12
20.1468    7.6833     12.7971    R_MP3
18.4518    8.7754     12.4227    R_PMI
33.7189    10.7837    10.3751    L_PG
31.317     13.0758    9.4186     L_ZTI
26.6818    10.9171    12.5345    L_M3D
24.1049    12.1534    12.6015    L_M12
21.4302    12.4657    12.8544    L_MP3
19.4432    12.5834    12.2021    L_PMI
20.6576    12.9756    11.858     O1
27.6396    12.9961    8.4463     O2
34.3502    10.3041    7.5439     O3
37.115     7.025      7.8871     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
