LSZT       R42        Phu194sf
0.0351     18.6005    12.0771    IN
0.5481     14.3924    15.5421    BR
0.9318     8.2225     13.9702    GL
0.8841     8.2262     13.384     NA
0.8476     4.6504     8.7084     RH
0.9991     3.0659     5.8563     NS
1.0415     2.7353     4.8326     PR
0.0025     2.9886     5.0685     R_PR2
0.3878     5.5334     9.4686     R_PMS
-2.7525    8.0958     8.5499     R_ZMI
-0.8372    8.2159     11.2174    R_ZMU
0.5038     8.2873     12.4973    R_DA
-0.9374    8.3125     13.6517    R_MTI
-0.8261    8.9591     14.5005    R_MTS
-2.4066    8.7983     12.4291    R_FMO
-2.9914    9.6105     12.4013    R_FMT
-3.4492    14.5625    10.6367    R_PO
-3.6779    9.695      9.7555     R_ZTS
2.0021     3.1065     5.18       L_PR2
1.383      5.6804     9.4445     L_PMS
3.7108     8.5503     7.8645     L_ZMI
2.4126     8.5428     11.1148    L_ZMU
1.2287     8.3822     12.4878    L_DA
2.7515     8.6212     13.5908    L_MTI
2.4818     9.2366     14.4386    L_MTS
4.0249     9.4441     12.3197    L_FMO
4.4115     10.2251    12.1838    L_FMT
3.9556     15.1915    10.5433    L_PO
9999       9999       9999       L_ZTS
-0.0871    3.2137     6.1264     O1
3.4224     10.8539    13.9933    O2
-4.2175    11.3938    9.8343     O3
0.8022     18.3216    12.2176    O4







































































































































































0.9494     8.1999     13.9265    GLRH
0.9323     8.203      13.6593
0.9074     8.2155     13.4089
0.884      8.1699     13.1696
0.8871     8.118      12.9031
0.8666     8.0386     12.6787
0.8522     7.9751     12.5627
0.865      7.9319     12.4022
0.8657     7.8544     12.2047
0.8239     7.7521     12.0633
0.8687     7.6254     11.8366
0.8767     7.4789     11.6265
0.8761     7.3296     11.3952
0.8521     7.2038     11.2209
0.8665     7.054      11.0517
0.8434     6.882      10.8645
0.8596     6.6784     10.6542
0.8623     6.4896     10.4553
0.8788     6.2516     10.2266
0.8804     6.0942     10.0953
0.8872     5.9424     9.9607
0.8886     5.7861     9.8391
0.8691     5.596      9.68
0.8979     5.4399     9.5484
0.8565     5.2881     9.3955
0.855      5.1757     9.2791
0.8552     5.0055     9.1249
0.8662     4.8313     8.9729
0.8579     4.729      8.8585
0.873      4.6228     8.7483










































































































































































0.8795     4.6572     8.7129     NOSE
0.7497     4.6124     8.6346
0.6487     4.552      8.5162
0.558      4.4988     8.4061
0.4042     4.4548     8.3603
0.2635     4.3639     8.1964
0.2044     4.2623     8.0693
0.1952     4.1772     7.9029
0.106      4.094      7.6745
0.0054     3.9611     7.4359
0.061      3.8291     7.1835
0.1089     3.6194     6.8737
0.2438     3.4182     6.6249
0.3734     3.2992     6.5035
0.4541     3.171      6.3986
0.6401     3.0579     6.1932
0.8122     3.0345     6.0018
0.9437     3.0662     5.8927
1.0952     3.1054     5.8884
1.2501     3.0536     5.9919
1.4394     3.0725     6.1768
1.614      3.187      6.3566
1.7513     3.4015     6.5082
1.7985     3.6315     6.6941
1.8495     3.7667     6.8582
1.9138     3.8986     7.0676
1.8832     4.0149     7.276
1.8904     4.083      7.4115
1.8376     4.1533     7.5598
1.7502     4.2295     7.7167
1.6412     4.3329     7.8472
1.619      4.3631     7.9991
1.5299     4.4831     8.2027
1.4457     4.5912     8.3636
1.2059     4.5762     8.4137
0.8845     4.6911     8.6868




































































































































































1.0049     3.0701     5.857      NASP-PR
1.0051     2.9131     5.7102
1.0486     2.8333     5.5516
1.0402     2.714      5.3739
1.0261     2.697      5.1988
1.0773     2.6808     5.0872
1.0682     2.6881     4.9684
1.0574     2.7222     4.8395
































































































































































































0.4139     5.5403     9.4938     R-PM/MAX
0.3871     5.32       9.3453
0.3556     5.173      9.2198
0.3118     4.9466     9.0293
0.2744     4.7999     8.8839
0.176      4.6464     8.6917
0.0528     4.534      8.4562
-0.0258    4.4043     8.2739
-0.1282    4.2835     8.0953
-0.2022    4.1815     7.8444
-0.249     4.1231     7.6486
-0.2702    4.0346     7.4232
-0.3257    3.9822     7.1824
-0.4644    3.9795     6.8807
