UWMA       MP239      Ppb4stv
5.6242     19.2966    5.191      IN
6.4035     22.2225    9.9714     BR
7.8457     28.2289    10.1895    GL
7.8563     28.2246    10.1794    NA
8.231      30.4983    8.5645     RH
8.7495     33.3997    6.3397     NS
8.846      34.1609    5.7068     PR
9.3857     33.7997    5.5245     R_PR2
8.4285     29.7544    8.5747     R_PMS
11.0869    28.4727    5.7277     R_ZMI
9.8014     27.9918    8.062      R_ZMU
8.2408     28.1613    9.0919     R_DA
9.295      27.146     10.2486    R_MTI
9.3246     26.8103    10.5754    R_MTS
10.5148    26.8166    8.9188     R_FMO
10.8275    25.9893    8.7928     R_FMT
10.2315    22.1701    5.329      R_PO
9999       9999       9999       R_ZTS
8.0982     34.0378    5.9133     L_PR2
7.6169     29.8729    8.626      L_PMS
4.7084     29.669     5.8185     L_ZMI
5.7675     29.1552    8.1225     L_ZMU
7.251      28.3016    9.2444     L_DA
6.0282     27.9262    10.264     L_MTI
5.9703     27.5883    10.5855    L_MTS
4.4852     28.2986    8.9919     L_FMO
3.8261     27.6163    8.822      L_FMT
2.6943     23.5884    5.5542     L_PO
3.3121     28.2858    6.4492     L_ZTS
8.0154     33.6652    6.2421     O1
10.4421    25.8029    9.284      O2
2.1068     25.719     5.7337     O3
4.8256     19.8018    5.2813     O4







































































































































































7.7922     28.2336    10.1534    GLRH
7.7701     28.3771    9.9952
7.7719     28.4272    9.9025
7.7748     28.5058    9.802
7.7867     28.5913    9.7083
7.7736     28.6359    9.6261
7.8354     28.7314    9.5082
7.835      28.8026    9.4532
7.848      28.9094    9.3535
7.8856     29.122     9.2188
7.8885     29.218     9.137
7.8839     29.4446    9.0231
7.9335     29.5853    8.9755
8.0572     29.7784    8.8613
8.0953     29.9419    8.8106
8.1389     30.1235    8.7195
8.1558     30.2877    8.6918
8.1529     30.3534    8.6672
8.2418     30.4633    8.6052
8.247      30.5139    8.529




















































































































































































8.2442     30.503     8.5209     NOSE
8.4948     30.4568    8.3797
8.7124     30.4917    8.0758
8.9252     30.8343    7.7626
9.0574     31.0428    7.585
9.1665     31.2273    7.4785
9.2188     31.2721    7.4045
9.3673     31.5087    7.2506
9.4119     31.6231    7.1223
9.4973     31.7398    7.0258
9.499      31.888     6.8955
9.5239     32.1143    6.7955
9.5365     32.2248    6.6894
9.5201     32.3817    6.6184
9.4991     32.5202    6.5484
9.4663     32.6761    6.508
9.3976     32.8505    6.5045
9.3789     32.9529    6.4746
9.3219     33.1164    6.4819
9.2434     33.2423    6.4764
9.1145     33.3523    6.4272
9.0118     33.4453    6.383
8.8639     33.4831    6.3319
8.7643     33.4608    6.3254
