NMNH       268886     Rpr1stv
0.9786     14.0849    5.7343     IN
0.5825     10.715     8.3422     BR
0.1445     4.8044     6.0696     GL
0.202      4.8749     5.6997     NA
0.217      5.0398     4.6991     RH
0.2332     3.7516     3.0479     NS
0.2011     3.1726     2.4325     PR
-0.4479    3.3311     2.3225     R_PR2
-0.0717    5.0374     5.0541     R_PMS
-2.5302    6.0609     2.6713     R_ZMI
-1.7015    5.3634     3.9276     R_ZMU
-0.4836    5.4568     5.2771     R_DA
-1.8568    5.3975     6.3855     R_MTI
-1.8506    5.5373     6.8273     R_MTS
-3.1523    5.9792     5.3093     R_FMO
-3.5505    6.6633     5.5579     R_FMT
-2.8836    11.2185    3.9217     R_PO
-3.6282    7.4674     3.302      R_ZTS
0.8512     3.2267     2.3573     L_PR2
0.5171     5.0164     5.0186     L_PMS
3.3223     5.6105     2.9372     L_ZMI
2.3212     5.0963     4.1481     L_ZMU
0.9476     5.3978     5.2937     L_DA
2.2623     5.1068     6.4815     L_MTI
2.1934     5.2829     6.9617     L_MTS
3.7198     5.38       5.4075     L_FMO
4.0582     6.113      5.8967     L_FMT
3.9016     10.6344    3.8554     L_PO
4.4982     6.8185     3.5894     L_ZTS
0.4224     2.9561     2.3976     O1
-2.8905    6.8021     6.4743     O2
4.8507     9.1061     3.5575     O3
0.2354     14.0145    5.8503     O4







































































































































































0.1496     4.8241     6.0776     GLRH
0.1701     4.8287     5.9085
0.171      4.8553     5.7322
0.2051     4.8846     5.5565
0.2034     4.9167     5.4125
0.2039     4.9419     5.2719
0.194      4.9568     5.1672
0.2264     4.965      5.0663
0.2224     4.989      4.9038
0.2501     4.9884     4.8499
0.2706     5.0261     4.7387





























































































































































































0.2774     5.0327     4.7173     NOSE
0.0097     5.0464     4.7069
-0.208     5.1903     4.592
-0.268     5.1755     4.3861
-0.342     5.1585     4.2226
-0.4153    5.0732     3.9416
-0.4434    4.9378     3.7865
-0.4615    4.7169     3.5976
-0.4022    4.526      3.4544
-0.3318    4.318      3.3886
-0.2704    4.124      3.3099
-0.1531    3.9405     3.2314
-0.0476    3.831      3.1339
0.1766     3.7346     3.0182
0.3704     3.7914     3.0877
0.5914     3.8826     3.2489
0.7322     4.0444     3.3743
0.8647     4.2389     3.4772
1.0035     4.4914     3.6505
1.0575     4.7106     3.8555
1.0198     4.8427     4.0266
0.9519     4.9581     4.1998
0.8901     5.0371     4.3763
0.7805     5.0766     4.507
0.7359     5.0705     4.6244
0.6231     5.0836     4.732
0.2703     5.0429     4.7081













































































































































































0.1905     3.7562     3.0123     NASP-PR
0.2152     3.5656     2.9313
0.2451     3.3965     2.7788
0.1896     3.2692     2.6359
0.1972     3.1951     2.4858
0.2085     3.1861     2.4131


































































































































































































-0.074     5.0495     5.024      R-PM/MAX
-0.2178    5.0966     4.9057
-0.3482    5.136      4.7927
-0.4355    5.1587     4.6915
-0.5491    5.1645     4.5514
-0.6277    5.16       4.3839
-0.6989    5.1457     4.1658
-0.7386    5.0912     3.9736
-0.7427    5.0098     3.8037
-0.7558    4.9032     3.6417
-0.7902    4.7855     3.4612
-0.7804    4.6252     3.3192
-0.7598    4.4224     3.1436
-0.7279    4.1976     2.9721
-0.7841    4.0649     2.7954
-0.8549    4.0339     2.6028
-0.8892    4.0345     2.467
-0.8193    3.9496     2.2785










































































