NMNH       356977     Pyn6stv
0.3071     11.9519    5.469      IN
0.4097     8.5188     8.3369     BR
0.5357     3.3852     6.3808     GL
0.5273     3.3831     6.374      NA
0.4627     2.6706     4.8831     RH
0.4716     1.1854     3.3006     NS
0.481      0.7089     2.6983     PR
-0.1642    0.7999     2.7431     R_PR2
0.2631     3.1958     5.9043     R_PMS
-2.3303    3.8032     3.2077     R_ZMI
-1.8015    3.544      4.5602     R_ZMU
-0.05      3.5062     5.9817     R_DA
-1.3206    4.1027     7.0376     R_MTI
-1.3264    4.3061     7.3163     R_MTS
-2.8194    4.3596     6.2393     R_FMO
-3.2792    5.1409     6.2518     R_FMT
-3.0822    8.6185     4.1593     R_PO
-3.4823    5.221      4.1006     R_ZTS
1.0998     0.8563     2.7627     L_PR2
0.8368     3.3013     6.0286     L_PMS
3.204      3.9399     3.03       L_ZMI
2.6523     3.7134     4.3924     L_ZMU
1.172      3.6319     5.9477     L_DA
2.5741     4.3702     6.869      L_MTI
2.5457     4.5288     7.1321     L_MTS
3.8711     4.7139     6.0409     L_FMO
4.3119     5.432      5.6898     L_FMT
3.4561     8.8718     3.8854     L_PO
4.2448     5.4139     3.6951     L_ZTS
0.0915     0.4166     2.411      O1
3.0554     5.9838     6.8193     O2
-3.6694    6.5047     3.9565     O3
-0.7254    11.8926    5.5383     O4







































































































































































0.5012     3.3999     6.3839     GLRH
0.4921     3.2774     6.2179
0.5057     3.216      6.0765
0.5326     3.1527     5.8851
0.5065     3.1051     5.733
0.5079     3.0625     5.5512
0.5302     2.9663     5.404
0.5059     2.8958     5.2429
0.5021     2.8476     5.1267
0.5072     2.7735     5.0206
0.5256     2.6773     4.9089





























































































































































































0.4788     2.6926     4.9041     NOSE
0.1446     2.7012     4.9163
-0.0212    2.6115     4.7294
-0.1106    2.5267     4.602
-0.1668    2.401      4.4983
-0.2377    2.2794     4.3972
-0.2717    2.1253     4.2522
-0.2637    1.9566     4.1039
-0.2467    1.7591     3.9126
-0.1583    1.6171     3.7948
-0.0917    1.5018     3.7278
0.0555     1.3086     3.6011
0.1415     1.2431     3.5088
0.272      1.2015     3.3804
0.4874     1.1388     3.2731
0.6935     1.2655     3.3683
0.8482     1.4022     3.5559
0.9934     1.4772     3.645
1.0751     1.6611     3.7202
1.156      1.8276     3.8609
1.1826     1.978      4.0199
1.1844     2.1318     4.1284
1.147      2.3126     4.2486
1.1019     2.4394     4.3724
