UWMA       ZA 875     Phu100sf
17.2651    20.0227    11.1103    IN
14.5188    17.1964    14.6388    BR
10.6161    12.2326    13.7253    GL
10.6114    12.2245    13.3178    NA
8.7317     9.8925     9.069      RH
7.5977     8.2952     6.6073     NS
7.1923     7.8321     5.5094     PR
6.6037     8.456      5.4609     R_PR2
8.9951     10.9076    9.5938     R_PMS
8.2812     14.5892    8.1468     R_ZMI
9.4107     13.5662    10.8799    R_ZMU
10.5513    12.7485    11.9943    R_DA
9.6027     13.5806    13.3388    R_MTI
10.3201    13.9237    14.4693    R_MTS
8.8474     15.0314    12.0912    R_FMO
8.8807     15.8396    11.943     R_FMT
11.6381    19.8945    9.7322     R_PO
8.4489     16.3732    9.2764     R_ZTS
7.9625     7.4553     5.5578     L_PR2
9.5941     10.085     9.4436     L_PMS
13.8143    10.1249    8.4572     L_ZMI
12.2406    11.1888    11.0985    L_ZMU
11.1475    12.2769    12.3831    L_DA
12.2912    11.4449    13.468     L_MTI
12.5226    12.1127    14.4871    L_MTS
13.7899    10.9756    12.2479    L_FMO
14.6031    11.1533    12.1091    L_FMT
18.3377    14.682     9.8946     L_PO
15.3299    10.6702    9.4838     L_ZTS
7.6728     7.4551     6.3381     O1
9.7749     15.8606    13.468     O2
17.2047    12.0706    9.4601     O3
18.3927    18.6775    10.6196    O4







































































































































































10.5801    12.2227    13.6297    GLRH
10.5943    12.2262    13.3175
10.5956    12.2451    13.0836
10.6084    12.2804    12.8619
10.5961    12.29      12.5916
10.599     12.2583    12.3775
10.569     12.2168    12.2108
10.5456    12.156     12.0164
10.5265    12.0958    11.8552
10.4889    12.0388    11.7268
10.4396    11.9993    11.5983
10.3619    11.9084    11.4289
10.2543    11.8076    11.2474
10.1889    11.7162    11.1192
10.0798    11.5663    10.9185
10.0118    11.4727    10.8106
9.9035     11.3605    10.6723
9.8266     11.2504    10.5217
9.7473     11.166     10.4533
9.6884     11.0876    10.3341
9.6042     10.9985    10.2467
9.5633     10.9172    10.1829
9.4903     10.8356    10.0848
9.4439     10.7899    10.0204
9.4049     10.7446    9.9787
9.3363     10.6171    9.8858
9.2685     10.5363    9.7885
9.2101     10.4593    9.6907
9.1476     10.4019    9.5883
9.0613     10.3249    9.5016
8.9945     10.2027    9.3967
8.9152     10.0665    9.2992
8.8559     10.0167    9.2246
8.8087     9.9365     9.179
8.7534     9.8567     9.0869
























