UWMA       ZA 726     Phu101sf














































9.7324     10.3877    10.2616    L-PM/MAX
9.5662     10.1736    10.0222
9.4635     9.9614     9.8654
9.373      9.6953     9.6762
9.3081     9.4074     9.4412
9.2071     9.0503     9.1617
9.1817     8.786      8.935
9.0707     8.4579     8.6979
9.0235     8.256      8.5283
8.9683     8.0833     8.4327
8.9835     7.9555     8.3277
8.9864     7.757      8.1477
8.9512     7.6101     8.0091
8.9335     7.4362     7.8185
8.8905     7.2513     7.5886
8.9088     7.1661     7.3166
8.8624     7.0748     7.0071
8.8405     6.999      6.8382
8.7753     6.8663     6.6238
8.8055     6.7892     6.4542
8.8185     6.6801     6.2731
8.7438     6.5571     6.1289
8.6563     6.414      5.9465
8.689      6.2116     5.5809
8.6709     6.1306     5.3523
8.6083     6.2166     5.0251














































































































































































7.6939     12.5926    5.4596     ROSTRUM
7.6743     12.6028    5.6791
7.6065     12.5366    5.9593
7.6728     12.4114    6.2378
7.7784     12.28      6.4796
7.8453     12.2246    6.6426
7.9502     12.1152    6.8835
7.9465     12.0192    7.3819
7.8831     11.9851    7.5468
7.8857     11.9892    7.5388
7.7868     11.9998    7.7444
7.5657     12.0834    8.0082
7.355      12.0756    8.2919
7.2627     11.9986    8.5154
7.1964     11.9137    8.8376
7.2291     11.7667    9.0804
7.3683     11.6307    9.2668
7.4789     11.5407    9.405
7.595      11.4082    9.4405
7.8594     11.33      9.4395
8.0645     11.1692    9.4493
8.2533     11.025     9.4762
8.5004     10.8584    9.5276
8.6454     10.7039    9.6214
8.757      10.6483    9.7236
8.8469     10.5429    9.7787
8.9305     10.4849    9.8856
8.9845     10.3683    10.049
9.1724     10.2048    10.102
9.4051     10.1117    9.9919
9.5034     10.0016    9.9248
9.6572     9.8777     9.85
9.8212     9.7293     9.7724
9.9614     9.6389     9.6146
10.1767    9.503      9.538
10.3268    9.357      9.547
10.4725    9.2078     9.5691
10.6398    9.0827     9.5341
10.8575    8.8666     9.4769
10.9602    8.7888     9.4444
11.1169    8.721      9.3105
11.276     8.7178     9.0055
11.4014    8.7526     8.6764
11.3782    8.7838     8.3476
11.3462    8.9744     7.9983
11.2486    9.2175     7.7593
11.2068    9.31       7.5093
11.1834    9.3057     7.3402
11.2243    9.319      7.1499
11.2862    9.3036     6.992
11.3305    9.2783     6.8614
11.441     9.2124     6.6783
11.5643    9.1254     6.5036
11.7517    9.1015     6.3151
11.7841    9.0793     6.0795
11.7898    9.0848     5.8905
11.8034    9.1321     5.768
11.8177    9.1416     5.6598
11.8611    9.1897     5.5216
11.8521    9.2174     5.4302































































































