TMP        AZ 1014    Phu145sf
21.1197    5.1599     11.6841    IN
24.9136    4.6357     16.2127    BR
31.4078    4.7276     15.9013    GL
31.4903    4.7327     15.5099    NA
36.3251    4.8624     10.5034    RH
39.2966    4.942      8.2079     NS
40.0547    4.9862     7.0518     PR
39.7205    3.9216     7.158      R_PR2
35.0896    4.2486     11.2937    R_PMS
32.827     1.121      10.2291    R_ZMI
31.6687    2.9465     13.327     R_ZMU
31.4662    4.3605     14.5911    R_DA
31.1503    2.7185     15.6376    R_MTI
30.3458    2.7782     16.4262    R_MTS
30.6606    1.3167     14.2373    R_FMO
30.0387    0.9276     14.0749    R_FMT
25.5506    0.5454     10.82      R_PO
30.8128    0.3575     11.0229    R_ZTS
39.7749    5.9888     7.2347     L_PR2
35.5018    5.4747     11.0731    L_PMS
32.7448    8.6463     10.3182    L_ZMI
31.5682    6.7033     13.4043    L_ZMU
31.4278    5.1931     14.6964    L_DA
31.1579    6.6057     15.7854    L_MTI
30.4123    6.298      16.6786    L_MTS
30.5678    8.1168     14.5477    L_FMO
30.1397    8.6556     14.2505    L_FMT
25.1956    9.1491     11.1562    L_PO
30.7446    9.5263     11.3243    L_ZTS
40.3756    4.2836     7.0391     O1
29.4776    7.9671     15.4982    O2
27.6671    -0.2535    10.5268    O3
21.1743    4.5937     12.1165    O4







































































































































































31.3829    4.69       15.9438    GLRH
31.4146    4.7178     15.7421
31.4964    4.7335     15.54
31.5608    4.743      15.2834
31.6585    4.7735     14.9911
31.7926    4.8099     14.7289
31.9249    4.8048     14.5299
32.0767    4.7912     14.3302
32.1982    4.7961     14.1609
32.3686    4.8318     13.9533
32.5051    4.8374     13.8011
32.6798    4.8468     13.5769
32.8117    4.8694     13.4397
32.9671    4.8715     13.2789
33.1773    4.8868     13.0602
33.344     4.9013     12.9172
33.5877    4.8999     12.6663
33.7655    4.9063     12.5337
33.8998    4.8901     12.397
34.0912    4.8741     12.2288
34.3376    4.8441     12.0676
34.5239    4.8622     11.9091
34.748     4.8702     11.738
34.9684    4.8506     11.5442
35.0948    4.8492     11.4277
35.3471    4.8621     11.2317
35.5203    4.8471     11.1144
35.7074    4.8456     10.9704
35.8959    4.8321     10.8497
36.1268    4.8234     10.6999
36.1904    4.8398     10.6273
36.2449    4.8341     10.5828








































































































































































36.2963    4.8934     10.5503    NOSE
36.2541    4.7557     10.5454
