LSZT       R7         Phu185sf
-0.3632    21.0986    14.2056    IN
-0.2932    16.9252    16.5212    BR
-0.0402    10.1289    15.9781    GL
-0.0078    10.1116    15.5738    NA
0.173      4.1194     9.4957     RH
0.4312     1.5089     6.0852     NS
0.5099     0.9687     4.4241     PR
-0.6742    1.1135     4.7084     R_PR2
-0.3903    6.2239     10.7162    R_PMS
-3.5507    8.9094     9.1976     R_ZMI
-2.2436    10.0143    13.1616    R_ZMU
-0.4958    10.2535    14.6727    R_DA
-1.8566    10.199     15.6297    R_MTI
-1.5489    11.1279    16.7153    R_MTS
-3.609     10.6452    14.1329    R_FMO
-4.4238    11.3251    14.5639    R_FMT
-4.8461    16.9822    11.4615    R_PO
-5.3521    11.2065    11.1047    R_ZTS
1.5582     1.2426     4.7572     L_PR2
0.5868     6.2923     10.8011    L_PMS
3.898      9.2819     9.4298     L_ZMI
2.3423     10.2106    13.2454    L_ZMU
0.4458     10.2172    14.6264    L_DA
2.0183     10.3184    15.7696    L_MTI
2.0708     11.1673    16.5095    L_MTS
3.6294     11.0136    14.4127    L_FMO
4.3842     11.6018    14.2063    L_FMT
4.3172     17.3095    11.5802    L_PO
5.2863     11.684     11.2432    L_ZTS
1.5132     1.4287     6.0418     O1
-3.4173    11.7674    15.6119    O2
5.7137     12.9982    11.1687    O3
-0.117     20.9332    13.6891    O4







































































































































































-0.0255    10.1499    16.0177    GLRH
-0.01      10.1163    15.8611
-0.0151    10.1062    15.7244
-0.0052    10.1001    15.5421
0.0348     10.0643    15.3767
0.0018     10.0566    15.1937
-0.0051    10.0469    14.999
-0.0096    10.0213    14.8046
-0.0203    9.9693     14.6416
-0.0205    9.9354     14.4736
0.0042     9.8332     14.2529
-0.0019    9.7503     14.1187
-0.0021    9.6397     13.9599
0.0077     9.5301     13.8134
0.0692     9.3701     13.6374
0.077      9.2133     13.4413
0.0654     9.06       13.3025
0.0551     8.916      13.162
0.0662     8.6523     12.9088
0.0678     8.4402     12.7104
0.0953     8.2328     12.5214
0.1029     8.0667     12.3959
0.1062     7.8569     12.222
0.097      7.6554     12.0726
0.0984     7.3918     11.9131
0.0995     7.1232     11.745
0.0697     6.9216     11.6081
0.0647     6.6622     11.4397
0.0361     6.4155     11.31
0.0921     6.18       11.163
0.0804     5.9778     11.0177
0.1255     5.7557     10.8802
0.1029     5.5672     10.7731
0.1142     5.3774     10.6521
0.1251     5.1485     10.4996
0.1192     4.9727     10.3752
0.1331     4.8319     10.2441
0.1375     4.6249     10.073
0.1066     4.4715     9.9243
0.1255     4.3387     9.7868
0.1139     4.2517     9.7057
0.1504     4.1305     9.5246




















































































































































