TMP        AZ 1001    Phu127sfv










































































































































































13.9729    4.704      7.3788     ROSTRUM
13.9998    4.7227     7.7009
14.0881    4.782      7.9881
14.2488    4.8379     8.1187
14.3645    4.8648     8.2491
14.4729    4.9186     8.3788
14.6272    4.9368     8.656
14.6748    4.9444     8.8187
14.7238    5.011      9.0008
14.7391    5.0447     9.1974
14.73      5.0512     9.4184
14.7294    5.0771     9.6494
14.7389    5.0959     9.7691
14.8157    5.1078     10.0054
15.0045    5.1153     10.1996
15.1916    5.1706     10.395
15.3813    5.2253     10.4935
15.5519    5.2691     10.6122
15.8128    5.301      10.7911
15.9543    5.3526     10.8732
16.0451    5.4092     10.9697
16.1499    5.441      11.0377
16.2398    5.4689     11.0865
16.3374    5.5199     11.2228
16.4283    5.5763     11.3266
16.683     5.6147     11.3551
16.8045    5.6924     11.3122
16.9917    5.7169     11.1241
17.2599    5.7369     10.9007
17.4337    5.7486     10.7768
17.5594    5.8193     10.6568
17.6877    5.8034     10.5722
17.8519    5.7675     10.3615
18.0089    5.7788     10.2285
18.1987    5.7337     10.0209
18.2926    5.6639     9.716
18.2784    5.6623     9.3623
18.2288    5.6471     9.2396
18.2126    5.5737     8.903
18.2507    5.615      8.6866
18.3395    5.5221     8.3269
18.3926    5.4989     8.2293
18.5431    5.4263     7.9807
18.658     5.448      7.8384
18.7576    5.4105     7.6411
18.7783    5.3196     7.4981
18.7781    5.3244     7.4266
18.7933    5.2944     7.2451
18.781     5.3158     7.0803
18.7752    5.2993     6.9395






















































































































































12.6112    8.5977     12.8831    SUPORB
12.6516    8.6725     13.1983
12.7645    8.7207     13.5996
12.9276    8.7592     13.8792
13.2394    8.6831     14.1798
13.5694    8.7011     14.4069
13.8883    8.6603     14.5833
14.3178    8.7238     14.7901
14.64      8.7441     14.9194
15.1719    8.6034     15.0283
15.5142    8.489      15.0406
15.761     8.3091     14.9868
15.8874    8.0983     14.8933
16.1374    7.928      14.7678
16.2906    7.9175     14.7386
16.3834    7.9399     14.7215
16.519     8.0091     14.7558
16.6728    8.1854     14.8161
16.7904    8.4324     14.9263
16.971     8.7087     14.9679
17.3092    8.9797     14.9393
17.693     8.9305     14.8297
17.9148    8.9469     14.752
18.2383    9.0488     14.6051
18.4477    9.0951     14.468
18.6123    9.1555     14.3608
18.8649    9.1797     14.2171
18.9897    9.2268     14.1086
19.1567    9.2708     13.9798
19.3548    9.2729     13.7946
19.4263    9.3701     13.6517
19.6305    9.4393     13.3125
19.7274    9.4625     13.0074
19.7542    9.4446     12.7755
19.7882    9.362      12.5869
