AMNH       169432     Phu1mam2
-0.3763    20.9996    13.892     IN
0.0983     15.7762    16.4257    BR
0.6905     9.3929     15.7751    GL
0.6177     9.3022     15.3106    NA
0.6512     3.9217     9.0625     RH
0.747      1.216      5.7728     NS
0.7714     0.8748     4.1773     PR
-0.3637    1.1462     4.3314     R_PR2
-0.355     4.864      9.5486     R_PMS
-3.7086    9.0128     9.091      R_ZMI
-1.8281    9.2292     13.1324    R_ZMU
0.0911     9.469      14.2215    R_DA
-1.8512    9.4069     15.6524    R_MTI
-1.7576    10.3342    16.5578    R_MTS
-3.3167    10.0297    14.3438    R_FMO
-4.3084    10.7561    14.3329    R_FMT
-4.6324    16.8445    11.9004    R_PO
-5.4694    10.9601    10.7714    R_ZTS
1.7872     1.2264     4.1737     L_PR2
1.4487     4.831      9.5147     L_PMS
4.2778     9.7372     8.709      L_ZMI
2.7014     9.5203     12.8584    L_ZMU
1.0138     9.4927     14.1832    L_DA
3.0252     9.813      15.3298    L_MTI
3.0101     10.707     16.2633    L_MTS
4.0859     10.5274    13.5334    L_FMO
5.0977     11.5119    13.9626    L_FMT
4.0999     17.2533    11.2286    L_PO
5.7146     11.4969    10.1617    L_ZTS
1.5128     0.6646     4.2358     O1
4.1886     11.7235    15.3939    O2
-5.5098    15.2718    11.3451    O3
0.4029     20.5489    13.3584    O4







































































































































































0.7618     9.2426     15.7557    GLRH
0.7566     9.203      15.5446
0.7341     9.1789     15.4005
0.7137     9.1131     15.1969
0.7393     9.1065     14.9834
0.6884     9.0736     14.7518
0.6889     9.0756     14.5336
0.7041     9.0332     14.3342
0.6864     8.9753     14.112
0.6802     8.8303     13.8853
0.693      8.615      13.5406
0.6741     8.3767     13.3029
0.6851     8.2267     13.1498
0.7225     7.9964     12.9587
0.7333     7.7413     12.793
0.688      7.4868     12.6278
0.7437     7.3054     12.441
0.733      7.1432     12.3375
0.7306     6.9549     12.1698
0.7195     6.8041     12.0447
0.7203     6.6286     11.8959
0.724      6.426      11.7148
0.7359     6.2555     11.5821
0.7593     6.0142     11.3899
0.7085     5.5471     11.0643
0.6777     5.338      10.8969
0.7013     5.1348     10.6991
0.7016     4.9442     10.5237
0.7312     4.797      10.3744
0.7319     4.6493     10.1936
0.6978     4.4802     10.0515
0.7323     4.3385     9.8586
0.7151     4.2041     9.7204
0.7377     4.0957     9.5637
0.7286     3.9375     9.3675
0.7209     3.7946     9.0634




































































































































































0.7298     3.7642     9.1093     NOSE
0.3983     3.8323     9.1047
0.1852     3.7816     8.9558
-0.0024    3.7979     8.9194
-0.0722    3.7967     8.7743
-0.1018    3.7259     8.5744
-0.1637    3.5947     8.482
-0.1776    3.5532     8.3651
-0.212     3.476      8.2405
-0.2812    3.3586     8.1206
-0.3645    3.2867     8.0929
-0.4383    3.103      7.9329
-0.46      3.0269     7.7303
-0.5684    2.7111     7.4234
-0.6026    2.5717     7.2527
-0.5838    2.4959     7.1195
-0.5742    2.371      6.9877
-0.6332    2.2017     6.8929
-0.5088    1.9889     6.607
-0.4364    1.8587     6.5856
-0.2895    1.7131     6.4809
-0.2287    1.5186     6.393
-0.1099    1.3955     6.356
-0.0006    1.3341     6.3263
0.145      1.2578     6.2597
0.27       1.1409     6.2011
0.4223     1.0569     6.0838
0.5        1.0442     5.9226
0.6493     1.0828     5.7916
0.7599     1.0537     5.738
0.89       1.1035     5.7889
1.0282     1.1054     5.8683
1.1578     1.0828     6.0293
1.2466     1.1344     6.1275
1.3571     1.2672     6.2257
1.4857     1.3576     6.3121
1.6114     1.5343     6.3627
1.7005     1.6005     6.3864
1.8153     1.7795     6.4464
1.9068     1.9457     6.5106
2.0189     2.1857     6.6702
2.0852     2.3874     6.8954
2.1134     2.5697     7.0704
2.0975     2.6909     7.1834
2.1187     2.8202     7.3095
2.1007     2.9311     7.4411
2.0874     3.0518     7.5963
2.0623     3.2481     7.8064
1.9772     3.3894     7.9335
1.7459     3.5304     8.077
1.6396     3.6228     8.2759
1.5658     3.7236     8.4455
1.4685     3.8627     8.6424
1.4075     3.9275     8.8731
1.2317     3.878      8.9671
1.0652     3.836      9.0947
0.9517     3.8367     9.1567
0.7416     3.7618     9.1094














































































































































0.8654     1.0626     5.7543     NASP-PR
0.8362     1.0004     5.6773
0.8504     0.9337     5.5847
0.8483     0.878      5.4868
0.8424     0.8295     5.4142
0.8694     0.7491     5.2482
0.8869     0.7422     5.1479
0.8749     0.7205     5.0717
0.8771     0.6971     5.0127
0.8829     0.7072     4.8604
0.8961     0.7099     4.7226
0.8949     0.7092     4.6102
0.8733     0.6938     4.4564
0.8717     0.6882     4.3479
0.8654     0.7396     4.1387

























































































































































































-0.2799    4.7269     9.5584     R-PM/MAX
-0.2899    4.575      9.4591
-0.3003    4.5191     9.3911
-0.3355    4.4531     9.3108
-0.3559    4.3726     9.2305
-0.3796    4.297      9.1504
-0.4102    4.2044     9.0449
-0.4148    4.1394     8.9575
-0.4365    4.075      8.9053
-0.4614    4.02       8.8528
-0.4507    3.9705     8.8206
-0.4677    3.9096     8.7556
-0.4907    3.8635     8.7109
-0.5175    3.7834     8.6439
-0.5281    3.6876     8.5565
-0.5815    3.6176     8.4654
-0.5983    3.5723     8.3966
-0.6254    3.4829     8.2894
-0.6411    3.4049     8.198
-0.6847    3.344      8.0876
-0.6959    3.2764     8.0029
-0.7248    3.1936     7.8419
-0.7227    3.1616     7.7555
-0.7395    3.1121     7.6786
-0.7554    3.0436     7.5308
-0.7658    3.0081     7.4262
-0.7949    2.9429     7.3039
-0.8296    2.8791     7.1731
-0.9207    2.7215     6.9174
-0.9728    2.6153     6.6784
-0.9672    2.5677     6.4388
-1.0596    2.3911     6.1599
-1.0987    2.2911     5.9501
-1.1831    2.1663     5.7075
-1.2865    2.1807     5.5033
-1.2163    2.2528     5.2316




































































































































































1.5569     4.6758     9.5185     L-PM/MAX
1.5948     4.5868     9.3996
1.6373     4.4409     9.2119
1.7044     4.3592     9.0705
1.7679     4.2445     8.9215
1.8136     4.1149     8.7831
1.8746     4.0758     8.6674
1.9295     3.9907     8.5818
1.9855     3.9349     8.4982
