UCMVZ      117259     Phu51stv
22.1411    17.148     15.5083    IN
17.9918    14.0899    18.2711    BR
12.5962    9.9965     17.8038    GL
12.5417    10.0243    17.0062    NA
8.9859     7.3922     10.8107    RH
6.7369     5.5567     6.9095     NS
6.412      5.3603     5.3509     PR
6.0209     6.3218     5.332      R_PR2
9.7427     8.6505     11.8806    R_PMS
10.0479    13.1977    10.8385    R_ZMI
11.4388    11.982     14.6921    R_ZMU
12.4072    10.5756    16.0498    R_DA
11.5219    11.8973    17.0249    R_MTI
12.599     12.1072    18.5988    R_MTS
11.1131    13.689     15.9423    R_FMO
11.5771    14.7382    16.5378    R_FMT
15.9271    18.4464    12.7233    R_PO
10.9484    15.7159    12.494     R_ZTS
7.3107     4.4577     5.6522     L_PR2
10.4835    7.8033     11.9044    L_PMS
15.1988    6.7081     10.898     L_ZMI
14.0796    8.5422     14.5741    L_ZMU
13.2365    9.6959     15.6696    L_DA
14.2392    8.2979     17.15      L_MTI
14.9926    9.0854     18.4172    L_MTS
15.934     7.6211     15.9868    L_FMO
17.1441    7.7582     16.207     L_FMT
21.7859    10.7464    12.7579    L_PO
17.9521    6.9285     12.5243    L_ZTS
6.6372     4.6426     5.2059     O1
16.5097    10.4565    17.9194    O2
11.6053    17.184     12.2653    O3
22.4917    16.6196    14.4518    O4







































































































































































12.5277    10.0266    17.7019    GLRH
12.5314    9.9814     17.5369
12.5276    9.9782     17.4066
12.5478    10.0018    17.2759
12.5458    10.0205    17.1056
12.5511    10.0224    16.9907
12.5288    10.0493    16.7777
12.5567    10.0623    16.5364
12.5788    10.0791    16.3162
12.542     10.0836    16.1214
12.503     10.0242    15.9723
12.4543    9.9783     15.7747
12.4084    9.9423     15.6814
12.3493    9.9028     15.5828
12.2362    9.8232     15.4703
12.1105    9.8066     15.3347
12.0192    9.7165     15.2143
11.9452    9.5817     15.0762
11.8839    9.5242     14.944
11.8086    9.4495     14.7861
11.7273    9.3711     14.6458
11.6274    9.2778     14.4589
11.5048    9.2782     14.2688
11.3984    9.1696     14.0666
11.2883    9.0958     13.9033
11.1898    8.9778     13.7249
11.0332    8.9212     13.5184
