TMP        T 13       Pi8stv
















































































































































































15.7868    14.1781    7.6531     LORBIT
16.0564    14.3016    7.5514
16.2987    14.4154    7.5414
16.4983    14.5329    7.5823
16.7001    14.6536    7.6574
16.8144    14.773     7.7397
16.9637    14.8945    7.8597
17.0928    15.0151    8.0325
17.2278    15.1505    8.2016
17.3183    15.2107    8.3305
17.4061    15.2911    8.5399
17.456     15.329     8.9638
17.4621    15.2667    9.2191
17.3479    15.1765    9.5168
17.1802    15.1071    9.7676
16.9466    15.0099    9.9839
16.6515    14.9068    10.0411
16.4096    14.8573    9.9825
16.239     14.8231    9.9638
16.0405    14.7627    9.9789
15.8158    14.7376    9.9409
15.6427    14.6895    10.0764
15.4191    14.634     10.1855
15.1662    14.5593    10.1039
14.9736    14.5357    9.9357
14.8889    14.5498    9.7653
14.8254    14.5491    9.5871
14.8135    14.5772    9.4328
14.7617    14.5016    9.3194











































































































































































9999       9999       9999       RTEMFOS







































































































































































































17.8144    16.1542    8.5247     LTEMFOS
17.8606    15.9739    8.19
17.852     15.8858    8.0438
17.8501    15.7483    7.8936
17.8278    15.7097    7.6981
17.7938    15.603     7.5194
17.794     15.546     7.4306
17.7477    15.4656    7.3237
17.7157    15.4475    7.1724
17.7448    15.4439    7.0359
17.7625    15.4763    6.8689
17.7868    15.5611    6.7148
17.8499    15.6433    6.6585
17.9431    15.7826    6.6509
17.9996    15.9012    6.6415
18.0767    16.3999    6.7612
























































































































































































13.7749    9.8402     8.7273     OP
13.9071    11.4218    8.993      BA
14.0519    15.4415    9.2649     ST
14.2404    18.9748    10.5399    IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
12.2744    15.1784    9.4464     R_M3D
9999       9999       9999       R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
