AMNH       169432     Phu1mam7
-1.645     23.7194    13.7471    IN
-1.2945    18.6047    16.4424    BR
-0.7855    12.2117    15.9754    GL
-0.8062    12.0986    15.4409    NA
-0.5634    6.598      9.3621     RH
-0.3166    3.8193     6.059      NS
-0.191     3.4598     4.4262     PR
-1.2774    3.705      4.4874     R_PR2
-1.4907    7.5214     9.7419     R_PMS
-4.8152    11.641     9.1184     R_ZMI
-3.1248    11.9542    13.1427    R_ZMU
-1.2538    12.2091    14.3425    R_DA
-3.186     12.1932    15.6683    R_MTI
-2.9423    13.1514    16.6695    R_MTS
-4.6139    12.7876    14.2335    R_FMO
-5.6524    13.5026    14.1514    R_FMT
-5.8136    19.5182    11.5368    R_PO
-6.6703    13.6165    10.5471    R_ZTS
0.8582     3.8281     4.6289     L_PR2
0.3649     7.4679     9.75       L_PMS
3.1982     12.4114    9.0771     L_ZMI
1.4341     12.2259    13.0888    L_ZMU
-0.2837    12.3176    14.3045    L_DA
1.6794     12.6813    15.5441    L_MTI
1.5448     13.4849    16.5289    L_MTS
2.7196     13.1937    13.7017    L_FMO
3.7696     14.3739    14.2424    L_FMT
2.9354     20.0616    11.4058    L_PO
4.584      14.3351    10.5237    L_ZTS
0.5766     3.2736     4.456      O1
2.6451     14.4299    15.976     O2
-6.7929    17.7543    10.9643    O3
-3.8175    22.3242    12.9       O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR



































































