AMNH       169432     Phu1Tosi4
6.2765     8.0527     10.3693
6.1419     7.9624     10.2292
6.0008     7.8904     10.0222
5.9042     7.8503     9.8439
5.7582     7.7681     9.5906
5.6732     7.7297     9.3721
5.5985     7.6571     9.1569
5.5104     7.626      8.8501
5.4202     7.5887     8.6583
5.3684     7.5611     8.4598
5.2606     7.5128     8.1316
5.1934     7.4876     8.0692
5.1452     7.455      7.8937
5.1461     7.4619     7.7865
5.1123     7.4553     7.6937
5.0359     7.4191     7.5151
4.9141     7.3796     7.2593
4.8587     7.3641     7.0645
4.7925     7.3788     6.8913
4.7765     7.41       6.7622
4.8923     7.4607     6.4975
4.9802     7.4087     6.3329













































































































































































8.2559     7.1235     11.1983    L-PM/MAX
8.2264     7.0117     10.9952
8.1932     6.9207     10.8693
8.1783     6.8021     10.7039
8.1674     6.6447     10.5197
8.1341     6.523      10.342
8.1149     6.4126     10.2304
8.0958     6.2793     10.1118
8.0919     6.1548     9.953
8.0838     6.0677     9.8282
8.0751     5.9644     9.6505
8.0251     5.8811     9.5126
8.0039     5.7667     9.2859
7.9595     5.6842     9.156
7.953      5.6488     8.9976
7.9308     5.5878     8.8441
7.9227     5.525      8.6627
7.8973     5.4569     8.495
7.9025     5.4111     8.3652
7.8916     5.3362     8.1622
7.8518     5.2521     7.9111
7.8352     5.1729     7.7212
7.8251     5.0932     7.5888
7.8488     5.0034     7.4275
7.8668     4.9309     7.2935
7.9087     4.8837     7.1146
7.9914     4.872      6.9884
8.0272     4.932      6.8354
7.9986     4.9487     6.7644











































































































































































7.0642     11.5179    7.4934     ROSTRUM
6.9516     11.5256    7.7111
6.9266     11.4673    7.9383
6.8968     11.4155    8.1358
6.8914     11.2919    8.3839
6.9346     11.1835    8.5931
6.9897     11.0559    8.7448
7.0049     10.9657    8.9927
7.0351     10.8376    9.1607
6.9189     10.7316    9.5297
6.7649     10.6922    9.8673
6.6355     10.666     10.156
6.4282     10.6509    10.4033
6.3254     10.6352    10.6279
6.2326     10.638     10.833
6.071      10.5738    11.0429
6.0771     10.5071    11.1668
6.132      10.3735    11.3129
6.0613     10.2686    11.4681
6.0716     10.2473    11.5588
6.1944     10.1217    11.7078
6.2792     10.0161    11.7824
6.3963     9.8595     11.8436
6.5682     9.7629     11.8842
6.7069     9.7029     11.8056
6.7941     9.6571     11.7995
6.9447     9.526      11.8247
