LSZT       R20        Phu177sf
0.1691     21.5652    13.7711    IN
0.3432     17.3673    17.0864    BR
0.9307     10.5092    16.1373    GL
0.9034     10.5339    15.5751    NA
0.8041     4.4587     9.6829     RH
0.7272     2.0498     6.5015     NS
0.6485     1.394      4.9574     PR
-0.4272    1.6836     5.1253     R_PR2
-0.0963    5.8451     10.2029    R_PMS
-3.6226    9.6102     9.9321     R_ZMI
-1.4133    10.5408    13.6761    R_ZMU
0.3445     10.8069    14.5704    R_DA
-1.2546    10.414     16.1378    R_MTI
-0.7738    11.6331    17.0081    R_MTS
-2.9873    11.0857    14.5641    R_FMO
-3.8238    11.6204    14.658     R_FMT
-4.4178    17.2699    11.9778    R_PO
-4.82      11.3884    11.1262    R_ZTS
1.7315     1.8347     4.974      L_PR2
1.7187     6.0015     10.1506    L_PMS
4.6509     10.2102    9.3918     L_ZMI
3.0172     10.7055    13.3675    L_ZMU
1.4003     10.7993    14.4311    L_DA
2.8353     10.7926    15.885     L_MTI
2.6399     11.8559    16.8427    L_MTS
4.5674     11.7368    14.4426    L_FMO
5.3134     12.3121    14.3816    L_FMT
4.7701     17.5993    11.7391    L_PO
5.9509     12.0326    10.903     L_ZTS
-0.0343    0.9447     4.6035     O1
4.2922     12.6528    16.0684    O2
-5.3868    14.0963    11.2218    O3
0.9287     21.3718    13.2251    O4







































































































































































0.9355     10.5357    16.1198    GLRH
0.9554     10.5099    15.8946
0.9239     10.5428    15.6719
0.9377     10.5328    15.544
0.9852     10.504     15.2498
0.96       10.4926    15.0363
0.9058     10.3705    14.6982
0.8892     10.2286    14.4487
0.8989     10.033     14.1629
0.923      9.8344     13.9352
0.8923     9.6571     13.756
0.8835     9.4129     13.5268
0.8674     9.1925     13.3491
0.8932     8.9377     13.1306
0.9274     8.7532     12.9625
0.9288     8.5294     12.7714
0.894      8.2959     12.5994
0.8858     8.0378     12.4212
0.8879     7.7661     12.2404
0.9003     7.5816     12.0774
0.8573     7.3528     11.927
0.8554     7.1351     11.79
0.8253     6.934      11.6385
0.8285     6.7101     11.4952
0.8243     6.5286     11.3654
0.8052     6.3456     11.1899
0.7999     6.0652     11.0065
0.8124     5.7409     10.786
0.7868     5.5232     10.6072
0.7974     5.3443     10.5051
0.8088     5.1356     10.3486
0.8225     4.969      10.2063
0.7899     4.8166     10.0722
0.8076     4.6657     9.9445
0.8105     4.5484     9.8307





































































































































































0.8165     4.5433     9.7933     NOSE
0.5075     4.5223     9.7087
0.0864     4.5222     9.5474
-0.1413    4.5805     9.3951
-0.2514    4.3189     9.1988
-0.3064    4.1077     9.0421
-0.3706    3.9194     8.8737
-0.413     3.7167     8.6891
-0.4608    3.5387     8.4528
-0.4345    3.3607     8.2341
-0.4333    3.2153     8.0133
-0.4       3.03       7.8503
-0.3531    2.8181     7.6368
-0.26      2.6046     7.4317
-0.226     2.4626     7.3505
-0.1238    2.325      7.2454
-0.07      2.2063     7.1565
0.0444     2.1154     7.0635
0.2094     1.9933     6.8763
0.3299     1.9918     6.7952
0.4799     1.9882     6.6561
0.6356     2.029      6.5298
0.7094     2.0282     6.4703
0.9352     2.0009     6.5973
1.1797     1.9949     6.7479
1.3405     2.0881     6.9077
1.5574     2.2171     7.0307
1.663      2.3827     7.1276
1.7398     2.5743     7.2452
1.7641     2.7285     7.3275
1.8771     2.8684     7.4555
1.9908     3.0397     7.6715
2.0202     3.1744     7.8467
2.0566     3.3194     8.0244
2.0701     3.453      8.1802
2.0963     3.5728     8.2983
2.0795     3.7179     8.4781
2.0867     3.895      8.6537
2.027      4.0236     8.7692
1.9713     4.1805     8.927
1.8487     4.357      9.0619
1.8085     4.5083     9.1972
1.7239     4.6379     9.3424
1.5928     4.6842     9.4225
1.2105     4.537      9.6676
0.9321     4.6179     9.7749
0.7741     4.5814     9.8381

























































































































































0.7062     2.0069     6.468      NASP-PR
0.7349     1.8205     6.279
0.7256     1.6545     6.0542
0.7152     1.5099     5.7377
0.6609     1.4223     5.4974
0.6757     1.4068     5.3343
0.6567     1.4174     5.1936
0.638      1.4237     4.9868




















































































































