LSZT       R15        Phu181sf
0.1973     21.6588    12.7242    IN
0.4726     17.6287    16.2478    BR
9999       9999       9999       GL
0.7409     10.7647    16.106     NA
0.934      4.2326     9.783      RH
0.8551     1.4463     6.161      NS
0.8541     1.0699     4.5973     PR
-0.1289    1.0905     4.7344     R_PR2
0.1068     6.1634     11.1521    R_PMS
-2.8795    9.548      10.1138    R_ZMI
-1.4417    10.4129    14.0286    R_ZMU
0.2699     10.6965    15.1927    R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
-4.3007    17.179     11.3678    R_PO
9999       9999       9999       R_ZTS
1.7397     1.4027     5.1208     L_PR2
1.6209     5.2373     10.505     L_PMS
4.2689     9.7211     9.5412     L_ZMI
2.5549     10.5342    13.7724    L_ZMU
1.1932     10.732     14.9651    L_DA
2.8215     11.1726    16.5816    L_MTI
2.5344     12.1211    17.395     L_MTS
4.2393     11.6953    14.7106    L_FMO
4.778      12.4083    14.7847    L_FMT
4.5985     17.694     10.9276    L_PO
5.6159     12.1985    11.1532    L_ZTS
-0.3796    1.3268     5.9974     O1
-2.2417    12.7151    16.7537    O2
6.0765     14.0048    10.6416    O3
-0.1412    21.5469    12.706     O4







































































































































































9999       9999       9999       GLRH







































































































































































































0.8681     4.1937     9.7463     NOSE
-0.0119    4.2463     9.524
-0.28      3.9901     9.4701
-0.332     3.7646     9.1895
-0.3557    3.5539     8.9792
-0.3704    3.3711     8.7501
-0.3895    3.1602     8.4602
-0.4315    2.8643     8.1113
-0.381     2.5626     7.781
-0.3472    2.3032     7.501
-0.2808    2.0309     7.2325
-0.1476    1.8062     6.9971
0.0483     1.6836     6.8155
0.1407     1.5694     6.6904
0.2248     1.4908     6.5501
0.3738     1.3753     6.3855
0.4861     1.3673     6.298
0.6121     1.3289     6.1873
0.7987     1.3741     6.108
0.8822     1.3785     6.1147
1.0949     1.4707     6.2666
1.3234     1.4984     6.4417
1.5248     1.5526     6.6062
1.61       1.7628     6.8214
1.7162     1.9668     7.0283
1.826      2.1534     7.1676
1.8787     2.3244     7.2982
1.9334     2.5314     7.4754
2.0008     2.7242     7.699
1.9623     2.9646     7.9298
2.0166     3.1749     8.1448
2.1083     3.3369     8.4245
2.1293     3.5012     8.6429
2.075      3.6632     8.8717
2.0113     3.8502     9.0719
1.9403     3.9454     9.2055
1.8597     4.0604     9.3418
1.7565     4.1882     9.4587
1.6419     4.259      9.5319
1.5053     4.3797     9.6906
1.2776     4.3287     9.7693
0.8779     4.2205     9.806






























































































































































0.8706     1.3376     6.0872     NASP-PR
0.8923     1.1154     5.7301
0.8965     1.0505     5.4723
0.8945     1.0091     5.2852
0.8314     1.0055     5.0828
0.8682     1.0174     4.951
0.8443     1.021      4.8882
0.8462     1.0256     4.6832
































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































1.6072     5.2407     10.4808    L-PM/MAX
1.6481     4.9933     10.3108
1.6686     4.8518     10.1957
1.7552     4.7006     10.0721
1.85       4.547      9.8949
1.8606     4.4032     9.7261
1.9393     4.2513     9.5695
2.0251     4.1099     9.3905
2.1279     4.0404     9.2644
2.0869     3.86       9.0692
2.1042     3.6607     8.8551
2.2115     3.4818     8.5601
2.2463     3.3734     8.3417
2.2827     3.223      8.0124
2.3602     3.11       7.6995
2.5196     3.0552     7.4296
2.6396     3.0273     7.1469
2.7416     2.9091     6.9242
2.8355     2.8647     6.7479
2.9434     2.7825     6.4953
2.9435     2.6718     6.1655
2.8994     2.6101     6.0188
2.8057     2.537      5.8575
2.6342     2.6516     5.6311
















































































































































































