TMP        SK 562     Phr4stv








































































































































27.7273    5.069      7.0933     L-PM/MAX
27.7627    4.8392     7.0149
27.7778    4.6228     6.9242
27.794     4.4883     6.8525
27.8124    4.3734     6.7657
27.937     4.2004     6.7871
28.0334    3.9487     6.6366
28.1063    3.7506     6.4794
28.1481    3.5471     6.3112
28.1689    3.3245     6.1524
28.2032    3.2012     6.042
28.2522    3.0597     5.7517
28.3206    2.9431     5.5907
28.3487    2.8598     5.5081
28.3971    2.7959     5.3932
28.5166    2.6072     5.0937
28.5972    2.5544     4.9476
28.6208    2.5308     4.7712
28.6314    2.5424     4.7065
28.6171    2.4851     4.523
28.511     2.4857     4.4238



















































































































































































24.6806    6.1148     4.1458     ROSTRUM
24.6656    6.0666     4.4174
24.6889    6.1193     4.6126
24.7463    6.1054     4.8036
24.8666    6.1631     4.9956
25.0369    6.1238     5.1686
25.1544    6.122      5.3216
25.2532    6.1588     5.4851
25.3419    6.1703     5.6657
25.4044    6.1732     5.8621
25.446     6.1823     6.0729
25.4761    6.1863     6.2244
25.4953    6.1437     6.4368
25.5377    6.12       6.6154
25.6067    6.133      6.7611
25.7826    6.1254     6.9521
25.9661    6.1014     7.1088
26.1142    6.1196     7.1967
26.2873    6.1109     7.2808
26.4325    6.0989     7.3259
26.5662    6.0994     7.339
26.6834    6.0634     7.392
26.8812    6.0275     7.5958
27.1421    5.9717     7.6409
27.2691    5.9747     7.5396
27.4587    6.0006     7.4496
27.5888    5.9449     7.3614
27.7329    5.9223     7.3617
27.9982    5.8805     7.363
28.1276    5.8701     7.2968
28.4156    5.8619     7.2396
28.6252    5.8177     7.0733
28.6855    5.8195     6.9738
28.8441    5.7843     6.804
28.9784    5.8333     6.5962
29.0175    5.8417     6.3152
29.0592    5.818      6.1104
29.1169    5.814      5.8736
29.1853    5.7744     5.7616
29.33      5.7388     5.5461
29.4536    5.7217     5.4497
29.5795    5.6355     5.3526
29.6744    5.5933     5.3056
29.8958    5.5421     5.0707
29.97      5.4958     4.859
29.9953    5.4595     4.6238
30.0097    5.4858     4.4966
30.0005    5.5002     4.3329
























































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
9999       9999       9999       BA
16.5539    15.0839    7.695      ST
16.4423    20.097     6.4894     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
14.4051    15.284     7.6306     R_M3D
13.7877    17.6329    6.9986     R_M12
14.3919    19.787     6.3527     R_MP3
14.8847    20.6675    6.1886     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
18.2179    15.7208    8.8885     L_M3D
18.4768    18.2645    8.7367     L_M12
18.1195    20.4402    7.4657     L_MP3
17.6905    21.1183    7.0245     L_PMI
17.7279    20.9129    6.1078     O1
14.1172    17.5802    6.1351     O2
19.8196    15.1615    5.6707     O3
15.7124    12.1346    5.0676     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































14.3721    15.2657    7.5846     R-ALV
14.197     15.4253    7.4607
14.0612    15.6764    7.3606
13.9037    16.0564    7.3321
13.8337    16.4139    7.2298
13.7645    16.7251    7.0832
13.7128    16.9348    7.0115
13.687     17.2051    7.0281
13.7086    17.4596    6.9526
13.7754    17.7545    6.8598
13.8216    18.0153    6.8195
13.8244    18.1909    6.7137
13.9178    18.4176    6.5946
14.0863    18.5561    6.568
14.1384    18.7988    6.4906
14.1941    19.0469    6.481
14.2043    19.2978    6.4229
14.2662    19.4112    6.3556
14.2861    19.5148    6.3288
14.3329    19.6641    6.2826
14.3693    19.8127    6.2352
14.3841    19.893     6.206


















































































































































































18.3454    15.8574    8.8892     L-ALV
18.4986    16.1658    8.8965
18.5839    16.4548    8.8989
18.6061    16.7615    8.8946
18.631     17.0248    8.912
18.6231    17.2363    8.9064
18.6381    17.4415    8.8394
18.6488    17.5371    8.801
18.668     17.7539    8.8403
18.6717    18.0747    8.6454
18.6905    18.2147    8.6264
18.6743    18.4384    8.5565
18.6841    18.674     8.4246
18.6561    18.8225    8.3889
18.6395    18.9185    8.2804
18.6017    19.0164    8.2076
18.5283    19.1657    8.0784
18.4646    19.2953    7.9275
18.4044    19.4019    7.831
18.3831    19.5125    7.7398
18.3748    19.7916    7.5607
18.3053    19.9885    7.5871
18.2456    20.19      7.4702
18.2155    20.2919    7.4346
18.162     20.4019    7.3608
