AMNH       99.1/2285  see1bjw
0.3359     14.2479    7.7463
0.4018     14.1518    7.9212
0.51       14.0903    8.1664
0.5911     13.9968    8.4017
0.6459     13.9098    8.6009
0.6923     13.8091    8.7995
0.7389     13.7593    9.0032
0.6476     13.7117    9.146
0.7658     13.6081    9.3614
1.5246     13.2458    9.7364
1.7854     13.2172    9.6709
2.1584     13.3952    9.3367
2.2358     13.4816    9.1127
2.3164     13.5871    8.8341
2.4018     13.6185    8.6362
2.4772     13.6659    8.4576
2.571      13.7244    8.2531
2.6748     13.7706    8.0864
2.7796     13.778     7.9123
2.9337     13.787     7.7799
3.0605     13.7693    7.6313
3.2212     13.7817    7.3745
3.3422     13.7889    7.2502
3.431      13.7561    7.1161
3.5156     13.7798    7.0005
3.6255     13.7642    6.889
3.7067     13.7551    6.7671
3.8149     13.765     6.6034
3.9459     13.7816    6.435
4.0224     13.764     6.2487
4.0939     13.7855    6.0935
4.1055     13.7795    5.9073





























































































































































-2.044     15.9808    9.928      SUPORB
-1.8947    15.9228    10.1716
-1.7001    15.6808    10.2913
-1.4761    15.3477    10.4048
-1.3038    15.1472    10.4997
-0.9829    14.7742    10.6353
-0.7577    14.6412    10.6945
-0.5091    14.4959    10.7276
-0.2893    14.3704    10.7536
-0.0443    14.2144    10.7797
0.0543     14.1614    10.7855
0.1943     14.0676    10.7814
0.5074     14.0042    10.7974
0.8618     13.973     10.7792
1.1581     13.8451    10.6951
1.4656     13.8433    10.7065
1.844      13.802     10.82
2.3898     13.7927    10.906
2.7601     13.8558    10.9304
3.1335     13.9239    10.9423
3.3969     13.9779    10.9103
3.6514     14.0021    10.8641
3.9252     14.09      10.8244
4.26       14.1842    10.7356
4.6277     14.4211    10.5644
4.8268     14.5598    10.4844
4.9408     14.6771    10.4223
4.9019     14.6009    10.4496
5.0659     14.7424    10.3574
5.2099     14.88      10.3042
5.3979     15.0997    10.1479









































































































































































0.032      14.582     7.927      RORBIT
-0.1472    14.6367    7.8821
-0.3076    14.6785    7.8849
-0.4895    14.7076    7.8971
-0.6348    14.7937    7.9343
-0.7924    14.8616    7.9817
-0.8983    14.9058    8.0367
-1.0346    14.9767    8.1288
-1.1311    15.0134    8.2286
-1.2186    15.0734    8.332
-1.304     15.0835    8.4765
-1.3658    15.0828    8.5642
-1.402     15.1239    8.6731
-1.3764    15.1385    8.7223
-1.4086    15.1497    8.8752
-1.4304    15.1727    9.0447
-1.4358    15.1819    9.1882
-1.4589    15.1274    9.4957
-1.3967    15.0193    9.6911
-1.2325    14.8653    9.8894
-1.0525    14.7344    10.0109
-0.924     14.6586    10.0848
-0.7879    14.5651    10.1124
-0.6104    14.5087    10.1544
-0.3746    14.4342    10.1864
-0.1285    14.3       10.2349
0.1771     14.2078    10.1969
0.4762     14.0954    10.2142
0.5564     14.1645    9.7819
0.6632     14.2247    9.5595
0.701      14.2647    9.3284









































































































































































3.5388     14.1441    8.0257     LORBIT
3.7656     14.1886    8.0317
3.9912     14.2188    8.065
4.1608     14.2702    8.1088
4.3796     14.3134    8.2177
4.5322     14.369     8.3559
4.6587     14.3938    8.4811
4.7318     14.3961    8.6517
4.8049     14.3809    8.8527
4.8407     14.3971    9.0241
4.8484     14.4242    9.2145
4.8833     14.4191    9.4268
4.8576     14.4014    9.6293
4.7114     14.3422    9.8225
4.5544     14.2412    9.9926
4.367      14.1983    10.0997
4.1692     14.1631    10.2162
3.9179     14.0395    10.2999
3.6822     13.9796    10.349
3.4394     13.8541    10.3913
3.252      13.9425    10.3485
3.0272     13.8645    10.3831
2.7856     13.8109    10.3603
2.5623     13.7807    10.3293
2.3034     13.786     10.1615
2.4322     13.9625    9.8136
2.4046     14.1975    9.5946













































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































1.8085     12.5064    10.4055    OP
2.342      14.5388    10.7237    BA
2.7893     18.9618    9.9247     ST
2.6399     21.662     9.8556     IV
-0.6704    15.2691    10.7333    R_PG
9999       9999       9999       R_ZTI
0.4746     18.9835    10.5521    R_M3D
0.2288     20.5307    10.1257    R_M12
9999       9999       9999       R_MP3
1.4531     23.3656    9.7074     R_PMI
4.4133     14.4529    10.8031    L_PG
9999       9999       9999       L_ZTI
4.3137     18.3927    10.4751    L_M3D
4.869      19.7872    10.3004    L_M12
4.8096     20.9881    9.9447     L_MP3
4.3092     22.7678    9.7289     L_PMI
3.7998     22.6532    8.9528     O1
5.2744     17.1024    6.4155     O2
-0.8064    17.7769    6.551      O3
1.7272     11.23      8.6862     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































4.2456     18.3223    10.5141    L-ALV
4.3424     18.4164    10.4989
4.4275     18.5494    10.4626
4.517      18.7144    10.4506
4.5906     18.8557    10.4439
4.6526     19.014     10.3824
4.7437     19.2327    10.383
4.773      19.3931    10.3772
4.8228     19.6629    10.3722
4.8456     19.8562    10.3095
4.8294     20.0092    10.2305
4.8636     20.1987    10.1876
4.831      20.3648    10.1119
4.7692     20.5268    10.0465
4.7581     20.7566    9.9945
4.7716     20.93      9.9918
