MNHN       1962.146   Php17stv
1.9452     4.1268     6.7435
1.8929     3.9639     6.5209
1.8437     3.8783     6.3506
1.7924     3.7862     6.1733
1.7824     3.8305     5.9958
1.5796     3.7943     5.7574














































































































































































-2.4834    8.0092     6.668      ROSTRUM
-2.4517    7.9768     6.9855
-2.3945    7.9023     7.2297
-2.3297    7.8892     7.3942
-2.1802    7.8298     7.63
-2.0457    7.772      7.7812
-1.9537    7.7699     7.9091
-1.9036    7.7522     8.0652
-1.7903    7.7501     8.2271
-1.737     7.7214     8.3823
-1.6329    7.6468     8.5539
-1.5723    7.6418     8.6802
-1.5299    7.6367     8.8579
-1.426     7.5798     9.0634
-1.3834    7.5267     9.2047
-1.3917    7.4635     9.416
-1.3499    7.4149     9.6435
-1.2978    7.3357     9.8753
-1.0949    7.3121     9.9639
-0.8675    7.2758     10.057
-0.7731    7.2962     10.0527
-0.6128    7.2655     10.0963
-0.3937    7.2654     10.1194
-0.2654    7.2698     10.0162
-0.1555    7.2615     9.9882
0.0323     7.2611     9.9222
0.1235     7.268      9.9527
0.3352     7.2395     10.1481
0.4514     7.2667     10.1675
0.5727     7.2968     10.0846
0.6268     7.311      9.95
0.643      7.3168     9.8274
0.8473     7.3233     9.8445
1.0207     7.359      9.9738
1.3148     7.3284     9.9671
1.5682     7.3441     9.9205
1.8136     7.3571     9.9218
1.8609     7.4082     9.792
2.0112     7.4184     9.7052
2.0265     7.5506     9.5042
2.0101     7.5315     9.2869
1.9971     7.6085     9.0038
2.0202     7.6247     8.8023
2.064      7.6457     8.5462
2.1015     7.6318     8.3552
2.1623     7.6357     8.09
2.2137     7.6517     7.932
2.2734     7.7025     7.6999
2.3352     7.7118     7.5536
2.3525     7.7396     7.4603
2.4403     7.7691     7.3295
2.5464     7.83       7.1651
2.6295     7.8553     6.9582
2.6699     7.8655     6.7825
2.6394     7.9222     6.5435
2.6193     7.9303     6.4115
2.6328     7.9459     6.3007
2.593      7.9283     6.101














































































































































-3.4755    10.1786    12.1611    SUPORB
-3.2914    10.1643    12.3972
-3.0861    10.1303    12.6418
-2.924     9.9542     12.8089
-2.7922    9.882      12.9104
-2.5818    9.8024     12.9983
-2.4147    9.6001     13.0435
-2.2888    9.5228     13.0643
-2.0785    9.4393     13.1192
-1.8699    9.3902     13.2204
-1.6976    9.4395     13.2903
-1.5643    9.4495     13.3679
-1.2694    9.4299     13.4598
-1.0157    9.3556     13.4959
-0.8207    9.2904     13.489
-0.6151    9.0519     13.4627
-0.3252    8.9101     13.4066
-0.1366    8.8167     13.3372
0.1561     8.6048     13.2394
0.336      8.4878     13.149
0.5675     8.443      13.0569
0.9131     8.4146     13.0438
1.1425     8.5466     13.1264
1.4615     8.6752     13.2245
1.7619     8.7603     13.2334
1.9597     8.8233     13.2383
2.2299     8.9314     13.2405
2.4372     9.0665     13.2124
2.7439     9.1488     13.0782
2.8849     9.1039     12.9738
3.1112     9.0656     12.8106
3.2944     9.0941     12.7075
3.4692     9.1435     12.594
3.6038     9.2041     12.5466
3.7584     9.3719     12.4667
3.9699     9.5564     12.3345
4.1258     9.685      12.1651
4.2384     9.7303     12.0196
4.3071     9.8283     11.9246
4.3829     9.9053     11.7704
4.4554     9.9447     11.6205
4.5141     9.9827     11.4648






























































































































































-1.6306    8.7897     10.392     RORBIT
-1.9156    8.8455     10.4093
-2.1426    8.9235     10.4653
-2.3662    8.9586     10.5173
-2.4695    9.0542     10.6116
-2.4898    9.1253     10.7548
-2.5846    9.2029     10.9187
-2.6357    9.3112     11.1392
-2.6917    9.3562     11.3777
-2.6929    9.3864     11.5189
-2.6752    9.406      11.7193
-2.6327    9.3746     11.9335
-2.5832    9.2152     12.108
-2.4684    9.1005     12.2252
-2.3818    9.0046     12.2951
-2.2204    8.8052     12.428
-1.9767    8.6687     12.4889
-1.691     8.5556     12.4695
-1.4696    8.4646     12.4524
-1.2081    8.4234     12.3908
-0.9884    8.3773     12.3952
-0.721     8.3644     12.3903
-0.401     8.3398     12.4475
-0.2645    8.3834     12.3872
-0.1359    8.3846     12.2161
0.0277     8.5058     11.8627
0.0663     8.6126     11.5796
0.0855     8.5167     11.5039












































































































































































2.3667     8.7264     10.0157    LORBIT
2.6851     8.814      9.9651
2.9375     8.8465     9.9414
3.1422     8.8875     9.9682
3.3102     8.9867     10.0888
3.5161     9.028      10.2158
3.59       9.1257     10.3858
3.6128     9.1899     10.5426
3.6744     9.2199     10.7187
3.7652     9.22       10.9563
3.7714     9.2261     11.2057
3.7846     9.1635     11.4253
3.7521     9.0282     11.576
3.7046     8.8894     11.7381
3.5962     8.7627     11.8538
3.4624     8.6652     11.9515
3.3065     8.5488     12.0557
3.1078     8.4769     12.1062
2.9447     8.3366     12.2091
2.7534     8.3104     12.166
2.5415     8.3078     12.1295
2.3099     8.279      12.128
1.9963     8.3321     12.083
1.7561     8.4063     12.185
1.4437     8.3622     12.2648
1.2782     8.3451     12.1399
1.0522     8.3491     11.8833
0.972      8.4471     11.6794
0.9282     8.4738     11.5741
0.9351     8.4956     11.4431










































































































































































-3.5448    10.164     12.0546    RTEMFOS
-3.644     10.213     11.842
-3.7212    10.1371    11.6493
-3.7614    10.1114    11.4393
-3.815     10.0775    11.1824
-3.7782    10.0074    10.8477
-3.7651    9.8944     10.5956
-3.7577    9.8104     10.3196
-3.7734    9.7665     10.1473
-3.7784    9.6404     9.8189
-3.8133    9.6647     9.6862
-3.8527    9.6423     9.4387
-3.9362    9.7315     9.2738
-4.0893    9.9013     9.1256
-4.2263    10.1286    9.0922
-4.2565    10.3259    9.1227
-4.3295    10.4431    9.1711
-4.3993    10.6278    9.2573























































































































