BPI        M3070      Ppb1
10.3882    11.9062    4.6865
10.585     11.929     4.8311
10.6907    11.9491    4.9114
10.809     11.9138    5.024
10.9217    11.9507    5.1602
11.026     11.9782    5.2826
11.1623    12.0442    5.5528
11.2552    12.0544    5.7065
11.3692    12.0572    5.8167
11.5206    12.084     6.0427
11.6515    12.1068    6.1315
11.7298    12.089     6.1575
11.8777    12.1241    6.1386
12.0086    12.1216    6.0831
12.1698    12.078     5.8944
12.2841    12.0395    5.7203
12.3851    12.024     5.5624
12.4696    12.0089    5.433
12.5841    11.9987    5.2955
12.6672    12.0075    5.1465
12.8104    11.9664    5.0009
12.9387    11.9439    4.8871
12.9984    11.9491    4.8457
13.1511    11.9429    4.7667
13.26      11.927     4.6637
13.3993    11.9203    4.5482
13.476     11.8952    4.4278
13.5501    11.8736    4.337
13.6486    11.8493    4.1756
13.7145    11.8278    4.0456
13.8015    11.7737    3.8392
13.8681    11.7499    3.7104
13.9472    11.7304    3.5411
14.0358    11.6991    3.3836
14.1059    11.6908    3.2944
14.1573    11.6917    3.1647
14.2352    11.7007    3.0648
14.317     11.6415    2.9133
14.2925    11.5663    2.6511
14.2793    11.5529    2.5067
14.2689    11.5855    2.3506
14.2714    11.6273    2.2888




















































































































































8.5572     14.9953    6.6127     SUPORB
8.6367     15.0418    6.7769
8.7742     15.0037    7.0114
8.9396     14.8587    7.1867
9.1139     14.87      7.3401
9.2931     14.8113    7.4778
9.5123     14.7464    7.6281
9.7459     14.6069    7.7381
9.9731     14.5741    7.8545
10.1092    14.475     7.9054
10.3809    14.4301    7.9756
10.5262    14.4319    8.0006
10.7058    14.4811    8.0541
10.9511    14.475     8.1037
11.1312    14.4235    8.1492
11.2507    14.2848    8.1449
11.3406    14.2408    8.1204
11.5149    14.0442    8.0682
11.7111    13.8538    7.9966
11.855     13.8067    7.9851
9999       9999       9999



















































































































































































10.0461    13.217     5.3924     RORBIT
9.7058     13.3586    5.3935
9.4451     13.5003    5.4649
9.2408     13.6771    5.5992
9.0385     13.899     5.7918
8.9714     14.0326    5.9541
8.9282     14.1669    6.0902
8.9783     14.3125    6.2749
8.8965     14.3997    6.4632
8.975      14.4533    6.6225
9.1214     14.4616    6.9661
9.2354     14.4247    7.1639
9.3886     14.3646    7.3084
9.5753     14.2662    7.4477
9.7349     14.1819    7.5111
9.9757     14.0978    7.4962
10.1574    14.0111    7.5483
10.3778    13.9279    7.5172
10.5375    13.8873    7.4461
10.6861    13.8696    7.611
10.9228    13.8527    7.6275
11.2039    13.7722    7.5409
11.3449    13.648     7.2917
11.4137    13.5797    7.0111
11.3254    13.5133    6.6129
11.2865    13.4112    6.372














































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































11.4784    10.3168    8.354      OP
11.5311    12.2365    7.8246     BA
11.721     16.4234    5.38       ST
11.7243    19.6864    4.0342     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9.5265     16.3415    6.4353     R_M3D
9.1425     18.373     5.6557     R_M12
9.9297     20.3016    4.6601     R_MP3
10.417     20.7821    4.1998     R_PMI
9999       9999       9999       L_PG
16.4019    13.2828    5.5943     L_ZTI
13.7765    16.3063    6.1366     L_M3D
14.2168    18.2749    5.2079     L_M12
13.2378    20.3445    4.7494     L_MP3
12.9463    20.8492    4.3477     L_PMI
12.9866    20.2252    3.4159     O1
8.4501     13.4208    2.5132     O2
16.1132    12.4036    5.1934     O3
9.4597     9.2798     8.3204     O4
















































































