NMNH       197171     Phu29stv
19.1604    18.5753    16.9768    IN
15.2142    14.8683    18.5687    BR
11.0516    10.7232    17.0513    GL
11.0281    10.7943    16.2704    NA
7.4758     7.7411     7.9948     RH
6.7238     6.5571     3.5112     NS
6.9727     6.4805     2.5143     PR
6.2206     7.4607     2.8383     R_PR2
7.8541     8.8824     9.3813     R_PMS
9.1562     13.8754    9.9088     R_ZMI
10.0517    12.3714    13.9031    R_ZMU
10.9343    11.1776    15.2426    R_DA
9.8663     12.3826    16.6588    R_MTI
10.832     13.043     18.0139    R_MTS
9.3556     14.2495    15.3274    R_FMO
9.3991     15.2466    15.3021    R_FMT
13.4837    19.4654    13.9118    R_PO
9.3463     16.1243    11.9043    R_ZTS
7.91       6.0307     2.7902     L_PR2
8.87       8.2205     9.5781     L_PMS
14.1146    8.738      10.0346    L_ZMI
12.6134    9.7716     14.0353    L_ZMU
11.5373    10.5761    15.1045    L_DA
12.8627    9.4529     16.844     L_MTI
13.3142    10.3542    17.9993    L_MTS
14.5746    9.0912     15.3399    L_FMO
15.6478    8.9625     15.3329    L_FMT
19.8907    13.0556    13.945     L_PO
16.5845    8.7908     11.9347    L_ZTS
7.6513     5.8404     2.787      O1
10.3435    14.2176    17.3465    O2
18.3593    9.742      12.5525    O3
19.603     17.7915    16.0487    O4







































































































































































11.0649    10.7015    16.9571    GLRH
11.0482    10.7352    16.6972
11.0211    10.7713    16.4866
11.0473    10.7981    16.2609
11.033     10.8206    16.0301
11.0634    10.7885    15.8309
11.0707    10.7678    15.6385
11.0388    10.7912    15.4202
11.0226    10.7592    15.2097
10.9571    10.723     15.0079
10.8455    10.6461    14.7659
10.764     10.5741    14.5368
10.6936    10.5065    14.3819
10.6133    10.4665    14.2552
10.5409    10.405     14.105
10.4597    10.3368    13.9587
10.3528    10.2862    13.7579
10.2533    10.2089    13.5845
10.1208    10.1196    13.3631
