NMNH       268890     Rpr4stv
-0.2498    13.1087    6.1078     IN
-0.0414    9.7347     8.7731     BR
0.2619     4.0627     6.3885     GL
0.2297     4.0612     6.1403     NA
0.175      4.2239     5.0744     RH
0.1444     3.0292     3.2859     NS
0.1438     2.4911     2.7322     PR
-0.3622    2.5823     2.6161     R_PR2
-0.0916    4.1996     5.4706     R_PMS
-2.992     4.9622     3.3257     R_ZMI
-1.976     4.5208     4.3808     R_ZMU
-0.5826    4.654      5.5881     R_DA
-1.8334    4.5713     6.7913     R_MTI
-1.6722    4.6376     7.2032     R_MTS
-3.1691    4.9744     5.6207     R_FMO
-3.6546    5.4844     6.194      R_FMT
-3.3694    9.9633     4.3378     R_PO
-4.0584    6.5594     3.6834     R_ZTS
0.6879     2.6276     2.6527     L_PR2
0.237      4.149      5.6597     L_PMS
3.2178     5.3401     3.1388     L_ZMI
2.3943     4.7625     4.2395     L_ZMU
0.9604     4.7039     5.5273     L_DA
2.3128     4.708      6.6796     L_MTI
2.2878     4.8598     7.0657     L_MTS
3.5395     5.2884     5.4543     L_FMO
3.8392     5.9472     5.9275     L_FMT
3.0978     10.4328    4.2501     L_PO
4.0685     7.1303     3.4793     L_ZTS
0.3144     2.2897     2.3672     O1
-3.2679    5.5495     6.166      O2
4.1053     9.0045     3.6441     O3
-0.944     12.8898    6.5138     O4







































































































































































0.24       4.0506     6.4127     GLRH
0.2371     4.0409     6.1852
0.2296     4.0735     6.0023
0.2477     4.0972     5.8255
0.2428     4.1354     5.6302
0.2365     4.1749     5.4484
0.2253     4.1691     5.2837
0.1853     4.1688     5.1748
0.1724     4.2115     5.1077































































































































































































0.1255     4.2211     5.0714     NOSE
-0.0672    4.24       5.116
-0.2848    4.259      5.0958
-0.4053    4.2768     4.9322
-0.5177    4.2375     4.7112
-0.5908    4.2012     4.5922
-0.6476    4.1215     4.4302
-0.6822    4.0287     4.2208
-0.7089    3.9254     4.0881
-0.6725    3.8355     3.9842
-0.5816    3.6429     3.8299
-0.4247    3.4053     3.7381
-0.284     3.2379     3.6314
-0.1019    3.0748     3.4693
0.0012     3.0114     3.3865
0.0925     2.9928     3.3158
0.1506     2.9779     3.2971
0.2535     3.065      3.3924
0.3674     3.1296     3.4747
0.4985     3.2129     3.561
0.6052     3.3172     3.6453
0.6955     3.3823     3.6833
0.7709     3.5744     3.7441
0.8329     3.7723     3.8437
0.9052     3.9347     4.0048
0.9432     4.0781     4.1581
0.9352     4.1947     4.3639
0.9037     4.2579     4.5289
0.8534     4.2825     4.6364
0.8141     4.3133     4.7515
0.7668     4.3139     4.8653
0.6492     4.3555     4.9273
0.5892     4.2993     5.064
0.4143     4.2768     5.0969
0.2124     4.1937     5.1376





































































































































































0.1448     2.9934     3.3043     NASP-PR
0.1298     2.8418     3.2544
0.1063     2.7023     3.1475
0.1569     2.5224     2.9447
0.1583     2.4952     2.814
0.17       2.502      2.7211


































































































































































































-0.0787    4.2025     5.5061     R-PM/MAX
-0.2218    4.2383     5.3519
-0.3561    4.2611     5.2235
-0.4674    4.2697     5.1586
-0.591     4.2829     4.9647
-0.7156    4.2304     4.7316
