UWMA       ZA 1383    Phu102sf
17.213     22.952     11.679     IN
14.6653    19.0827    15.2151    BR
10.9991    13.7476    14.6853    GL
10.9354    13.6503    14.1878    NA
7.8178     8.9266     8.6835     RH
6.3569     6.3615     5.4014     NS
6.3869     6.1226     4.1118     PR
5.6044     6.9757     4.3557     R_PR2
8.1568     10.5412    9.5436     R_PMS
7.7236     15.1183    8.5724     R_ZMI
9.4328     14.6347    11.9573    R_ZMU
10.563     13.9959    13.086     R_DA
9.6375     15.03      14.3355    R_MTI
10.4734    15.7914    15.5038    R_MTS
8.5845     16.3845    13.1142    R_FMO
8.5953     17.2869    13.4095    R_FMT
11.457     21.7789    10.2642    R_PO
7.9015     17.8855    9.8124     R_ZTS
7.4012     5.8361     4.3991     L_PR2
9.1291     9.2888     9.4852     L_PMS
14.0289    11.0664    8.6232     L_ZMI
12.7453    12.4147    12.0925    L_ZMU
11.5871    13.2835    13.0729    L_DA
9999       9999       9999       L_MTI
12.8882    13.9413    15.631     L_MTS
14.5797    12.4832    13.2555    L_FMO
15.4111    12.868     13.4789    L_FMT
18.4554    17.0414    10.3596    L_PO
16.3508    12.1931    10.1033    L_ZTS
7.8541     5.4929     4.3482     O1
9.5745     17.1655    14.5556    O2
17.5787    13.461     10.1881    O3
17.7713    21.8679    11.0889    O4







































































































































































10.9873    13.7665    14.7853    GLRH
10.9557    13.7502    14.6066
10.9566    13.7384    14.46
10.9631    13.6552    14.2871
10.9466    13.6286    14.1621
10.8983    13.6221    13.916
10.8859    13.5685    13.7313
10.8439    13.5244    13.5447
10.7783    13.4488    13.3389
10.7101    13.3281    13.1762
10.6904    13.2518    13.0508
10.666     13.1625    12.9435
10.6085    13.0833    12.8354
10.5308    12.9734    12.6643
10.4814    12.8074    12.5039
10.4471    12.7008    12.3914
10.3636    12.561     12.1982
10.282     12.4678    12.0902
10.2284    12.3661    11.9807
10.1833    12.2599    11.8789
9.7365     11.6741    11.2235
9.6579     11.5368    11.0851
9.5849     11.4307    11
9.5031     11.2771    10.8653
9.4529     11.194     10.7852
9.3674     11.0868    10.6747
9.2291     10.9494    10.5444
9.1505     10.7742    10.4442
8.9669     10.5928    10.264
8.8464     10.4044    10.1201
8.8166     10.2928    10.0336
8.724      10.1272    9.8798
8.5997     9.9329     9.7463
8.5603     9.8405     9.6776
8.4894     9.7579     9.5936
8.4112     9.6605     9.4768
8.3602     9.564      9.3943
8.2885     9.4449     9.259
8.2412     9.3594     9.1625
8.1635     9.226      9.0485
8.101      9.1392     8.9398
8.0715     9.0605     8.8607
8.007      8.9936     8.794
7.9314     8.9341     8.7113




























































































































































7.8837     8.9359     8.6677     NOSE
7.6738     9.0828     8.6283
7.5332     9.1112     8.5863
7.2956     9.2101     8.4715
7.16       9.3948     8.2888
6.9389     9.2773     8.1356
6.8277     9.1552     7.9504
6.6885     9.0799     7.7797
6.5481     8.9669     7.5667
6.4049     8.9301     7.4602
6.2931     8.8518     7.3733
6.0925     8.7098     7.1682
6.0423     8.5528     7.042
5.9603     8.4384     6.9162
5.9229     8.3307     6.7921
5.9077     8.1193     6.609
5.871      7.8998     6.4191
5.8436     7.6513     6.2947
5.8043     7.5594     6.2333
5.7515     7.3898     6.1308
5.7651     7.2247     6.0591
5.7443     7.0794     5.9666
5.7684     6.9005     5.8822
5.8882     6.7427     5.7298
5.9794     6.6784     5.6699
6.0266     6.572      5.5638
6.1288     6.5104     5.4764
6.252      6.4355     5.4286
6.3404     6.3703     5.4154
9999       9999       9999










































































































































































6.3369     6.3068     5.3731     NASP-PR
6.2559     6.2057     5.1754
6.2654     6.1939     5.0831
6.2626     6.1557     4.9317
6.2895     6.1149     4.7014
6.3124     6.1087     4.5351
6.319      6.0065     4.4124
6.3721     6.0634     4.2454
6.3891     6.0921     4.1232







































































































