AMNH       81811      phu3ams2
0.3846     0.1522     -0.2496
0.3869     0.1568     -0.236
0.3869     0.16       -0.2311














































































































































































0.3445     0.3024     -0.4618    L-PM/MAX
0.3426     0.3002     -0.4593
0.339      0.2966     -0.4552
0.3326     0.2926     -0.4478
0.3281     0.2895     -0.4429
0.3217     0.2858     -0.4359
0.3133     0.279      -0.4283
0.3054     0.2769     -0.4177
0.2992     0.2744     -0.4118
0.2914     0.2695     -0.4067
0.2833     0.2661     -0.4017
0.2771     0.264      -0.3975
0.271      0.2616     -0.392
0.2646     0.2591     -0.381
0.2623     0.257      -0.3744
0.2573     0.2577     -0.3628
0.2543     0.2558     -0.3526
0.2497     0.2554     -0.3436
0.2454     0.2535     -0.3342
0.2379     0.2534     -0.3201
0.2359     0.2521     -0.3165
0.2273     0.255      -0.306
0.2254     0.2553     -0.2963
0.2243     0.2569     -0.2867
0.222      0.2578     -0.2768
0.2215     0.2604     -0.2666
0.2218     0.2625     -0.2585
0.2226     0.2645     -0.2533
0.2239     0.2656     -0.2506











































































































































































0.4846     0.2817     -0.2907    ROSTRUM
0.484      0.2788     -0.2958
0.4828     0.2759     -0.3015
0.4815     0.2728     -0.3069
0.4795     0.2693     -0.3162
0.4774     0.2684     -0.3224
0.4726     0.2674     -0.3334
0.4664     0.2653     -0.3443
0.4599     0.2601     -0.3537
0.4547     0.2582     -0.3633
0.4505     0.253      -0.3754
0.4491     0.2472     -0.3852
0.4491     0.2422     -0.3972
0.4502     0.2294     -0.412
0.4453     0.221      -0.4298
0.4361     0.2242     -0.4402
0.4238     0.2264     -0.445
0.4048     0.2391     -0.4448
0.3939     0.2492     -0.4429
0.3857     0.2539     -0.4459
0.3637     0.2605     -0.4547
0.3412     0.2731     -0.4566
0.3302     0.2827     -0.4511
0.3245     0.2918     -0.4453
0.3114     0.3011     -0.4456
0.2919     0.3041     -0.4506
0.2815     0.3124     -0.4523
0.2674     0.324      -0.4404
0.2692     0.3336     -0.4325
0.2716     0.3387     -0.4246
0.2779     0.345      -0.4145
0.2872     0.3511     -0.4006
0.2942     0.3591     -0.385
0.2962     0.3685     -0.3731
0.2952     0.3763     -0.3612
0.2924     0.3853     -0.3416
0.2923     0.3944     -0.3269
0.2958     0.3998     -0.3144
0.299      0.4051     -0.3059
0.3051     0.4077     -0.2986
0.312      0.4081     -0.2964































































































































































0.6545     0.3495     -0.6406    SUPORB
0.6532     0.3504     -0.6474
0.6524     0.3494     -0.6605
0.6491     0.3516     -0.6755
0.6441     0.3542     -0.6902
0.6376     0.362      -0.7078
0.6295     0.3678     -0.7228
0.6178     0.37       -0.7317
0.6173     0.368      -0.7316
0.6115     0.3669     -0.7327
0.6021     0.3684     -0.7346
0.587      0.3672     -0.7403
0.5743     0.3683     -0.7444
0.5585     0.3726     -0.7481
0.5512     0.3764     -0.7516
0.5428     0.3818     -0.7556
0.5339     0.3895     -0.758
0.5233     0.3929     -0.7589
0.5105     0.3952     -0.7584
0.4978     0.3956     -0.7555
0.4821     0.3962     -0.7499
0.4679     0.3966     -0.7395
0.458      0.3976     -0.738
0.4537     0.4076     -0.7478
0.4485     0.4236     -0.7566
0.4456     0.4395     -0.7634
0.4401     0.4423     -0.7634
0.4376     0.451      -0.7663
0.4308     0.4589     -0.7659
0.4256     0.464      -0.7657
0.4072     0.4845     -0.7608
0.4001     0.5028     -0.7578
0.3903     0.5205     -0.7525
0.3822     0.5335     -0.749
0.3707     0.5477     -0.7353
0.3619     0.5519     -0.7257
0.3582     0.5597     -0.7152
0.3546     0.5626     -0.7065
0.3507     0.5668     -0.6961
0.3455     0.5657     -0.6907
0.3437     0.5677     -0.6782
0.3417     0.5653     -0.6717
0.3409     0.5691     -0.6659





























































































































































0.4744     0.3938     -0.6432    RORBIT
0.4752     0.3957     -0.6488
0.4758     0.3939     -0.6595
0.4794     0.3911     -0.6732
0.483      0.3873     -0.6857
0.494      0.3822     -0.6995
0.4979     0.377      -0.6985
0.5091     0.3674     -0.7032
0.5165     0.3638     -0.6988
0.5241     0.3564     -0.7011
0.5437     0.3503     -0.702
0.5613     0.3453     -0.7008
0.5779     0.3406     -0.6942
0.5896     0.3365     -0.6893
0.5974     0.3425     -0.6751
0.6023     0.3442     -0.6671
0.6004     0.3502     -0.6467
0.5926     0.3472     -0.6315
0.5734     0.3451     -0.6173
0.5607     0.3473     -0.6113
0.5463     0.3509     -0.6055
0.5371     0.3545     -0.6028
0.5296     0.362      -0.6018
0.5255     0.3639     -0.6007
0.5221     0.3662     -0.6013















































































































































































0.4427     0.4186     -0.6536    LORBIT
0.4417     0.4194     -0.6564
0.4423     0.4222     -0.6687
0.4402     0.4226     -0.6796
0.4367     0.4239     -0.69
0.4322     0.4234     -0.6999
0.4229     0.4281     -0.704
0.4113     0.4377     -0.7042
0.401      0.4492     -0.7059
0.3895     0.4604     -0.7119
0.3803     0.4729     -0.7155
0.3747     0.4797     -0.7166
0.3706     0.4837     -0.7172
0.3682     0.4931     -0.7139
0.3627     0.5013     -0.708
0.3597     0.5101     -0.6989
0.3578     0.5182     -0.6889
0.359      0.5227     -0.6737
