NMNH       197176     Phu24stv







































11.6584    10.9015    10.3609    L-PM/MAX
11.5855    10.8062    10.1971
11.5056    10.688     10.0277
11.4688    10.5771    9.897
11.4483    10.5015    9.8015
11.4309    10.383     9.6626
11.3904    10.2239    9.4625
11.3475    10.1072    9.3449
11.3542    10.0354    9.2232
11.3062    9.9279     9.1022
11.2521    9.8223     8.9708
11.1862    9.6693     8.7786
11.1604    9.5409     8.6425
11.1687    9.4843     8.5603
11.1431    9.3476     8.384
11.1716    9.2739     8.2829
11.2341    9.2046     8.2016
11.1363    9.0886     7.994
11.1118    9.0283     7.8797
11.0843    8.9944     7.7414
11.0457    8.91       7.5227
11.022     8.8543     7.3811
11.083     8.7552     7.1873
11.0461    8.7706     7.079
11.043     8.7407     6.9422
11.0975    8.6863     6.7703
11.1372    8.6534     6.5141
11.1892    8.667      6.4275
11.2164    8.659      6.305
11.2844    8.6108     6.1454
11.3678    8.6065     5.8799
11.3432    8.5859     5.6978
11.307     8.5817     5.5337
11.3395    8.642      5.3773
11.298     8.7552     5.188





































































































































































10.4782    13.8608    6.8397     ROSTRUM
10.3846    13.7982    7.0591
10.3863    13.762     7.1766
10.3848    13.7419    7.2748
10.3842    13.6733    7.4476
10.434     13.5469    7.616
10.5127    13.4161    7.7464
10.6118    13.3104    7.9003
10.6486    13.1886    8.0329
10.6728    13.0521    8.2844
10.6252    12.9501    8.5049
10.5587    12.8603    8.7436
10.4946    12.7376    8.9654
10.4546    12.6692    9.1128
10.3907    12.5928    9.2947
10.3533    12.5632    9.4059
10.2689    12.5364    9.614
10.2477    12.4826    9.7596
10.2823    12.357     9.8751
10.4012    12.2116    9.988
10.5902    12.0948    10.025
10.6954    11.9265    10.0602
10.8017    11.7584    10.0738
10.9278    11.6551    10.1041
10.988     11.6007    10.1194
11.0823    11.4799    10.172
11.1633    11.3762    10.2365
11.2478    11.2648    10.2833
11.2677    11.186     10.3971
11.3494    11.0571    10.5055
11.43      10.9848    10.5498
11.6382    10.8896    10.3716
11.7642    10.7822    10.2836
11.9742    10.6862    10.163
12.1853    10.4971    10.0333
12.3225    10.3256    9.9622
12.4941    10.1509    9.8883
12.6339    10.024     9.8069
12.7524    9.9747     9.6129
12.8263    9.9374     9.3182
12.9305    10.0965    9.1279
13.0402    10.2139    8.9206
13.1328    10.275     8.7186
13.1918    10.3354    8.4328
13.2078    10.3751    8.239
13.3187    10.4247    8.0951
13.3926    10.4381    7.9508
13.5056    10.3812    7.8176
13.6794    10.3182    7.6748
13.7905    10.262     7.5829
13.8808    10.2361    7.4317
13.9557    10.2509    7.2816
14.0295    10.2539    7.1028
14.0415    10.2742    6.9188









































































