NMNH       268891     Rpr5stv
-1.7973    4.6281     4.26
-1.6426    4.6556     4.3894
-1.4783    4.615      4.3784
-0.0028    4.5794     4.3616
0.1315     4.5639     4.3762
0.3209     4.5653     4.3578
0.4962     4.5973     4.1419
0.562      4.5858     3.9237
0.6494     4.581      3.6744
0.7747     4.6551     3.4133
0.8902     4.6845     3.1484
0.9864     4.7179     2.9453
1.0804     4.7085     2.7774
1.145      4.6923     2.6219
1.1783     4.7271     2.5114
1.1903     4.7041     2.2728

















































































































































































-4.3663    6.5315     6.1245     SUPORB
-4.2967    6.5644     6.302
-4.2174    6.5643     6.5442
-4.075     6.5672     6.831
-3.8731    6.5318     7.0068
-3.6641    6.522      7.1518
-3.4538    6.3974     7.262
-3.2131    6.2101     7.3301
-3.0005    6.0673     7.3962
-2.7935    5.9634     7.4186
-2.4401    5.8206     7.3925
-2.2314    5.7328     7.3483
-1.9496    5.6433     7.2866
-1.6441    5.5323     7.193
-1.3308    5.4155     7.0957
-1.004     5.3481     7.0378
-0.8448    5.3422     7.0026
-0.6677    5.3078     7.0018
-0.1637    5.3826     7.0499
0.2082     5.4465     7.153
0.5548     5.4479     7.2529
0.9069     5.5725     7.3195
1.3534     5.7259     7.3339
1.6128     5.8833     7.3272
1.8805     6.0733     7.2629
2.3356     6.228      7.0664
2.6066     6.2442     6.8632
2.753      6.2557     6.6973
2.871      6.2576     6.5274
2.9525     6.2749     6.2941
3.0025     6.247      6.1486
3.0482     6.2565     6.0009








































































































































































-2.6347    5.0944     4.418      RORBIT
-2.9655    5.0856     4.4013
-3.3075    5.1686     4.4471
-3.8275    5.423      4.7337
-3.9856    5.6227     5.0282
-4.0435    5.7732     5.267
-4.1051    5.8478     5.4524
-4.1119    5.9189     5.6251
-4.0579    6.0212     5.8914
-3.9331    6.054      6.2243
-3.8767    5.975      6.5424
-3.5755    5.957      6.7276
-3.3628    5.9452     6.8778
-2.6486    5.6272     7.0914
-2.1427    5.4281     6.985
-1.8711    5.3431     6.7907
-1.5881    5.2715     6.5633
-1.5165    5.2597     6.3933
-1.4679    5.3352     5.9268
-1.4615    5.345      5.606




















































































































































































1.4474     4.9796     4.4315     LORBIT
1.8103     4.9714     4.4542
2.062      5.0679     4.5451
2.2894     5.157      4.6503
2.406      5.2318     4.7581
2.4983     5.3765     4.942
2.5692     5.5165     5.1693
