LSZT       R30        Phu171stv
2.2283     5.1775     8.5819
2.2747     5.0533     8.439
2.375      4.9089     8.2349
2.4617     4.7525     7.9541
2.5116     4.5823     7.6663
2.554      4.3767     7.3229
2.6339     4.1958     7.0662
2.9032     4.1303     6.5188
3.0233     3.9373     6.2988
3.1015     3.8713     6.0457
3.0955     3.8052     5.7454
3.0338     3.8117     5.5344
2.9969     3.8415     5.3872
2.9301     3.8196     5.2817



















































































































































































-1.5254    7.8301     5.9793     ROSTRUM
-1.5295    7.6883     6.2937
-1.478     7.6364     6.5109
-1.3854    7.5898     6.7651
-1.176     7.5226     7.0929
-1.0404    7.4629     7.3573
-0.9758    7.4032     7.6278
-0.937     7.3121     7.9124
-0.9001    7.2183     8.2503
-0.8379    7.146      8.4748
-0.9231    7.0652     8.7602
-0.9735    7.0732     9.0153
-1.0795    6.985      9.2279
-1.1608    6.9046     9.5196
-1.1497    6.8594     9.7505
-0.9638    6.7867     9.969
-0.772     6.7748     10.0965
-0.5858    6.7149     10.1442
-0.3897    6.7324     10.1548
-0.1986    6.7504     10.1216
0.056      6.7759     10.058
0.2935     6.74       10.0668
0.4323     6.7728     10.2145
0.66       6.7381     10.401
0.902      6.7098     10.4918
1.0894     6.7064     10.5128
1.3479     6.7026     10.4883
1.5549     6.7537     10.3916
1.7046     6.8029     10.2735
1.8592     6.911      10.1361
1.9862     6.9137     10.0099
2.1704     6.9633     9.9306
2.4516     7.0611     9.8278
2.6758     7.0538     9.7761
2.8771     7.078      9.7466
2.9697     7.1294     9.5366
3.2095     7.1177     9.5154
3.2499     7.1802     9.2095
3.2135     7.336      8.9955
3.0564     7.4242     8.5465
3.0638     7.4566     8.0995
3.1698     7.549      7.6637
3.2727     7.6309     7.384
3.3822     7.5979     7.1653
3.4678     7.6131     6.9507
3.6493     7.7269     6.7172
3.7896     7.7223     6.483
3.8676     7.7764     6.3161
3.8054     7.7704     6.0535























































































































































-2.7831    11.5744    13.7755    SUPORB
-2.6515    11.648     14.12
-2.4972    11.6795    14.4668
-2.3975    11.6292    14.7409
-2.188     11.5094    14.9918
-1.9581    11.4       15.1746
-1.7162    11.3206    15.3528
-1.3953    11.1051    15.4998
-1.1892    10.994     15.5592
-0.8123    10.8318    15.6709
-0.6192    10.922     15.7582
-0.3869    10.9808    15.8191
-0.1227    11.0203    15.8715
0.1133     11.0038    15.8939
0.2827     10.8919    15.8737
0.5551     10.7514    15.8509
0.7537     10.5988    15.8061
0.9566     10.5149    15.7323
1.151      10.3626    15.6339
1.3289     10.2322    15.5258
1.5289     10.2039    15.4692
1.6658     10.1971    15.4471
1.8373     10.2362    15.4705
2.0409     10.3059    15.517
2.3049     10.4739    15.628
2.6357     10.7511    15.7031
3.0612     10.8805    15.7014
3.42       10.8802    15.6307
3.6042     10.8532    15.5739
3.8395     10.8751    15.4656
4.0586     10.8944    15.4017
4.3118     10.8985    15.2556
4.6167     10.9175    15.1143
4.8323     11.0452    14.9643
5.1092     11.181     14.7739
5.3088     11.2813    14.5863
5.4744     11.4081    14.4064
5.5625     11.4673    14.2687
5.6273     11.6007    13.9311
