NMNH       452507     Phc7stv
8.1253     9.9733     5.0619
8.2321     9.8786     4.8946
8.4315     9.8987     4.6868












































































































































































11.0833    9.1689     9.8038     L-PM/MAX
11.0112    9.0277     9.6217
10.9693    8.9124     9.4746
10.9458    8.6032     9.1052
10.9463    8.4274     8.8724
10.9317    8.2891     8.6601
10.9261    8.1612     8.488
10.9118    8.0146     8.3323
10.9073    7.9263     8.2313
10.9021    7.8264     8.0361
10.931     7.7299     7.7516
10.9501    7.6343     7.5556
11.0409    7.5741     7.3796
11.1105    7.4811     7.1943
11.1321    7.4225     6.9918
11.1551    7.3676     6.761
11.118     7.3082     6.5711
11.1009    7.2227     6.319
11.1434    7.1537     6.1294
11.2203    7.0874     5.8944
11.2493    7.0386     5.7404
11.2472    7.018      5.5429
11.2914    7.0721     5.3877
11.2459    7.1409     5.185
11.2602    7.2302     4.9583
11.1971    7.4005     4.8005














































































































































































10.2467    13.0081    6.739      ROSTRUM
10.1525    12.9797    6.9728
10.0884    12.9213    7.2273
10.0691    12.768     7.4388
10.1362    12.6469    7.5939
10.1829    12.4583    7.751
10.287     12.3222    7.9625
10.301     12.2128    8.0639
10.3484    12.1149    8.2569
10.3299    12.0016    8.5242
10.2611    11.8982    8.7334
10.2441    11.8729    8.8952
10.0594    11.6891    9.1717
10.0566    11.6903    9.2408
10.003     11.6287    9.3695
9.9793     11.6237    9.489
9.8933     11.5821    9.6256
9.7703     11.5281    9.7859
9.6915     11.4833    9.9333
9.6262     11.4366    10.0381
9.6003     11.2906    10.2204
9.6565     11.1743    10.2928
9.8249     11.0808    10.33
9.9756     10.996     10.3577
10.1017    10.9056    10.3241
10.2007    10.8355    10.2919
10.3207    10.7184    10.3329
10.4167    10.6027    10.3581
10.5191    10.5134    10.4476
10.579     10.4401    10.4751
10.6744    10.2838    10.6166
10.7986    10.1376    10.6979
10.8941    10.0458    10.7284
10.9839    9.9787     10.7261
11.1099    9.8786     10.6897
11.3032    9.7947     10.5951
11.4265    9.7562     10.5307
11.5665    9.6887     10.4622
11.6776    9.5801     10.411
11.8233    9.4671     10.4137
11.9182    9.3907     10.399
12.0394    9.2492     10.4567
12.1628    9.1444     10.4506
12.2534    9.0872     10.4334
12.4103    9.0325     10.3394
12.585     8.9927     10.1929
12.6459    9.045      10.0243
12.7029    9.1839     9.7041
12.762     9.2623     9.5411
12.8047    9.3347     9.4304
12.8405    9.3887     9.2872
12.9364    9.4941     9.105
12.9862    9.5484     8.9748
13.0253    9.6068     8.851
13.0884    9.6501     8.6892
13.1964    9.7117     8.4799
13.3221    9.7292     8.2881
13.3963    9.7004     8.1281
13.5832    9.6655     7.9962
13.636     9.6329     7.9117
13.778     9.5914     7.8498
13.9094    9.5297     7.7625
14.0606    9.4765     7.6209
14.145     9.4572     7.4296
14.1846    9.5077     7.2416
14.1989    9.547      7.1138
14.2324    9.5812     6.9947
14.2672    9.6803     6.7936




































































































































10.2753    15.8135    14.5151    SUPORB
10.3196    15.7392    14.768
10.3171    15.5735    15.0414
10.3718    15.4231    15.28
